field_id,field_name,type_name,encoding_name,unit_name,category_name,strata_name,stability_name,n_values,item_count,num_participants,n_visits,n_indices,notes
31,Sex,Categorical (single),Sex,,Baseline characteristics,Primary,Complete,2,502505,502505,1,1,"Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex."
33,Date of birth,Date,NOT-ENCODED,,Baseline characteristics,Primary,Complete,,502505,502505,1,1,"Date of birth of participant.<p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead."
34,Year of birth,Integer,NOT-ENCODED,years,Baseline characteristics,Primary,Complete,,502505,502505,1,1,"Year of birth of participant.<p>Acquired from central registry, updated by participant."
46,Hand grip strength (left),Integer,NOT-ENCODED,Kg,Hand grip strength,Primary,Complete,,569378,499267,4,1,Left grip strength
47,Hand grip strength (right),Integer,NOT-ENCODED,Kg,Hand grip strength,Primary,Complete,,569463,499340,4,1,Right grip strength
48,Waist circumference,Continuous,NOT-ENCODED,cm,Body size measures,Primary,Complete,,570954,500407,4,1,Waist circumference
49,Hip circumference,Continuous,NOT-ENCODED,cm,Body size measures,Primary,Complete,,570892,500345,4,1,Hip circumference
50,Standing height,Continuous,NOT-ENCODED,cm,Body size measures,Primary,Complete,,570525,500042,4,1,Standing height was measured using a Seca 202 device
51,Seated height,Continuous,NOT-ENCODED,cm,Body size measures,Primary,Complete,,566624,497180,4,1,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~"
52,Month of birth,Categorical (single),Calendar Month,,Baseline characteristics,Primary,Complete,12,502505,502505,1,1,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
53,Date of attending assessment centre,Date,NOT-ENCODED,,Reception,Primary,Complete,,574651,502505,4,1,Date that participant attended a UK Biobank assessment centre.<p>Automatically acquired at Reception stage.
54,UK Biobank assessment centre,Categorical (single),Assessment Centre,,Reception,Primary,Complete,27,574646,502505,4,1,The UK Biobank assessment centre at which participant consented.<p>Automatically acquired at participant consent
55,Month of attending assessment centre,Categorical (single),Calendar Month,,Reception,Primary,Complete,12,574651,502505,4,1,Calendar month that participant attended a UK Biobank assessment centre.<p>Automatically acquired at Reception stage.
93,"Systolic blood pressure, manual reading",Integer,NOT-ENCODED,mmHg,Blood pressure,Primary,Complete,,81001,48813,4,2,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
94,"Diastolic blood pressure, manual reading",Integer,NOT-ENCODED,mmHg,Blood pressure,Primary,Complete,,81001,48813,4,2,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
102,"Pulse rate, automated reading",Integer,NOT-ENCODED,bpm,Blood pressure,Primary,Complete,,1052519,475167,4,2,This is the pulse rate measured during the automated blood pressure readings.
189,Townsend deprivation index at recruitment,Continuous,NOT-ENCODED,,Baseline characteristics,Derived,Complete,,501882,501882,1,1,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.
190,Reason lost to follow-up,Categorical (single),Lost to follow-up,,Ongoing characteristics,Primary,Ongoing,5,1298,1298,1,1,Indicates the reason that a person is believed to be lost to follow-up. <p> If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed. <br> <br> Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.
191,Date lost to follow-up,Date,NOT-ENCODED,,Ongoing characteristics,Primary,Ongoing,,1298,1298,1,1,Indicates the date from which a person is believed to be lost to follow-up. <p> If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed. <br> <br> Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.
1558,Alcohol intake frequency.,Categorical (single),g22.i.answer.a.A1.ans,,Alcohol,Primary,Complete,7,573365,501625,4,1,"ACE touchscreen question ""About how often do you drink alcohol?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If this varies a lot, please provide an average considering your intake<br>over the last year<br></i></td></tr></table>"
2335,Chest pain or discomfort,Categorical (single),g22.i.answer.a.S2A.ans/main,,Chest pain,Primary,Complete,4,573339,501599,4,1,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2443,Diabetes diagnosed by doctor,Categorical (single),g22.i.answer.a.S2A.ans/main,,Medical conditions,Primary,Complete,4,573331,501591,4,1,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure if you have been told you had diabetes,<br>select Do not know and you will be asked about this by an<br>interviewer later during this visit.<br></i></td></tr></table>"
2453,Cancer diagnosed by doctor,Categorical (single),g22.i.answer.a.OP1M.ans,,Medical conditions,Primary,Complete,4,573331,501591,4,1,"ACE touchscreen question ""Has a doctor ever told you that you have had cancer?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure if you have been told you had cancer, select<br>Do not know and you will be asked about this by an interviewer<br>later during this visit.<br></i></td></tr></table>"
2463,Fractured/broken bones in last 5 years,Categorical (single),g22.i.answer.a.S2A.ans/main,,Medical conditions,Primary,Complete,4,573331,501591,4,1,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?"""
2473,Other serious medical condition/disability diagnosed by doctor,Categorical (single),g22.i.answer.a.OP1M.ans,,Medical conditions,Primary,Complete,4,573331,501591,4,1,"ACE touchscreen question ""Has a doctor ever told you that you have had any other serious medical conditions or disabilities?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are not sure if you have a serious illness<br>or you are not sure that you have had one of the<br>conditions listed previously, enter Do not know<br>and you will be asked about this by an interviewer<br>later in this visit.<br></i></td></tr></table>"
2492,Taking other prescription medications,Categorical (single),g22.i.answer.a.OP1M.ans,,Medication,Primary,Complete,4,573331,501591,4,1,"ACE touchscreen question ""Do you regularly take any other PRESCRIPTION medications? (Do not forget medications such as puffers or patches)"""
2724,Had menopause,Categorical (single),g22.i.answer.a.FH2.ans,,Female-specific factors,Primary,Complete,5,309811,272920,4,1,"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2734,Number of live births,Integer,g22.i.answer.a.FH3.ans,children,Female-specific factors,Primary,Complete,1,309809,272918,4,1,"ACE touchscreen question ""How many children have you given birth to? (Please include live births only)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 25 then rejected</li><li>If answer > 12 then participant asked to confirm</li></ul>"
2744,Birth weight of first child,Integer,g22.i.answer.a.FH3A.ans,pounds,Female-specific factors,Primary,Complete,3,250515,221496,4,1,"ACE touchscreen question ""What was the birth weight of your first child in pounds? (do not include twins)""<p>The following checks were performed:<ul><li>If answer < 2 then rejected</li><li>If answer > 16 then rejected</li><li>If answer > 12 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure of the weight in pounds, here is a conversion table for pounds, grams and kilograms.<br><br>Pounds  Grams  Kilograms<br>2  907  0.91<br>3  1361  1.36<br>4  1814  1.81<br>5  2268  2.27<br>6  2721  2.72<br>7  3175  3.18<br>8  3629  3.63<br>9  4082  4.08<br>10  4536  4.54<br>11  4990  4.99<br>12  5443  5.44<br>13  5897  5.90<br>14  6350  6.35<br>15  6804  6.80<br><br>An exact answer is not necessary. Please enter the birthweight to the closest pound.<br>If your first birth was twins or other multiple birth, enter the birthweight of the first singleton birth.<br>If you have only had twins or other multiple births then select Only twins.<br></i></td></tr></table><p>~F2744~ was collected from women who indicated they had given birth to at least one child, as defined by their answers to ~F2734~"
2754,Age at first live birth,Integer,g22.i.answer.a.FH3B.ans,years,Female-specific factors,Primary,Complete,2,209345,185027,4,1,"ACE touchscreen question ""How old were you when you had your FIRST child?""<p>The following checks were performed:<ul><li>If answer < 8 then rejected</li><li>If answer > 65 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < Age at first period then rejected</li><li>If answer < 12 then participant asked to confirm</li><li>If answer > 48 then participant asked to confirm</li><li>If answer > Age when periods stopped then participant asked to confirm</li></ul><p>~F2754~ was collected from women who indicated they had given birth to more than one child, as defined by their answers to ~F2734~"
2764,Age at last live birth,Integer,g22.i.answer.a.FH3B.ans,years,Female-specific factors,Primary,Complete,2,209345,185027,4,1,"ACE touchscreen question ""How old were you when you had your LAST child?""<p>The following checks were performed:<ul><li>If answer < 8 then rejected</li><li>If answer > 65 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < Age at first period then rejected</li><li>If answer < 12 then participant asked to confirm</li><li>If answer > 48 then participant asked to confirm</li><li>If answer > Age when periods stopped then participant asked to confirm</li></ul><p>~F2764~ was collected from women who indicated they had given birth to more than one child, as defined by their answers to ~F2734~"
2774,"Ever had stillbirth, spontaneous miscarriage or termination",Categorical (single),g22.i.answer.a.S2A.ans/main,,Female-specific factors,Primary,Complete,4,309808,272917,4,1,"ACE touchscreen question ""Have you ever had any stillbirths, spontaneous miscarriages or terminations?"""
2784,Ever taken oral contraceptive pill,Categorical (single),g22.i.answer.a.S2A.ans/main,,Female-specific factors,Primary,Complete,4,309808,272917,4,1,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')"""
