concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
40756848	CPT4 - 43757	Procedure	CPT4	CPT4	S	43757	20110505	20991231	
40756846	CPT4 - 22905	Procedure	CPT4	CPT4	S	22905	20100403	20991231	
40756845	CPT4 - 88388	Measurement	CPT4	CPT4	S	88388	20100403	20991231	
40756844	CPT4 - 49418	Procedure	CPT4	CPT4	S	49418	20110505	20991231	
40756841	CPT4 - 26111	Procedure	CPT4	CPT4	S	26111	20100403	20991231	
40756840	CPT4 - 93563	Procedure	CPT4	CPT4	S	93563	20110505	20991231	
40756837	CPT4 - 90868	Procedure	CPT4	CPT4	S	90868	20110505	20991231	
40756836	CPT4 - 92227	Procedure	CPT4	CPT4	S	92227	20110505	20991231	
40756835	CPT4 - 64493	Procedure	CPT4	CPT4	S	64493	20100403	20991231	
40756834	CPT4 - 0234T	Procedure	CPT4	CPT4	S	0234T	20110505	20991231	
40756833	CPT4 - 78452	Procedure	CPT4	CPT4	S	78452	20100403	20991231	
40756831	CPT4 - 0232T	Procedure	CPT4	CPT4	S	0232T	20110505	20991231	
40756830	CPT4 - 93564	Procedure	CPT4	CPT4	S	93564	20110505	20991231	
40756829	CPT4 - 75574	Procedure	CPT4	CPT4	S	75574	20100403	20991231	
40756828	CPT4 - 32553	Procedure	CPT4	CPT4	S	32553	20100403	20991231	
40756827	CPT4 - 27337	Procedure	CPT4	CPT4	S	27337	20100403	20991231	
40756826	CPT4 - 22903	Procedure	CPT4	CPT4	S	22903	20100403	20991231	
40756824	CPT4 - 93750	Procedure	CPT4	CPT4	S	93750	20100403	20991231	
40756823	CPT4 - 0222T	Procedure	CPT4	CPT4	S	0222T	20110505	20991231	
40756822	CPT4 - 27632	Procedure	CPT4	CPT4	S	27632	20100403	20991231	
40756821	CPT4 - 0219T	Procedure	CPT4	CPT4	S	0219T	20110505	20991231	
2722250	CPT4 - 76825	Procedure	CPT4	CPT4	S	76825	19700101	20991231	
2514612	CPT4 - 99607	Procedure	CPT4	CPT4	S	99607	20080401	20991231	
2514611	CPT4 - 99606	Procedure	CPT4	CPT4	S	99606	20080401	20991231	
2514610	CPT4 - 99605	Procedure	CPT4	CPT4	S	99605	20080401	20991231	
2514609	CPT4 - 99602	Procedure	CPT4	CPT4	S	99602	20040331	20991231	
2514608	CPT4 - 99601	Procedure	CPT4	CPT4	S	99601	20040331	20991231	
2514607	CPT4 - 99600	Procedure	CPT4	CPT4	S	99600	20030331	20991231	
2514586	CPT4 - 99512	Procedure	CPT4	CPT4	S	99512	19700101	20991231	
2514585	CPT4 - 99511	Procedure	CPT4	CPT4	S	99511	19700101	20991231	
2514584	CPT4 - 99510	Procedure	CPT4	CPT4	S	99510	19700101	20991231	
2514583	CPT4 - 99509	Procedure	CPT4	CPT4	S	99509	19700101	20991231	
2313981	CPT4 - 93893	Procedure	CPT4	CPT4	S	93893	20050119	20991231	
2313980	CPT4 - 93892	Procedure	CPT4	CPT4	S	93892	20050119	20991231	
2313979	CPT4 - 93890	Procedure	CPT4	CPT4	S	93890	20050119	20991231	
2313978	CPT4 - 93888	Procedure	CPT4	CPT4	S	93888	19700101	20991231	
2313977	CPT4 - 93886	Procedure	CPT4	CPT4	S	93886	19700101	20991231	
2313976	CPT4 - 93882	Procedure	CPT4	CPT4	S	93882	19700101	20991231	
2313975	CPT4 - 93880	Procedure	CPT4	CPT4	S	93880	19700101	20991231	
2313973	CPT4 - 93799	Procedure	CPT4	CPT4	S	93799	19700101	20991231	
2313972	CPT4 - 93798	Procedure	CPT4	CPT4	S	93798	19700101	20991231	
2313971	CPT4 - 93797	Procedure	CPT4	CPT4	S	93797	19700101	20991231	
2313970	CPT4 - 93790	Procedure	CPT4	CPT4	S	93790	19700101	20991231	
2313969	CPT4 - 93788	Procedure	CPT4	CPT4	S	93788	19700101	20991231	
2313968	CPT4 - 93786	Procedure	CPT4	CPT4	S	93786	19700101	20991231	
2313967	CPT4 - 93784	Procedure	CPT4	CPT4	S	93784	19700101	20991231	
2313966	CPT4 - 93770	Procedure	CPT4	CPT4	S	93770	19700101	20991231	
2313963	CPT4 - 93745	Procedure	CPT4	CPT4	S	93745	20050119	20991231	
2313958	CPT4 - 93740	Procedure	CPT4	CPT4	S	93740	19700101	20991231	
