sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
20004,scan / x-ray,1603,,,332,,0.654131293296814,UNCHECKED,,0,4178367,EVENT,,,1602922972927
20004,exercise ecg,1599,,,150,,1.0,APPROVED,,0,4261794,EVENT,,,1602922972929
20004,liver surgery,1450,,,435,,0.7727025747299194,APPROVED,Sulev Reisberg,1602923025418,4171687,EVENT,,Sulev Reisberg,1602923021879
20004,lymph node surgery,1537,,,1537,,0.6767706274986267,APPROVED,Sulev Reisberg,1602923041900,4194197,EVENT,,,1602922972930
20004,bone marrow biopsy,1615,,,116,,1.0,APPROVED,,0,4120443,EVENT,,,1602922972931
20004,duodenal surgery,1529,,,102,,0.6293092370033264,APPROVED,Sulev Reisberg,1602923050033,4220964,EVENT,,,1602922972932
20004,barium meal / barium swallow,1611,,,410,,0.8351634740829468,APPROVED,Sulev Reisberg,1602923055769,4059066,EVENT,,,1602922972932
20004,ecg/electrocardiogram,1545,,,498,,0.6176354885101318,APPROVED,Sulev Reisberg,1602923128643,4187078,EVENT,,Sulev Reisberg,1602923127626
20004,mastoidectomy/mastoid surgery,1525,,,1114,,0.5889396667480469,APPROVED,Sulev Reisberg,1602923138720,4174519,EVENT,,Sulev Reisberg,1602923135954
20004,breast cyst/abscess removal,1513,,,5323,,0.44603708386421204,APPROVED,,0,4115331,EVENT,,,1602922972934
20004,muscle/soft tissue surgery,1297,,,14963,,0.49557992815971375,APPROVED,,0,4159949,EVENT,,,1602922972935
20004,achilles tendon repair,1533,,,1168,,1.0,APPROVED,,0,4072039,EVENT,,,1602922972936
20004,pacemaker battery change,1549,,,21,,0.6711103320121765,APPROVED,Sulev Reisberg,1602923168221,4051472,EVENT,,,1602922972936
20004,cervical polyps removed,1541,,,821,,0.5329328179359436,APPROVED,Sulev Reisberg,1602923179025,4138737,EVENT,,,1602922972937
20004,biliary surgery,1451,,,81,,0.6147649884223938,APPROVED,Sulev Reisberg,1602923191345,4174389,EVENT,,Sulev Reisberg,1602923188547
20004,barium enema,1612,,,311,,1.0,APPROVED,,0,4060768,EVENT,"Not sure what \"nos\" stands for",,1602922972939
20004,liver biopsy,1616,,,192,,0.7291647791862488,APPROVED,Sulev Reisberg,1602923200713,4314001,EVENT,,,1602922972939
20004,salpingectomy,1538,,,422,,1.0,APPROVED,,0,4001541,EVENT,,,1602922972940
20004,cardiac investigation,1604,,,42,,0.7305379509925842,APPROVED,Sulev Reisberg,1602923213188,4078460,EVENT,,Sulev Reisberg,1602923211695
20004,bronchoscopy,1546,,,182,,1.0,APPROVED,,0,4032404,EVENT,,,1602922972941
20004,stapedectomy,1526,,,289,,1.0,APPROVED,,0,4289432,EVENT,,,1602922972941
20004,abdomino-perineal resection / ap resection,1578,,,46,,0.670846164226532,UNCHECKED,,0,4144721,EVENT,,,1602922972942
20004,ileostomy/colostomy surgery,1530,,,142,,0.5114813446998596,UNCHECKED,,0,4199270,EVENT,,,1602922972942
20004,removal of squamous cell carcinoma (scc),1595,,,205,,0.6128168106079102,APPROVED,Sulev Reisberg,1602923278731,42872443,EVENT,,,1602922972943
20004,hand/finger surgery,1534,,,3485,,0.4985359311103821,UNCHECKED,,0,4261829,EVENT,,,1602922972943
20004,mri / magnetic resonance imaging,1600,,,1223,,0.8292829990386963,APPROVED,Sulev Reisberg,1602923271111,4013636,EVENT,,,1602922972943
20004,cystoscopy,1547,,,722,,1.0,APPROVED,,0,4085429,EVENT,,,1602922972944
20004,coronary angiogram,1514,,,3642,,1.0,APPROVED,,0,4142645,EVENT,,,1602922972944
20004,ct colonoscopy,1613,,,291,,0.916222333908081,UNCHECKED,,0,4249893,EVENT,,,1602922972944
20004,pancreas surgery,1452,,,291,,0.6082058548927307,UNCHECKED,,0,1314425,EVENT,,,1602922972945
20004,hip replacement/revision,1318,,,8229,,0.6979496479034424,UNCHECKED,,0,4010119,EVENT,,,1602922972945
20004,prostate biopsy,1617,,,698,,0.7714541554450989,UNCHECKED,,0,4005173,EVENT,,,1602922972945
20004,discectomy,1531,,,2434,,1.0,APPROVED,,0,4145274,EVENT,,,1602922972945
20004,laser treatment cervix,1542,,,1022,,0.5338344573974609,UNCHECKED,,0,4296380,EVENT,,,1602922972946
20004,biopsy,1614,,,743,,1.0,APPROVED,,0,4311405,EVENT,,,1602922972946
