field_id,field_name,a8_concept,a8_concept_details,a8_unit,a8_unit_details,hv_concept,hv_concept_details,hv_unit,hv_unit_details,concept_match,unit_match
30850,Testosterone,3017446,"('Measurement', 'LOINC')",8736,"('Unit', 'UCUM')",4020107,"('Measurement', 'SNOMED')",8736,"('Unit', 'UCUM')",False,True
30720,Cystatin C,3030366,"('Measurement', 'LOINC')",8751,"('Unit', 'UCUM')",44789161,"('Measurement', 'SNOMED')",8748,"('Unit', 'UCUM')",False,False
30250,Reticulocyte count,40763528,"('Measurement', 'LOINC')",44777575,"('Unit', 'UCUM')",4263581,"('Measurement', 'SNOMED')",4079010,"('Observation', 'SNOMED')",False,False
2744,Birth weight of first child,35810314,"('Observation', 'UK Biobank')",8739,"('Unit', 'UCUM')",0,"('Metadata', 'None')",8739,"('Unit', 'UCUM')",False,True
30150,Eosinophill count,3028615,"('Measurement', 'LOINC')",44777588,"('Unit', 'UCUM')",4216098,"('Measurement', 'SNOMED')",4175206,"('Observation', 'SNOMED')",False,False
30050,Mean corpuscular haemoglobin,3012030,"('Measurement', 'LOINC')",8564,"('Unit', 'UCUM')",4182871,"('Measurement', 'SNOMED')",8564,"('Unit', 'UCUM')",False,True
30650,Aspartate aminotransferase,3013721,"('Measurement', 'LOINC')",8645,"('Unit', 'UCUM')",4263457,"('Measurement', 'SNOMED')",8645,"('Unit', 'UCUM')",False,True
30324,Volume of EDTA1 red cells held by UKB,4105828,"('Specimen', 'SNOMED')",9665,"('Unit', 'UCUM')",0,"('Metadata', 'None')",9665,"('Unit', 'UCUM')",False,True
30860,Total protein,3020630,"('Measurement', 'LOINC')",8636,"('Unit', 'UCUM')",4119650,"('Measurement', 'SNOMED')",8636,"('Unit', 'UCUM')",False,True
2754,Age at first live birth,0,"('Metadata', 'None')",9448,"('Unit', 'UCUM')",0,"('Metadata', 'None')",9448,"('Unit', 'UCUM')",True,True
30011,Red blood cell (erythrocyte) count freeze-thaw cycles,0,"('Metadata', 'None')",0,"('Metadata', 'None')",4030871,"('Measurement', 'SNOMED')",0,"('Metadata', 'None')",False,True
30111,Platelet distribution width freeze-thaw cycles,0,"('Metadata', 'None')",0,"('Metadata', 'None')",4097620,"('Measurement', 'SNOMED')",0,"('Metadata', 'None')",False,True
30730,Gamma glutamyltransferase,3026910,"('Measurement', 'LOINC')",8645,"('Unit', 'UCUM')",4289475,"('Measurement', 'SNOMED')",8645,"('Unit', 'UCUM')",False,True
