sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
U/L,U/L,38,,0.46454885601997375,APPROVED,8645,unit per liter,UCUM,Unit,S,0,0,Unit,[U]/L,19700101,20991231,
g/L,g/L,97,,0.41335010528564453,APPROVED,8636,gram per liter,UCUM,Unit,S,0,0,Unit,g/L,19700101,20991231,
mg/L,mg/L,6,,0.4179113805294037,APPROVED,8751,milligram per liter,UCUM,Unit,S,0,0,Unit,mg/L,19700101,20991231,
mmol/mol,mmol/mol,11,,0.5865698456764221,APPROVED,9579,millimole per mole,UCUM,Unit,S,0,0,Unit,mmol/mol,19700101,20991231,
10*12/L,10*12/L,38,,1.0,APPROVED,44777575,trillion cells per liter,UCUM,Unit,S,0,0,Unit,10*12.{cells}/L,19700101,20991231,
umol/L,umol/L,81,,0.7144085764884949,APPROVED,8749,micromole per liter,UCUM,Unit,S,0,0,Unit,umol/L,19700101,20991231,
mIU/L,mIU/L,6,,0.543891191482544,APPROVED,9040,milli-international unit per liter,UCUM,Unit,S,0,0,Unit,10*-3.[iU]/L,19700101,20991231,
mL/min/1.7,mL/min/1.7,10,,0.37371426820755005,UNCHECKED,9117,milliliter per minute per 1.73 square meter,UCUM,Unit,S,0,0,Unit,mL/min/1.73.m2,19700101,20991231,
g/dL,g/dL,38,,0.47991687059402466,APPROVED,8713,gram per deciliter,UCUM,Unit,S,0,0,Unit,g/dL,19700101,20991231,
/12,/12,5,,0.5985226035118103,UNCHECKED,0,Unmapped,,,,0,0,,,,,
mmHg,mmHg,78,,0.31336861848831177,APPROVED,8876,millimeter mercury column,UCUM,Unit,S,0,0,Unit,mm[Hg],19700101,20991231,
U/week,U/week,10,,0.4873812794685364,UNCHECKED,44777559,per week,UCUM,Unit,S,0,0,Unit,/w,19700101,20991231,
mmol/l,mmol/l,37,,0.6982107758522034,APPROVED,8753,millimole per liter,UCUM,Unit,S,0,0,Unit,mmol/L,19700101,20991231,
%,%,58,,0.0,APPROVED,8554,percent,UCUM,Unit,S,0,0,Unit,%,19700101,20991231,
iu/L,iu/L,9,,0.5107577443122864,APPROVED,8923,international unit per liter,UCUM,Unit,S,0,0,Unit,[iU]/L,19700101,20991231,
fl,fl,5,,1.0,APPROVED,8583,femtoliter,UCUM,Unit,S,0,0,Unit,fL,19700101,20991231,
u/L,u/L,46,,0.46454885601997375,APPROVED,8645,unit per liter,UCUM,Unit,S,0,0,Unit,[U]/L,19700101,20991231,
fL,fL,52,,1.0,APPROVED,8583,femtoliter,UCUM,Unit,S,0,0,Unit,fL,19700101,20991231,
