sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
U/L,U/L,38,,0.46454885601997375,APPROVED,8645,
g/L,g/L,97,,0.41335010528564453,APPROVED,8636,
mg/L,mg/L,6,,0.4179113805294037,APPROVED,8751,
mmol/mol,mmol/mol,11,,0.5865698456764221,APPROVED,9579,
10*12/L,10*12/L,38,,1.0,APPROVED,44777575,
umol/L,umol/L,81,,0.7144085764884949,APPROVED,8749,
mIU/L,mIU/L,6,,0.543891191482544,APPROVED,9040,
mL/min/1.7,mL/min/1.7,10,,0.37371426820755005,UNCHECKED,9117,
g/dL,g/dL,38,,0.47991687059402466,APPROVED,8713,
/12,/12,5,,0.5985226035118103,UNCHECKED,0,
mmHg,mmHg,78,,0.31336861848831177,APPROVED,8876,
U/week,U/week,10,,0.4873812794685364,UNCHECKED,44777559,
mmol/l,mmol/l,37,,0.6982107758522034,APPROVED,8753,
%,%,58,,0.0,APPROVED,8554,
iu/L,iu/L,9,,0.5107577443122864,APPROVED,8923,
fl,fl,5,,1.0,APPROVED,8583,
u/L,u/L,46,,0.46454885601997375,APPROVED,8645,
fL,fL,52,,1.0,APPROVED,8583,
pg,pg,45,,0.6109821200370789,APPROVED,8564,
mol/mol,mol/mol,5,,0.4924120306968689,UNCHECKED,44777618,
light d/wk,light d/wk,9,,0.4058923125267029,UNCHECKED,4144040,
light d/wk,light d/wk,9,,0.4058923125267029,UNCHECKED,8621,
-9000001,-9000001,70,,0.5591076016426086,UNCHECKED,37116251,
cm,cm,40,,0.4221177399158478,APPROVED,8582,
ug/l,ug/l,5,,0.4198068678379059,APPROVED,8748,
Units/week,Units/week,10,,0.6680051684379578,UNCHECKED,44777559,
Kg,Kg,59,,0.5489564538002014,APPROVED,9529,
g/l,g/l,5,,0.41335010528564453,APPROVED,8636,
mu/L,mu/L,19,,0.49914515018463135,APPROVED,44777578,
10*9/L,10*9/L,268,,1.0,APPROVED,9444,
x10^9/l,x10^9/l,10,,0.2540746331214905,APPROVED,9444,
umol/l,umol/l,7,,0.7144085764884949,APPROVED,8749,
ml/min/1.7,ml/min/1.7,17,,0.37371426820755005,UNCHECKED,9117,
/4,/4,13,,0.4668683111667633,UNCHECKED,0,
mm Hg,mm Hg,131,,0.3295799791812897,APPROVED,8876,
mU/L,mU/L,7,,0.49914515018463135,APPROVED,44777578,
,,117,,0.0,UNCHECKED,0,
units/week,units/week,16,,0.6680051684379578,UNCHECKED,44777559,
L/L,L/L,7,,1.0,APPROVED,44777604,
kg/m2,kg/m2,12,,0.2769472599029541,APPROVED,9531,
-9999999,-9999999,2312,,0.6501447558403015,UNCHECKED,37203853,
IU/L,IU/L,11,,0.5107577443122864,APPROVED,8923,
x 10*9/L,x 10*9/L,7,,0.9775406718254089,APPROVED,9444,
ng/mL,ng/mL,16,,0.32332539558410645,APPROVED,8842,
-9000099,-9000099,558,,0.6720747351646423,UNCHECKED,35627087,
pmol/L,pmol/L,15,,0.5671860575675964,APPROVED,8729,
ug/L,ug/L,9,,0.4198068678379059,APPROVED,8748,
-9000004,-9000004,36,,0.5351148247718811,UNCHECKED,37116251,
kg,kg,15,,0.5489564538002014,APPROVED,9529,
mmol/L,mmol/L,383,,0.6982107758522034,APPROVED,8753,
IU,IU,8,,0.4208752512931824,APPROVED,8718,
10 9/L,10 9/L,21,,0.3839424252510071,APPROVED,9444,
pg/mL,pg/mL,8,,0.48374733328819275,APPROVED,8845,
1/1,1/1,21,,0.46151480078697205,UNCHECKED,0,
beats/min,beats/min,15,,0.45705631375312805,UNCHECKED,8483,
