field,date_field
190,191
30000,30002
30010,30012
30020,30022
30030,30032
30040,30042
30050,30052
30060,30062
30070,30072
30080,30082
30090,30092
30100,30102
30110,30112
30120,30122
30130,30132
30140,30142
30150,30152
30160,30162
30170,30172
30180,30182
30190,30192
30200,30202
30210,30212
30220,30222
30230,30232
30240,30242
30250,30252
30260,30262
30270,30272
30280,30282
30290,30292
30300,30302
30500,30502
30510,30512
30520,30522
30530,30532
30600,30601
30610,30611
30620,30621
30630,30631
30640,30641
30650,30651
30660,30661
30670,30671
30680,30681
30690,30691
30700,30701
30710,30711
30720,30721
30730,30731
30740,30741
30750,30751
30760,30761
30770,30771
30780,30781
30790,30791
30800,30801
30810,30811
30820,30821
30830,30831
30840,30841
30850,30851
30860,30861
30870,30871
30880,30881
30890,30891
40001,40000
40006,40005
40013,40005
2345,2355
