sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
20001,mesothelioma,1064,mesothelioma,,6,,1.0,APPROVED,Vaclav,1604336414027,4033891,EVENT,,<auto>,1604336140174
20001,penis cancer,1046,penis cancer,,44,,0.690782368183136,APPROVED,Vaclav,1604347501048,4181488,EVENT,,<auto>,1604336140460
20001,non-hodgkins lymphoma,1053,non-hodgkins lymphoma,,1129,,0.9415006637573242,APPROVED,Vaclav,1604342253671,4038838,EVENT,,Vaclav,1604342251312
20001,trachea cancer,1080,trachea cancer,,3,,0.826101541519165,APPROVED,Vaclav,1604343033001,4177112,EVENT,,<auto>,1604336140804
20001,multiple myeloma,1050,multiple myeloma,,220,,1.0,APPROVED,Vaclav,1604341510127,437233,EVENT,,Vaclav,1604341507079
20001,malignant melanoma,1059,malignant melanoma,,4380,,1.0,APPROVED,Vaclav,1604336431710,4299429,EVENT,,<auto>,1604336141099
20001,lymphoma,1047,lymphoma,,178,,1.0,APPROVED,Vaclav,1604338154557,432571,EVENT,,Vaclav,1604338125270
20001,hodgkins lymphoma / hodgkins disease,1052,hodgkins lymphoma / hodgkins disease,,526,,0.7644219398498535,APPROVED,Vaclav,1604345527600,4038835,EVENT,,Vaclav,1604345517297
20001,non-small cell lung cancer,1028,non-small cell lung cancer,,76,,1.0,APPROVED,Vaclav,1604336443882,4115276,EVENT,,<auto>,1604336142489
20001,thyroid cancer,1065,thyroid cancer,,550,,1.0,APPROVED,Vaclav,1604338263742,4178976,EVENT,,Vaclav,1604338257859
20001,leukaemia,1048,leukaemia,,262,,1.0,APPROVED,Vaclav,1604336500660,317510,EVENT,,<auto>,1604336142532
20001,chronic lymphocytic,1055,chronic lymphocytic,,376,,0.8221046924591064,FLAGGED,,0,4041666,EVENT,,<auto>,1604336142879
20001,prostate cancer,1044,prostate cancer,,4681,,1.0,APPROVED,Vaclav,1604338317124,4116087,EVENT,,Vaclav,1604338311904
20001,non-melanoma skin cancer,1060,non-melanoma skin cancer,,798,,0.6121578216552734,FLAGGED,,0,141232,EVENT,no clue,<auto>,1604336144656
20001,myelofibrosis or myelodysplasia,1051,myelofibrosis or myelodysplasia,,34,,0.6864266991615295,APPROVED,Vaclav,1604347723346,133169,EVENT,,<auto>,1604336145077
