sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
20002,diabetes,1220,diabetes,,23996,,0.8904300332069397,APPROVED,Vaclav,1604396402676,201820,EVENT,,Vaclav,1604396395977
20002,fracture hand,1638,fracture hand,,441,,0.8478937149047852,APPROVED,Vaclav,1604397104088,4071876,EVENT,,<auto>,1604359804705
20002,uterine problem,1552,uterine problem,,91,,0.7672346234321594,APPROVED,Vaclav,1604404677075,4129177,EVENT,,Vaclav,1604404675001
20002,asbestosis,1120,asbestosis,,208,,1.0,APPROVED,Vaclav,1604361691699,256450,EVENT,,<auto>,1604359804727
20002,haemophilia,1328,haemophilia,,78,,1.0,APPROVED,Vaclav,1604361697782,4236898,EVENT,,<auto>,1604359804809
20002,rheumatic fever,1479,rheumatic fever,,1607,,1.0,APPROVED,Vaclav,1604361707696,442313,EVENT,,<auto>,1604359804846
20002,diabetes insipidus,1521,diabetes insipidus,,29,,1.0,APPROVED,Vaclav,1604361709835,30968,EVENT,,<auto>,1604359804924
20002,pleural plaques (not known asbestosis),1595,pleural plaques (not known asbestosis),,88,,0.5092961192131042,FLAGGED,,0,4049971,EVENT,,<auto>,1604359805087
20002,grave's disease,1522,grave's disease,,167,,0.6568337082862854,APPROVED,Vaclav,1604414892421,4232076,EVENT,,Vaclav,1604414885078
20002,cervical problem,1553,cervical problem,,56,,0.6513034701347351,FLAGGED,,0,4128191,EVENT,,Vaclav,1604415091821
20002,dermatomyositis,1480,dermatomyositis,,40,,1.0,APPROVED,Vaclav,1604361712445,80182,EVENT,,<auto>,1604359805772
20002,fracture finger,1639,fracture finger,,984,,0.8683318495750427,APPROVED,Vaclav,1604396678995,4057580,EVENT,,<auto>,1604359805788
20002,pulmonary fibrosis,1121,pulmonary fibrosis,,148,,1.0,APPROVED,Vaclav,1604361723999,4197819,EVENT,,<auto>,1604359805830
20002,iron deficiency anaemia,1330,iron deficiency anaemia,,3504,,1.0,APPROVED,Vaclav,1604362630844,436659,EVENT,,<auto>,1604359805950
20002,pleural effusion,1596,pleural effusion,,50,,1.0,APPROVED,Vaclav,1604362636305,254061,EVENT,,<auto>,1604359806032
20002,gestational diabetes,1221,gestational diabetes,,313,,1.0,APPROVED,Vaclav,1604362742601,4024659,EVENT,,<auto>,1604359806125
20002,polymyositis,1481,polymyositis,,73,,1.0,APPROVED,Vaclav,1604362989367,80800,EVENT,,<auto>,1604359806189
20002,trigemminal neuralgia,1523,trigemminal neuralgia,,324,,0.8678503632545471,APPROVED,Vaclav,1604396681986,379801,EVENT,,<auto>,1604359806284
20002,fracture thumb,1640,fracture thumb,,235,,0.9132489562034607,FLAGGED,,0,4166901,EVENT,,<auto>,1604359806595
20002,tinnitus / tiniitis,1597,tinnitus / tiniitis,,1946,,0.5815469026565552,APPROVED,Vaclav,1604423889486,377575,EVENT,,<auto>,1604359806804
20002,pernicious anaemia,1331,pernicious anaemia,,1674,,1.0,APPROVED,Vaclav,1604362991936,432295,EVENT,,<auto>,1604359806812
20002,type 1 diabetes,1222,type 1 diabetes,,544,,0.7992866635322571,APPROVED,Vaclav,1604404114915,201254,EVENT,,<auto>,1604359806996
20002,spina bifida,1524,spina bifida,,87,,1.0,APPROVED,Vaclav,1604362993394,4283381,EVENT,,<auto>,1604359807104
20002,fibrosing alveolitis/unspecified alveolitis,1122,fibrosing alveolitis/unspecified alveolitis,,98,,0.6330997943878174,APPROVED,Vaclav,1604418720597,4025168,EVENT,,<auto>,1604359807122
20002,chronic fatigue syndrome,1482,chronic fatigue syndrome,,2440,,1.0,APPROVED,Vaclav,1604362995720,432738,EVENT,,<auto>,1604359807304
20002,fracture rib,1644,fracture rib,,807,,0.8554422855377197,APPROVED,Vaclav,1604397046674,4142905,EVENT,,<auto>,1604359807405
20002,tonsiltis,1598,tonsiltis,,6555,,0.6245871782302856,APPROVED,Vaclav,1604419944992,4234533,EVENT,,<auto>,1604359807491
20002,aplastic anaemia,1332,aplastic anaemia,,40,,1.0,APPROVED,Vaclav,1604362997584,137829,EVENT,,<auto>,1604359807564
20002,cervical intra-epithelial neoplasia (cin) / precancerous cells cervix,1554,cervical intra-epithelial neoplasia (cin) / precancerous cells cervix,,473,,0.5252598524093628,APPROVED,Vaclav,1604427427264,198572,EVENT,,<auto>,1604359807702
20002,sleep apnoea,1123,sleep apnoea,,1919,,1.0,APPROVED,Vaclav,1604363006562,313459,EVENT,,<auto>,1604359807753
20002,type 2 diabetes,1223,type 2 diabetes,,4546,,0.8033038973808289,APPROVED,Vaclav,1604403993613,201826,EVENT,,<auto>,1604359807892
20002,atrial flutter,1483,atrial flutter,,171,,1.0,APPROVED,Vaclav,1604363008255,314665,EVENT,,<auto>,1604359808082
20002,constipation,1599,constipation,,753,,1.0,APPROVED,Vaclav,1604363009814,75860,EVENT,,<auto>,1604359808201
20002,benign / essential tremor,1525,benign / essential tremor,,242,,0.6904712915420532,APPROVED,Vaclav,1604406540621,43531003,EVENT,,<auto>,1604359808203
20002,fracture sternum,1645,fracture sternum,,56,,0.9323122501373291,APPROVED,Vaclav,1604395775301,4302740,EVENT,,<auto>,1604359808347
20002,cervical polyps,1555,cervical polyps,,315,,0.8784213066101074,APPROVED,Vaclav,1604396667929,4280498,EVENT,,<auto>,1604359808401
20002,sickle cell disease,1339,sickle cell disease,,79,,1.0,FLAGGED,,0,4213628,EVENT,,<auto>,1604359808523
20002,respiratory failure,1124,respiratory failure,,31,,1.0,APPROVED,Vaclav,1604363044704,4256228,EVENT,,<auto>,1604359808653
20002,polio / poliomyelitis,1526,polio / poliomyelitis,,458,,0.7821072340011597,APPROVED,Vaclav,1604404538577,378679,EVENT,,<auto>,1604359808964
20002,thyroid problem (not cancer),1224,thyroid problem (not cancer),,1464,,0.5772638916969299,FLAGGED,,0,4178976,EVENT,,<auto>,1604359809086
20002,wolff parkinson white / wpw syndrome,1484,wolff parkinson white / wpw syndrome,,104,,0.7252430319786072,APPROVED,Vaclav,1604405719631,4253363,EVENT,,<auto>,1604359809204
20002,pleurisy,1125,pleurisy,,1974,,1.0,APPROVED,Vaclav,1604363146640,78786,EVENT,,<auto>,1604359809209
20002,thalassaemia,1340,thalassaemia,,167,,1.0,APPROVED,Vaclav,1604363147963,30978,EVENT,,<auto>,1604359809263
20002,menorrhagia (unknown cause),1556,menorrhagia (unknown cause),,1843,,0.5401946902275085,APPROVED,Vaclav,1604426921946,4302555,EVENT,,Vaclav,1604426918350
20002,bowel / intestinal perforation,1600,bowel / intestinal perforation,,81,,0.7630630731582642,APPROVED,Vaclav,1604404836920,193242,EVENT,,<auto>,1604359809695
20002,fracture vertebra / crush fracture / vertebral collapse,1646,fracture vertebra / crush fracture / vertebral collapse,,503,,0.675931990146637,APPROVED,Vaclav,1604414199679,4174520,EVENT,,Vaclav,1604414194100
20002,irregular heart beat,1485,irregular heart beat,,1298,,1.0,APPROVED,Vaclav,1604363151430,4263255,EVENT,,<auto>,1604359809927
20002,retinitis pigmentosa,1527,retinitis pigmentosa,,53,,1.0,APPROVED,Vaclav,1604363248758,4103381,EVENT,,<auto>,1604359810204
20002,stevens johnson syndrome,1344,stevens johnson syndrome,,50,,1.0,APPROVED,Vaclav,1604363252419,141651,EVENT,,<auto>,1604359810229
20002,hyperthyroidism/thyrotoxicosis,1225,hyperthyroidism/thyrotoxicosis,,4246,,0.6072674989700317,FLAGGED,,0,4142479,EVENT,which one?,<auto>,1604359810304
20002,sick sinus syndrome,1486,sick sinus syndrome,,27,,1.0,APPROVED,Vaclav,1604363255813,4261842,EVENT,,<auto>,1604359810679
20002,pelvic inflammatory disease/ pid,1557,pelvic inflammatory disease/ pid,,90,,0.8134523630142212,APPROVED,Vaclav,1604398267005,199067,EVENT,,<auto>,1604359810713
20002,fracture pelvis,1647,fracture pelvis,,269,,0.9152604937553406,APPROVED,Vaclav,1604396097557,4300192,EVENT,,<auto>,1604359810753
20002,spontaneous pneumothorax/recurrent pneumothorax,1126,spontaneous pneumothorax/recurrent pneumothorax,,1201,,0.6362634301185608,APPROVED,Vaclav,1604418274212,255302,EVENT,,<auto>,1604359810756
20002,bowel / intestinal infarction,1601,bowel / intestinal infarction,,22,,0.7480786442756653,FLAGGED,,0,4319280,EVENT,Is it accute?,<auto>,1604359810789
20002,pemphigoid/pemphigus,1345,pemphigoid/pemphigus,,73,,0.6314629316329956,FLAGGED,,0,139899,EVENT,"2 codes, which one?",<auto>,1604359810831
20002,hypothyroidism/myxoedema,1226,hypothyroidism/myxoedema,,27850,,0.5878003239631653,FLAGGED,,0,4182596,EVENT,which one?,<auto>,1604359810967
20002,macular degeneration,1528,macular degeneration,,591,,0.8635466694831848,FLAGGED,,0,374028,EVENT,,<auto>,1604359811297
20002,ectopic pregnancy,1558,ectopic pregnancy,,542,,1.0,APPROVED,Vaclav,1604363259170,437611,EVENT,,<auto>,1604359811746
20002,dry eyes,1529,dry eyes,,1356,,1.0,APPROVED,Vaclav,1604363260606,4036620,EVENT,,<auto>,1604359811788
20002,oesophageal disorder,1134,oesophageal disorder,,327,,0.8105359673500061,FLAGGED,,0,134681,EVENT,,<auto>,1604359811818
20002,fracture neck of femur / hip,1648,fracture neck of femur / hip,,402,,0.7966779470443726,APPROVED,Vaclav,1604404244464,433856,EVENT,,<auto>,1604359811878
