sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:category_name,ADD_INFO:notes,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
2724,Had menopause,-3,Prefer not to answer,,309811,,Female-specific factors,ACE touchscreen question ''Have you had your menopause (periods stopped)?'',0.8264210224151611,IGNORED,,0,4211787,EVENT,,,1610119527471
2724,Had menopause,-3,Prefer not to answer,,309811,,Female-specific factors,ACE touchscreen question ''Have you had your menopause (periods stopped)?'',0.8264210224151611,IGNORED,,0,4128329,VALUE,,,1610119527472
2443,Diabetes diagnosed by doctor,-3,Prefer not to answer,,573331,,Medical conditions,"ACE touchscreen question ''Has a doctor ever told you that you have diabetes?'' If the participant activated the Help button they were shown the message: If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit. ",0.585104763507843,IGNORED,,0,0,EVENT,,,1610120855658
2724,Had menopause,1,Yes,,309811,,Female-specific factors,ACE touchscreen question ''Have you had your menopause (periods stopped)?'',0.8264210224151611,UNCHECKED,,0,4214956,EVENT,,sofia,1610119709084
2814,Ever used hormone-replacement therapy (HRT),-3,Prefer not to answer,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever used hormone replacement therapy (HRT)?'',0.7395877838134766,IGNORED,,0,0,EVENT,,,1610120855658
2443,Diabetes diagnosed by doctor,0,No,,573331,,Medical conditions,"ACE touchscreen question ''Has a doctor ever told you that you have diabetes?'' If the participant activated the Help button they were shown the message: If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit. ",0.585104763507843,APPROVED,sofia,1610120759383,201820,VALUE,,,1610119527474
2443,Diabetes diagnosed by doctor,0,No,,573331,,Medical conditions,"ACE touchscreen question ''Has a doctor ever told you that you have diabetes?'' If the participant activated the Help button they were shown the message: If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit. ",0.585104763507843,APPROVED,sofia,1610120759383,40481925,EVENT,,sofia,1610120758148
2986,Started insulin within one year diagnosis of diabetes,1,Yes,,29218,,Medical conditions,"ACE touchscreen question ''Did you start insulin within one year of your diagnosis of diabetes?'' ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",0.41381725668907166,APPROVED,sofia,1610119763824,4086160,VALUE,,,1610119527475
2986,Started insulin within one year diagnosis of diabetes,1,Yes,,29218,,Medical conditions,"ACE touchscreen question ''Did you start insulin within one year of your diagnosis of diabetes?'' ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",0.41381725668907166,APPROVED,sofia,1610119763824,4214956,EVENT,,sofia,1610119760036
2443,Diabetes diagnosed by doctor,1,Yes,,573331,,Medical conditions,"ACE touchscreen question ''Has a doctor ever told you that you have diabetes?'' If the participant activated the Help button they were shown the message: If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit. ",0.585104763507843,APPROVED,sofia,1610119814089,201820,VALUE,,,1610119527475
2443,Diabetes diagnosed by doctor,1,Yes,,573331,,Medical conditions,"ACE touchscreen question ''Has a doctor ever told you that you have diabetes?'' If the participant activated the Help button they were shown the message: If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit. ",0.585104763507843,APPROVED,sofia,1610119814089,4214956,EVENT,,sofia,1610119806656
2463,Fractured/broken bones in last 5 years,0,No,,573331,,Medical conditions,ACE touchscreen question ''Have you fractured/broken any bones in the last 5 years?'',0.4573218822479248,APPROVED,sofia,1610120777312,75053,VALUE,Missing 'in last 5 years',,1610119527476
2463,Fractured/broken bones in last 5 years,0,No,,573331,,Medical conditions,ACE touchscreen question ''Have you fractured/broken any bones in the last 5 years?'',0.4573218822479248,APPROVED,sofia,1610120777312,40481925,EVENT,Missing 'in last 5 years',sofia,1610120776048
2814,Ever used hormone-replacement therapy (HRT),0,No,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever used hormone replacement therapy (HRT)?'',0.7395877838134766,APPROVED,sofia,1610119987543,4141760,VALUE,,,1610119527476
2814,Ever used hormone-replacement therapy (HRT),0,No,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever used hormone replacement therapy (HRT)?'',0.7395877838134766,APPROVED,sofia,1610119987543,40481925,EVENT,,sofia,1610119981190
4041,Gestational diabetes only,-1,Do not know,,11738,,Medical conditions,"ACE touchscreen question ''Did you only have diabetes during pregnancy?'' ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",0.7677391767501831,IGNORED,,0,0,EVENT,,,1610120855659
2463,Fractured/broken bones in last 5 years,1,Yes,,573331,,Medical conditions,ACE touchscreen question ''Have you fractured/broken any bones in the last 5 years?'',0.4573218822479248,APPROVED,sofia,1610119873971,75053,VALUE,Missing 'in last 5 years',,1610119527476
2463,Fractured/broken bones in last 5 years,1,Yes,,573331,,Medical conditions,ACE touchscreen question ''Have you fractured/broken any bones in the last 5 years?'',0.4573218822479248,APPROVED,sofia,1610119873971,4214956,EVENT,Missing 'in last 5 years',sofia,1610119872011
4041,Gestational diabetes only,-2,Not applicable,,11738,,Medical conditions,"ACE touchscreen question ''Did you only have diabetes during pregnancy?'' ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",0.7677391767501831,IGNORED,,0,0,EVENT,,,1610120855659
2814,Ever used hormone-replacement therapy (HRT),1,Yes,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever used hormone replacement therapy (HRT)?'',0.7395877838134766,APPROVED,sofia,1610119931436,4141760,VALUE,,,1610119527477
2814,Ever used hormone-replacement therapy (HRT),1,Yes,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever used hormone replacement therapy (HRT)?'',0.7395877838134766,APPROVED,sofia,1610119931436,4214956,EVENT,,sofia,1610119928051
4041,Gestational diabetes only,-3,Prefer not to answer,,11738,,Medical conditions,"ACE touchscreen question ''Did you only have diabetes during pregnancy?'' ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",0.7677391767501831,IGNORED,,0,0,EVENT,,,1610120855659
2463,Fractured/broken bones in last 5 years,-3,Prefer not to answer,,573331,,Medical conditions,ACE touchscreen question ''Have you fractured/broken any bones in the last 5 years?'',0.4573218822479248,IGNORED,,0,0,EVENT,,,1610120855659
