sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
6151,Fractured bone site(s),4,Spine,,-1,,0.55611652135849,APPROVED,Maxim,1646387940095,4307182,EVENT,,Maxim,1646387939330
22134,Doctor diagnosed bronchiectasis,1,Yes,,-1,,0.6665395498275757,APPROVED,,0,256449,VALUE,,<auto>,1646386482160
22134,Doctor diagnosed bronchiectasis,1,Yes,,-1,,0.6665395498275757,APPROVED,,0,4214956,EVENT,,Maxim,1646387757191
3005,Fracture resulting from simple fall,1,Yes,,-1,,0.6323604583740234,APPROVED,maxim,1646662110368,4214956,EVENT,,maxim,1646662094720
3005,Fracture resulting from simple fall,1,Yes,,-1,,0.6323604583740234,APPROVED,maxim,1646662110368,4217808,VALUE,,maxim,1646662100527
22126,Doctor diagnosed hayfever or allergic rhinitis,0,No,,-1,,0.543834924697876,APPROVED,,0,257007,VALUE,,<auto>,1646386484720
22126,Doctor diagnosed hayfever or allergic rhinitis,0,No,,-1,,0.543834924697876,APPROVED,,0,4211787,EVENT,,Maxim,1646387806782
22177,Recent medication for tuberculosis,1,Yes,,-1,,0.7042408585548401,APPROVED,maxim,1646660474436,35811571,EVENT,,maxim,1646660295587
22177,Recent medication for tuberculosis,1,Yes,,-1,,0.7042408585548401,APPROVED,maxim,1646660474436,35825062,VALUE,,maxim,1646660370114
22172,Recent medication for alpha-1 antitrypsin deficiency,1,Yes,,-1,,0.6926702260971069,APPROVED,maxim,1646660390549,35811566,EVENT,,maxim,1646660178325
22172,Recent medication for alpha-1 antitrypsin deficiency,1,Yes,,-1,,0.6926702260971069,APPROVED,maxim,1646660390549,35825062,VALUE,,maxim,1646660370114
21024,Ever diagnosed with IBS,0,No,,-1,,0.5179217457771301,APPROVED,maxim,1646661945695,75576,VALUE,,maxim,1646661922957
21024,Ever diagnosed with IBS,0,No,,-1,,0.5179217457771301,APPROVED,maxim,1646661945695,4032324,EVENT,,maxim,1646661940799
22181,Recent medication for mesothelioma of the lung,1,Yes,,-1,,0.563970148563385,APPROVED,maxim,1646660465586,35811575,EVENT,,maxim,1646660274055
22181,Recent medication for mesothelioma of the lung,1,Yes,,-1,,0.563970148563385,APPROVED,maxim,1646660465586,35825062,VALUE,,maxim,1646660370114
20544,Mental health problems ever diagnosed by a professional,-819,Prefer not to answer (group B),,-1,,0.4628041386604309,IGNORED,Maxim,1646386712772,0,EVENT,,,0
22135,Doctor diagnosed idiopathic pulmonary fibrosis,1,Yes,,-1,,0.7833737134933472,APPROVED,,0,45763750,VALUE,,<auto>,1646386488513
22135,Doctor diagnosed idiopathic pulmonary fibrosis,1,Yes,,-1,,0.7833737134933472,APPROVED,,0,4214956,EVENT,,Maxim,1646387757191
6150,Vascular/heart problems diagnosed by doctor,1,Heart attack,,-1,,0.4304583966732025,APPROVED,Maxim,1646388000293,4214956,EVENT,,Maxim,1646387985914
6150,Vascular/heart problems diagnosed by doctor,1,Heart attack,,-1,,0.4304583966732025,APPROVED,Maxim,1646388000293,4329847,VALUE,,Maxim,1646387999201
22178,Recent medication for silicosis,1,Yes,,-1,,0.4514694809913635,APPROVED,maxim,1646660472165,35811572,EVENT,,maxim,1646660288789
22178,Recent medication for silicosis,1,Yes,,-1,,0.4514694809913635,APPROVED,maxim,1646660472165,35825062,VALUE,,maxim,1646660370114
6151,Fractured bone site(s),1,Ankle,,-1,,0.55611652135849,APPROVED,Maxim,1646387923138,4193155,EVENT,,Maxim,1646387921474
20544,Mental health problems ever diagnosed by a professional,4,A personality disorder,,-1,,0.4628041386604309,APPROVED,maxim,1646661840720,35811230,EVENT,,maxim,1646661618859
20544,Mental health problems ever diagnosed by a professional,4,A personality disorder,,-1,,0.4628041386604309,APPROVED,maxim,1646661840720,441838,VALUE,,maxim,1646661840245
22173,Recent medication for sarcoidosis,1,Yes,,-1,,0.6986559629440308,APPROVED,maxim,1646660469283,35811567,EVENT,,maxim,1646660282128
22173,Recent medication for sarcoidosis,1,Yes,,-1,,0.6986559629440308,APPROVED,maxim,1646660469283,35825062,VALUE,,maxim,1646660370114
22136,Doctor diagnosed fibrosing alveolitis/unspecified alveolitis,1,Yes,,-1,,0.5477283000946045,APPROVED,,0,4025168,VALUE,,<auto>,1646386494120
22136,Doctor diagnosed fibrosing alveolitis/unspecified alveolitis,1,Yes,,-1,,0.5477283000946045,APPROVED,,0,4214956,EVENT,,Maxim,1646387757191
22168,Recent medication for emphysema,0,No,,-1,,0.6233890652656555,IGNORED,maxim,1646660455315,0,EVENT,,,0
22181,Recent medication for mesothelioma of the lung,0,No,,-1,,0.563970148563385,IGNORED,maxim,1646660467202,0,EVENT,,,0
20116,Smoking status,0,Never,,-1,,0.8355186581611633,APPROVED,maxim,1646661036963,4144272,EVENT,,maxim,1646661098700
22179,Recent medication for asbestosis,1,Yes,,-1,,0.7005959153175354,APPROVED,maxim,1646660434432,35811573,EVENT,,maxim,1646660185293
22179,Recent medication for asbestosis,1,Yes,,-1,,0.7005959153175354,APPROVED,maxim,1646660434432,35825062,VALUE,,maxim,1646660370114
10844,Gestational diabetes only (pilot),1,Yes,,-1,,0.6028794646263123,APPROVED,Maxim,1646387191541,4024659,EVENT,,Maxim,1646387180099
22137,Doctor diagnosed tuberculosis,1,Yes,,-1,,0.6671009659767151,APPROVED,,0,434557,VALUE,,Maxim,1646387339826
22137,Doctor diagnosed tuberculosis,1,Yes,,-1,,0.6671009659767151,APPROVED,,0,4214956,EVENT,,Maxim,1646387757191
20544,Mental health problems ever diagnosed by a professional,10,"Mania, hypomania, bipolar or manic-depression",,-1,,0.4628041386604309,APPROVED,maxim,1646661684548,35811230,EVENT,,maxim,1646661618859
20544,Mental health problems ever diagnosed by a professional,10,"Mania, hypomania, bipolar or manic-depression",,-1,,0.4628041386604309,APPROVED,maxim,1646661684548,436665,VALUE,,maxim,1646661682187
20117,Alcohol drinker status,0,Never,,-1,,0.7097856402397156,APPROVED,maxim,1646661174273,37204556,EVENT,,maxim,1646661172733
22506,Tobacco smoking,-818,Prefer not to answer,,-1,,0.9010772109031677,IGNORED,Maxim,1646386712355,0,EVENT,,,0
22174,Recent medication for bronchiectasis,1,Yes,,-1,,0.7063411474227905,APPROVED,maxim,1646660447324,35811568,EVENT,,maxim,1646660200175
22174,Recent medication for bronchiectasis,1,Yes,,-1,,0.7063411474227905,APPROVED,maxim,1646660447324,35825062,VALUE,,maxim,1646660370114
6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",5,Blood clot in the leg (DVT),,-1,,0.4737726151943207,APPROVED,Maxim,1646388092781,4214956,EVENT,,Maxim,1646388066468
6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",5,Blood clot in the leg (DVT),,-1,,0.4737726151943207,APPROVED,Maxim,1646388092781,443537,VALUE,,Maxim,1646388091274
21024,Ever diagnosed with IBS,-818,Prefer not to answer,,-1,,0.5179217457771301,IGNORED,Maxim,1646386712118,0,EVENT,,,0
22180,Recent medication for lung cancer (not mesothelioma),0,No,,-1,,0.5044025182723999,IGNORED,maxim,1646660464110,0,EVENT,,,0
