sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:category_name,ADD_INFO:notes,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
30746,Glucose reportability,3,Reportable at assay but not reportable after any corrections (too high),,445261,,Blood biochemistry processing,The reportability of aGlucose assay result. Absence of a value here means that a result has not been attempted.,0.5244626998901367,APPROVED,Sofia,1603280983043,4040635,EVENT,,Sofia,1603273109701
30746,Glucose reportability,3,Reportable at assay but not reportable after any corrections (too high),,445261,,Blood biochemistry processing,The reportability of aGlucose assay result. Absence of a value here means that a result has not been attempted.,0.5244626998901367,APPROVED,Sofia,1603280983043,4282459,EVENT,,Sofia,1603273890278
30746,Glucose reportability,3,Reportable at assay but not reportable after any corrections (too high),,445261,,Blood biochemistry processing,The reportability of aGlucose assay result. Absence of a value here means that a result has not been attempted.,0.5244626998901367,APPROVED,Sofia,1603280983043,4156364,VALUE,,Sofia,1603280818179
1558,Alcohol intake frequency.,5,Special occasions only,,573365,,Alcohol,"ACE touchscreen question ''About how often do you drink alcohol?'' If the participant activated the Help button they were shown the message: If this varies a lot, please provide an average considering your intake over the last year ",0.705031156539917,APPROVED,,0,4052351,EVENT,,,1603269146035
1558,Alcohol intake frequency.,5,Special occasions only,,573365,,Alcohol,"ACE touchscreen question ''About how often do you drink alcohol?'' If the participant activated the Help button they were shown the message: If this varies a lot, please provide an average considering your intake over the last year ",0.705031156539917,APPROVED,,0,45885326,VALUE,,,1603269146037
30885,Urate missing reason,1,No data returned,,24569,,Blood biochemistry processing,The reason that a Urate assay result is missing.,0.5825872421264648,APPROVED,Sofia,1603277473797,44803923,EVENT,,Sofia,1603269437878
30885,Urate missing reason,1,No data returned,,24569,,Blood biochemistry processing,The reason that a Urate assay result is missing.,0.5825872421264648,APPROVED,Sofia,1603277473797,4229128,EVENT,,Sofia,1603274273186
30885,Urate missing reason,1,No data returned,,24569,,Blood biochemistry processing,The reason that a Urate assay result is missing.,0.5825872421264648,APPROVED,Sofia,1603277473797,46237210,VALUE,,Sofia,1603277447480
30785,LDL direct missing reason,8,Not reportable because dilution factor 0.9-0.99 or 1.01-1.1,,24880,,Blood biochemistry processing,The reason that a LDL direct assay result is missing.,0.44189637899398804,APPROVED,Sofia,1603278955101,44803923,EVENT,,Sofia,1603269573831
30785,LDL direct missing reason,8,Not reportable because dilution factor 0.9-0.99 or 1.01-1.1,,24880,,Blood biochemistry processing,The reason that a LDL direct assay result is missing.,0.44189637899398804,APPROVED,Sofia,1603278955101,4329038,EVENT,,Sofia,1603274074128
