field_id,field_name,main_category_id,main_category_name,category_tree,type_concept_id
3,Verbal interview duration,152,Process durations,152>100004>100000,32879
4,Biometrics duration,152,Process durations,152>100004>100000,32879
5,Sample collection duration,152,Process durations,152>100004>100000,32879
6,Conclusion duration,152,Process durations,152>100004>100000,32879
630,Touchscreen duration,152,Process durations,152>100004>100000,32879
5198,Eye measures duration,152,Process durations,152>100004>100000,32879
6022,ECG during exercise duration,152,Process durations,152>100004>100000,32879
10241,Touchscreen duration (pilot),152,Process durations,152>100004>100000,32879
21611,Reception duration,152,Process durations,152>100004>100000,32879
21621,Consent duration,152,Process durations,152>100004>100000,32879
21622,Touchscreen duration,152,Process durations,152>100004>100000,32879
21623,Touchscreen cognitive duration (pilot),152,Process durations,152>100004>100000,32879
21625,Touchscreen cognitive duration,152,Process durations,152>100004>100000,32879
21631,Verbal interview duration,152,Process durations,152>100004>100000,32879
21632,Pilot Spirometry duration,152,Process durations,152>100004>100000,32879
21633,Measurement/Impedance duration (pilot),152,Process durations,152>100004>100000,32879
21634,Biometrics duration,152,Process durations,152>100004>100000,32879
21636,Eye measures duration,152,Process durations,152>100004>100000,32879
21638,ECG during exercise duration,152,Process durations,152>100004>100000,32879
21641,Urine collection duration,152,Process durations,152>100004>100000,32879
21642,Sample collection duration,152,Process durations,152>100004>100000,32879
21651,Conclusion duration,152,Process durations,152>100004>100000,32879
21661,Imaging screening duration,152,Process durations,152>100004>100000,32879
21662,Brain MRI duration,152,Process durations,152>100004>100000,32879
21663,Chest MRI duration,152,Process durations,152>100004>100000,32879
21664,DXA assessment duration,152,Process durations,152>100004>100000,32879
21665,Carotid ultrasound duration,152,Process durations,152>100004>100000,32879
21666,ECG at rest duration,152,Process durations,152>100004>100000,32879
21671,Cardiac monitor duration,152,Process durations,152>100004>100000,32879
19,Heel ultrasound method,100018,Bone-densitometry of heel,100018>100006>100000,32879
45,Heel ultrasound device id,100018,Bone-densitometry of heel,100018>100006>100000,32879
77,"Heel bone ultrasound T-score, manual entry",100018,Bone-densitometry of heel,100018>100006>100000,32879
