sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
100001,Food weight,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100002,Energy,458637,,0.00,UNCHECKED,UNREVIEWED,,0,32962,kilojoule,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100003,Protein,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100004,Fat,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100005,Carbohydrate,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100006,Saturated fat,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100007,Polyunsaturated fat,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100008,Total sugars,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100009,Englyst dietary fibre,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100011,Iron,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8576,milligram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100012,Vitamin B6,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8576,milligram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100013,Vitamin B12,458637,,0.00,UNCHECKED,UNREVIEWED,,0,9655,microgram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100014,Folate,458637,,0.00,UNCHECKED,UNREVIEWED,,0,9655,microgram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100015,Vitamin C,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8576,milligram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100016,Potassium,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8576,milligram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100017,Magnesium,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8576,milligram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100018,Retinol,442686,,0.00,UNCHECKED,UNREVIEWED,,0,9655,microgram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100019,Carotene,458637,,0.00,UNCHECKED,UNREVIEWED,,0,9655,microgram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100021,Vitamin D,458637,,0.00,UNCHECKED,UNREVIEWED,,0,9655,microgram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100022,Alcohol,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100023,Starch,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8504,gram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100024,Calcium,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8576,milligram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
100025,Vitamin E,458637,,0.00,UNCHECKED,UNREVIEWED,,0,8576,milligram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
10133,Number of columns displayed in round (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10134,Number of rows displayed in round (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10136,Number of correct matches in round (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10137,Number of incorrect matches in round (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10141,Number of times snap-button pressed (pilot),74280,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10142,Number of columns displayed (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10143,Number of rows displayed (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10144,Time taken to complete lights test (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,32961,decisecond,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
10145,Pattern of lights displayed (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10146,Pattern of lights as remembered (pilot),11142,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10147,Duration to first press of snap-button in each round (pilot),30021,,0.00,UNCHECKED,UNREVIEWED,,0,9593,millisecond,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
10241,Touchscreen duration (pilot),3714,,0.00,UNCHECKED,UNREVIEWED,,0,32961,decisecond,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
105010,When diet questionnaire completed,458573,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
105030,When diet questionnaire started,458573,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10609,Words answer array (pilot),67083,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10693,Acceptability of each blow result (pilot),10180,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10694,Forced vital capacity (FVC) (pilot),10180,,0.00,APPROVED,EQUIVALENT,maxim,1646636767137,4176265,Forced vital capacity,Measurement,MAPS_TO,,<athena>,1646635032000,
10694,Forced vital capacity (FVC) (pilot),10180,,0.00,APPROVED,EQUIVALENT,maxim,1646636767137,8519,liter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
10695,Forced expiratory volume in 1-second (FEV1) (pilot),10180,,0.00,APPROVED,EQUIVALENT,maxim,1646636774187,4241837,Forced expired volume in 1 second,Measurement,MAPS_TO,,<athena>,1646635032000,
10695,Forced expiratory volume in 1-second (FEV1) (pilot),10180,,0.00,APPROVED,EQUIVALENT,maxim,1646636774187,8519,liter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
10696,Peak expiratory flow (PEF) (pilot),10180,,0.00,APPROVED,EQUIVALENT,maxim,1646636653655,4106714,Peak expiratory flow measurement,Measurement,MAPS_TO,,<athena>,1646635032000,
10697,Data points for blow (pilot),10180,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10714,Spirometry device serial number (pilot),3426,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
10717,Number of measurements made (pilot),3426,,0.00,APPROVED,EQUIVALENT,maxim,1646635587558,40486532,Number of procedure attempts,Observation,MAPS_TO,,<athena>,1646635032000,
118,Mother's day of birth,279605,,0.00,UNCHECKED,UNREVIEWED,,0,8512,day,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12143,Weight (pre-imaging),52197,,0.00,APPROVED,EQUIVALENT,maxim,1646635509805,4178502,Body weight measure,Observation,MAPS_TO,,<athena>,1646635032000,
12143,Weight (pre-imaging),52197,,0.00,APPROVED,EQUIVALENT,maxim,1646635509805,9529,kilogram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12144,Height,52197,,0.00,APPROVED,EQUIVALENT,maxim,1646635779126,4177340,Body height measure,Observation,MAPS_TO,,<athena>,1646635032000,
12144,Height,52197,,0.00,APPROVED,EQUIVALENT,maxim,1646635779126,8582,centimeter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12148,Number of imaging stages blocked at screening,52197,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12336,Ventricular rate,44828,,0.00,UNCHECKED,UNREVIEWED,,0,8483,counts per minute,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12338,P duration,42478,,0.00,UNCHECKED,UNREVIEWED,,0,9593,millisecond,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12340,QRS duration,44819,,0.00,UNCHECKED,UNREVIEWED,,0,9593,millisecond,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12624,Identifier for blood pressure device,51384,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12651,Duration of eprime test,42017,,0.00,UNCHECKED,UNREVIEWED,,0,8555,second,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12652,Reason brain MRI not performed,1501,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12653,ECG automated diagnoses,250724,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12654,Number of automated diagnostic comments recorded during 12-lead ECG,44202,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12658,Identifier for 12-lead ECG device,51694,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12663,Reason believed unsafe to perform brain MRI,1084,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12671,PWA start time,86893,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12673,Heart rate during PWA,86774,,0.00,UNCHECKED,UNREVIEWED,,0,8483,counts per minute,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12674,Systolic brachial blood pressure during PWA,85450,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12675,Diastolic brachial blood pressure during PWA,85450,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
