source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
30850,0,0,Testosterone,4020107,SNOMED,1970-01-01,2099-12-31,
30850,0,0,Testosterone,8736,UCUM,1970-01-01,2099-12-31,
30720,0,0,Cystatin C,44789161,SNOMED,1970-01-01,2099-12-31,
30720,0,0,Cystatin C,8748,UCUM,1970-01-01,2099-12-31,
30250,0,0,Reticulocyte count,4263581,SNOMED,1970-01-01,2099-12-31,
30250,0,0,Reticulocyte count,4079010,SNOMED,1970-01-01,2099-12-31,
2744,0,0,Birth weight of first child,8739,UCUM,1970-01-01,2099-12-31,
30150,0,0,Eosinophill count,4216098,SNOMED,1970-01-01,2099-12-31,
30150,0,0,Eosinophill count,4175206,SNOMED,1970-01-01,2099-12-31,
30050,0,0,Mean corpuscular haemoglobin,4182871,SNOMED,1970-01-01,2099-12-31,
30050,0,0,Mean corpuscular haemoglobin,8564,UCUM,1970-01-01,2099-12-31,
30650,0,0,Aspartate aminotransferase,4263457,SNOMED,1970-01-01,2099-12-31,
30650,0,0,Aspartate aminotransferase,8645,UCUM,1970-01-01,2099-12-31,
30324,0,0,Volume of EDTA1 red cells held by UKB,9665,UCUM,1970-01-01,2099-12-31,
30860,0,0,Total protein,4119650,SNOMED,1970-01-01,2099-12-31,
30860,0,0,Total protein,8636,UCUM,1970-01-01,2099-12-31,
2754,0,0,Age at first live birth,9448,UCUM,1970-01-01,2099-12-31,
30011,0,0,Red blood cell (erythrocyte) count freeze-thaw cycles,4030871,SNOMED,1970-01-01,2099-12-31,
30111,0,0,Platelet distribution width freeze-thaw cycles,4097620,SNOMED,1970-01-01,2099-12-31,
30730,0,0,Gamma glutamyltransferase,4289475,SNOMED,1970-01-01,2099-12-31,
30730,0,0,Gamma glutamyltransferase,8645,UCUM,1970-01-01,2099-12-31,
30251,0,0,Reticulocyte count freeze-thaw cycles,4263581,SNOMED,1970-01-01,2099-12-31,
3546,0,0,Age last used hormone-replacement therapy (HRT),9448,UCUM,1970-01-01,2099-12-31,
30424,0,0,Total volume of saliva samples held by UKB,9665,UCUM,1970-01-01,2099-12-31,
30151,0,0,Eosinophill count freeze-thaw cycles,4216098,SNOMED,1970-01-01,2099-12-31,
30740,0,0,Glucose,3004501,LOINC,1970-01-01,2099-12-31,
30740,0,0,Glucose,8753,UCUM,1970-01-01,2099-12-31,
30051,0,0,Mean corpuscular haemoglobin freeze-thaw cycles,4182871,SNOMED,1970-01-01,2099-12-31,
30870,0,0,Triglycerides,4032789,SNOMED,1970-01-01,2099-12-31,
30870,0,0,Triglycerides,8753,UCUM,1970-01-01,2099-12-31,
30660,0,0,Direct bilirubin,37398377,SNOMED,1970-01-01,2099-12-31,
30660,0,0,Direct bilirubin,8749,UCUM,1970-01-01,2099-12-31,
