sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
41256;41258;41273,Operations on thoracic duct,001,,,0,,0.8294377326965330,UNCHECKED,,,4118187,VALUE,,,
41256;41258;41273,"Craniotomy, not elsewhere classified : burr-hole",0011,,,0,,0.338760644197464,UNCHECKED,,,4101626,VALUE,,,
41256;41258;41273,"Craniotomy, not elsewhere classified : trephine",0012,,,0,,0.38292402029037500,UNCHECKED,,,4101626,VALUE,,,
41256;41258;41273,"Craniotomy, not elsewhere classified : puncture of brain",0014,,,0,,0.33881840109825100,UNCHECKED,,,40488856,VALUE,,,
41256;41258;41273,Excision of lesion of skull,004,,,0,,1.0,APPROVED,,,4208846,VALUE,,,
41256;41258;41273,Cranioplasty,005,,,0,,1.0,APPROVED,,,4138816,VALUE,,,
41256;41258;41273,Cranioplasty : natural material,0051,,,0,,0.550804615020752,UNCHECKED,,,4138816,VALUE,,,
41256;41258;41273,Cranioplasty : inert material,0052,,,0,,0.5573404431343080,UNCHECKED,,,4138816,VALUE,,,
41256;41258;41273,Cranioplasty : opening of sutures,0053,,,0,,0.5343208312988280,UNCHECKED,,,4138816,VALUE,,,
41256;41258;41273,Cranioplasty : restoration of orbital region,0054,,,0,,0.5283071398735050,UNCHECKED,,,4154279,VALUE,,,
41256;41258;41273,Repair of cerebral meninges,007,,,0,,1.0,APPROVED,,,4222439,VALUE,,,
41256;41258;41273,Repair of cerebral meninges : lamina cribrosa fistula,0071,,,0,,0.5714990496635440,UNCHECKED,,,4222439,VALUE,,,
41256;41258;41273,Repair of cerebral meninges : meningo encephalocele,0072,,,0,,0.6901682019233700,UNCHECKED,,,4169892,VALUE,,,
41256;41258;41273,Ventricular puncture and anastomosis,008,,,4,,0.5682473182678220,UNCHECKED,,,2110407,VALUE,,,
41256;41258;41273,Ventricular puncture and anastomosis : drainage,0081,,,4,,0.5393916368484500,UNCHECKED,,,4313285,VALUE,,,
41256;41258;41273,Ventricular puncture and anastomosis : ventriculo-cisternostomy,0083,,,0,,0.44256284832954400,UNCHECKED,,,4140853,VALUE,,,
41256;41258;41273,Ventricular puncture and anastomosis : ventriculo-vascular anastomosis,0084,,,0,,0.48252004384994500,UNCHECKED,,,4220520,VALUE,,,
41256;41258;41273,Ventricular puncture and anastomosis : subcutaneous reservoir,0085,,,0,,0.5118880867958070,UNCHECKED,,,2110399,VALUE,,,
41256;41258;41273,Other operations on skull and meninges,009,,,0,,0.5806196331977840,UNCHECKED,,,4210457,VALUE,,,
41256;41258;41273,Other operations on skull and meninges : biopsy,0091,,,0,,0.522026777267456,UNCHECKED,,,4062784,VALUE,,,
41256;41258;41273,Other operations on skull and meninges : fractured skull,0092,,,0,,0.49600937962532000,UNCHECKED,,,4243629,VALUE,,,
41256;41258;41273,Other operations on skull and meninges : meningeal lesion,0095,,,0,,0.47428587079048200,UNCHECKED,,,40480878,VALUE,,,
41256;41258;41273,Other operations on skull and meninges : removal of foreign body,0096,,,0,,0.6085277795791630,UNCHECKED,,,4057326,VALUE,,,
41256;41258;41273,Operations on thalamus and globus pallidus,013,,,0,,0.7616395354270940,UNCHECKED,,,4211527,VALUE,,,
41256;41258;41273,Other division or destruction of brain tissue,014,,,0,,0.7673078775405880,UNCHECKED,,,4065608,VALUE,,,
41256;41258;41273,Ventriculography,015,,,0,,0.8135244250297550,UNCHECKED,,,4066563,VALUE,,,
