40006_code,frequency
C61,1502
C509,1156
C443,1071
C449,689
C504,587
C445,460
D069,355
D051,296
C541,290
C20,246
C187,244
C446,231
C444,195
C64,188
C447,181
C56,169
C441,162
C502,161
C435,160
C437,158
C679,153
C341,152
C508,150
D414,144
C442,110
C436,108
C180,106
C833,101
C349,99
C503,97
D090,95
C73,95
C505,93
C900,90
C343,90
C911,87
C19,80
C182,73
C501,72
D033,69
D075,67
C629,66
D320,60
C829,54
C539,54
C440,52
C155,51
C859,50
C189,50
C259,46
D047,45
C433,43
D046,43
D037,42
C450,41
C159,41
C184,41
D059,40
D352,40
D036,40
D043,40
D061,35
C320,33
C250,33
C920,31
D45,29
C160,28
D057,27
C80,27
D050,26
C099,26
C220,26
D472,26
D010,26
D035,26
C029,25
C186,25
C221,24
C169,24
C921,23
C711,22
C183,22
D045,22
D333,21
C439,20
C448,20
D469,20
C492,20
D071,19
C07,19
D471,19
D049,19
C811,18
C838,18
C857,18
D481,18
C719,17
C712,17
C693,17
C340,17
C01,16
C851,16
C519,16
D473,16
C914,15
C821,15
C211,14
C210,14
C021,14
D012,14
D375,14
D374,14
C181,14
D391,14
C902,13
C251,13
D034,13
C185,13
C434,12
C342,12
D020,12
D074,11
C830,11
C844,11
C672,11
C482,11
C252,11
C713,10
C840,10
C23,10
C500,10
C65,10
C432,10
C329,10
C570,10
D486,10
D373,10
D042,10
C66,9
C549,9
C241,9
C491,9
D044,9
C837,8
C321,8
D329,8
D067,7
C910,7
C819,7
C822,7
C506,7
C55,7
C530,7
C787,7
C786,7
C676,7
C240,7
C480,7
C050,7
D060,6
C812,6
C820,6
C880,6
D401,6
D321,6
C496,6
D110,6
C154,6
D000,6
D372,6
D390,6
D091,5
C927,5
C924,5
C845,5
C621,5
C402,5
C795,5
C690,5
D485,5
C153,5
D371,5
C179,5
C172,5
C171,5
C170,5
D039,5
D032,5
C61,1326
C509,1074
C443,942
C504,555
C449,539
D069,532
C445,360
D051,291
C541,253
C20,239
C187,222
C446,197
C444,189
C64,170
C447,170
C56,168
C341,154
C437,152
C435,150
C441,148
C502,146
C679,145
D414,132
C508,127
C505,100
C442,100
C180,100
C436,99
C73,98
C833,97
C503,92
C349,88
C343,85
D061,80
D090,73
C900,73
C911,70
C19,67
C629,67
C501,67
C539,66
D033,61
C182,56
D320,52
C155,52
D075,49
C440,49
D047,47
C450,45
D037,42
C829,41
C859,41
C259,41
C189,39
D036,39
D046,39
C159,38
D352,36
D043,36
C184,35
C433,33
D050,31
C920,30
C250,29
C099,28
C448,28
C320,28
D045,28
D45,25
C160,25
D333,24
D010,24
D057,22
C811,22
C857,22
C220,22
C029,22
D390,22
D049,22
C221,21
C492,21
D035,21
C183,21
D472,20
C186,20
D059,19
C07,19
D067,18
C719,18
C439,18
C712,17
D471,17
C921,16
C711,16
C519,16
C80,16
C693,16
C342,16
C021,16
C838,15
D469,15
C169,15
D374,15
C840,14
C621,14
C500,14
C549,14
C434,14
D375,14
C902,13
C01,13
C844,13
C851,13
D481,13
D071,12
C821,12
C329,12
C210,12
D329,12
D012,12
D391,12
C211,11
C340,11
C251,11
D473,11
C185,11
C181,10
D042,10
C914,9
C819,9
C530,9
C65,9
C570,9
C482,9
C491,9
D486,9
D373,9
D020,9
D044,9
C713,8
C830,8
C787,8
C432,8
D060,7
D074,7
C910,7
C23,7
C506,7
C55,7
C672,7
C240,7
C480,7
O019,7
C171,7
D034,7
D091,6
C812,6
C810,6
C827,6
C822,6
C820,6
C837,6
C402,6
C66,6
C786,6
C321,6
C690,6
C241,6
C499,6
D110,6
D485,6
C050,6
