"","checkId","CHECK_NAME","CDM_TABLE_NAME","CDM_FIELD_NAME","THRESHOLD_VALUE","PCT_VIOLATED_ROWS","new_PCT_VIOLATED_ROWS"
"1",5,"measurePersonCompleteness","PROCEDURE_OCCURRENCE",NA,95,0.0304,0.0278
"2",6,"measurePersonCompleteness","DEVICE_EXPOSURE",NA,100,1,0.0384
"3",565,"isPrimaryKey","VISIT_OCCURRENCE","VISIT_OCCURRENCE_ID",0,0.0151,0
"4",635,"isForeignKey","MEASUREMENT","PERSON_ID",0,0.1627,0.163
"5",642,"isForeignKey","MEASUREMENT","VISIT_OCCURRENCE_ID",0,0.1869,1e-04
"6",675,"isForeignKey","OBSERVATION","VISIT_OCCURRENCE_ID",0,7e-04,9e-04
"7",731,"fkDomain","PROCEDURE_OCCURRENCE","PROCEDURE_CONCEPT_ID",0,0.0285,0.0284
"8",735,"fkDomain","MEASUREMENT","MEASUREMENT_CONCEPT_ID",0,0.534,0.5617
"9",748,"fkDomain","CONDITION_ERA","CONDITION_CONCEPT_ID",0,0.1769,0.1767
"10",836,"measureValueCompleteness","PROCEDURE_OCCURRENCE","MODIFIER_CONCEPT_ID",100,0.1372,0.1366
"11",840,"measureValueCompleteness","PROCEDURE_OCCURRENCE","VISIT_DETAIL_ID",100,0.8628,0.8634
"12",849,"measureValueCompleteness","DEVICE_EXPOSURE","DEVICE_EXPOSURE_END_DATE",100,0,1
"13",850,"measureValueCompleteness","DEVICE_EXPOSURE","DEVICE_EXPOSURE_END_DATETIME",100,0,1
"14",852,"measureValueCompleteness","DEVICE_EXPOSURE","UNIQUE_DEVICE_ID",100,0,1
"15",853,"measureValueCompleteness","DEVICE_EXPOSURE","QUANTITY",100,0,1
"16",854,"measureValueCompleteness","DEVICE_EXPOSURE","PROVIDER_ID",100,0,1
"17",856,"measureValueCompleteness","DEVICE_EXPOSURE","VISIT_DETAIL_ID",100,0,1
"18",867,"measureValueCompleteness","MEASUREMENT","VALUE_AS_NUMBER",100,0.1985,0.1989
"19",868,"measureValueCompleteness","MEASUREMENT","VALUE_AS_CONCEPT_ID",100,0.9391,0.939
"20",869,"measureValueCompleteness","MEASUREMENT","UNIT_CONCEPT_ID",100,0.6223,0.6233
"21",877,"measureValueCompleteness","MEASUREMENT","UNIT_SOURCE_VALUE",100,0.7988,0.7984
"22",932,"measureValueCompleteness","OBSERVATION","VALUE_AS_NUMBER",100,0.772,0.7187
"23",933,"measureValueCompleteness","OBSERVATION","VALUE_AS_STRING",100,0.8217,0.9986
"24",934,"measureValueCompleteness","OBSERVATION","VALUE_AS_CONCEPT_ID",100,0.4274,0.3083
"25",936,"measureValueCompleteness","OBSERVATION","UNIT_CONCEPT_ID",100,0.902,0.8059
"26",1058,"standardConceptRecordCompleteness","CONDITION_OCCURRENCE","CONDITION_CONCEPT_ID",5,4e-04,2e-04
"27",1066,"standardConceptRecordCompleteness","PROCEDURE_OCCURRENCE","MODIFIER_CONCEPT_ID",100,0.8628,0.8634
"28",1069,"standardConceptRecordCompleteness","MEASUREMENT","MEASUREMENT_CONCEPT_ID",5,0.2214,0.1914
"29",1071,"standardConceptRecordCompleteness","MEASUREMENT","UNIT_CONCEPT_ID",5,0.0832,0.0289
"30",1076,"standardConceptRecordCompleteness","OBSERVATION","OBSERVATION_CONCEPT_ID",5,0.3266,0.1053
"31",1078,"standardConceptRecordCompleteness","OBSERVATION","UNIT_CONCEPT_ID",5,0.0675,0.0763
"32",1092,"standardConceptRecordCompleteness","CONDITION_ERA","CONDITION_CONCEPT_ID",0,6e-04,2e-04
"33",1099,"sourceConceptRecordCompleteness","PROCEDURE_OCCURRENCE","PROCEDURE_SOURCE_CONCEPT_ID",100,0.0142,0.0141
"34",1101,"sourceConceptRecordCompleteness","MEASUREMENT","MEASUREMENT_SOURCE_CONCEPT_ID",100,0.404,0.4047
"35",1104,"sourceConceptRecordCompleteness","OBSERVATION","OBSERVATION_SOURCE_CONCEPT_ID",100,0.0745,0.09
"36",1112,"sourceValueCompleteness","CONDITION_OCCURRENCE","CONDITION_SOURCE_VALUE",10,0.0042,0.0022
"37",1119,"sourceValueCompleteness","MEASUREMENT","MEASUREMENT_SOURCE_VALUE",100,0.8142,0.8058
"38",1120,"sourceValueCompleteness","MEASUREMENT","UNIT_SOURCE_VALUE",100,0.9824,0.9818
"39",1124,"sourceValueCompleteness","OBSERVATION","OBSERVATION_SOURCE_VALUE",100,0.4124,0.4048
"40",1218,"plausibleValueHigh","MEASUREMENT","MEASUREMENT_DATE",1,4.1448e-06,4.1519e-06
