"STATUS","TABLE","FIELD","CHECK","CATEGORY","SUBCATEGORY","LEVEL","NOTES","DESCRIPTION","% RECORDS"
"FAIL","PERSON","RACE_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the RACE_CONCEPT_ID field in the PERSON table that do not conform to the RACE domain. (Threshold=0%).","97.07%"
"FAIL","DRUG_EXPOSURE","DRUG_SOURCE_VALUE","sourceValueCompleteness","Completeness","None","FIELD","Exists","The number and percent of distinct source values in the DRUG_SOURCE_VALUE field of the DRUG_EXPOSURE table mapped to 0. (Threshold=10%).","59.64%"
"FAIL","MEASUREMENT","MEASUREMENT_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the MEASUREMENT_CONCEPT_ID field in the MEASUREMENT table that do not conform to the MEASUREMENT domain. (Threshold=0%).","53.40%"
"FAIL","VISIT_OCCURRENCE","PERSON_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the PERSON_ID field in the VISIT_OCCURRENCE table that does not exist in the PERSON table. (Threshold=0%).","45.51%"
"FAIL","DRUG_EXPOSURE","DRUG_SOURCE_CONCEPT_ID","sourceConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the source concept field DRUG_SOURCE_CONCEPT_ID in the DRUG_EXPOSURE table. (Threshold=10%).","39.62%"
"FAIL","OBSERVATION","OBSERVATION_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field OBSERVATION_CONCEPT_ID in the OBSERVATION table. (Threshold=5%).","32.66%"
"FAIL","MEASUREMENT","MEASUREMENT_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field MEASUREMENT_CONCEPT_ID in the MEASUREMENT table. (Threshold=5%).","22.14%"
"FAIL","CONDITION_OCCURRENCE","CONDITION_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the CONDITION_CONCEPT_ID field in the CONDITION_OCCURRENCE table that do not conform to the CONDITION domain. (Threshold=0%).","20.24%"
"FAIL","MEASUREMENT","VISIT_OCCURRENCE_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the VISIT_OCCURRENCE_ID field in the MEASUREMENT table that does not exist in the VISIT_OCCURRENCE table. (Threshold=0%).","18.69%"
"FAIL","DRUG_ERA","PERSON_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the PERSON_ID field in the DRUG_ERA table that does not exist in the PERSON table. (Threshold=0%).","18.67%"
"FAIL","CONDITION_ERA","CONDITION_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the CONDITION_CONCEPT_ID field in the CONDITION_ERA table that do not conform to the CONDITION domain. (Threshold=0%).","17.69%"
"FAIL","MEASUREMENT","PERSON_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the PERSON_ID field in the MEASUREMENT table that does not exist in the PERSON table. (Threshold=0%).","16.27%"
"FAIL","DRUG_EXPOSURE","DRUG_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","Exists","The number and percent of records with a value of 0 in the standard concept field DRUG_CONCEPT_ID in the DRUG_EXPOSURE table. (Threshold=10%).","14.04%"
"FAIL","MEASUREMENT","UNIT_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the MEASUREMENT table. (Threshold=5%).","8.32%"
"FAIL","OBSERVATION","UNIT_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the OBSERVATION table. (Threshold=5%).","6.75%"
"FAIL","DRUG_EXPOSURE","PERSON_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the PERSON_ID field in the DRUG_EXPOSURE table that does not exist in the PERSON table. (Threshold=0%).","6.33%"
"FAIL","OBSERVATION_PERIOD","OBSERVATION_PERIOD_END_DATE","plausibleValueHigh","Plausibility","Atemporal","FIELD","None","The number and percent of records with a value in the OBSERVATION_PERIOD_END_DATE field of the OBSERVATION_PERIOD table greater than DATEADD(DD,1,GETDATE()). (Threshold=1%).","4.20%"
"FAIL","PROCEDURE_OCCURRENCE","PROCEDURE_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the PROCEDURE_CONCEPT_ID field in the PROCEDURE_OCCURRENCE table that do not conform to the PROCEDURE domain. (Threshold=0%).","2.85%"
"FAIL","DRUG_EXPOSURE","DRUG_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the DRUG_CONCEPT_ID field in the DRUG_EXPOSURE table that do not conform to the DRUG domain. (Threshold=0%).","2.45%"
"FAIL","VISIT_OCCURRENCE","VISIT_OCCURRENCE_ID","isPrimaryKey","Conformance","Relational","FIELD","None","The number and percent of records that have a duplicate value in the VISIT_OCCURRENCE_ID field of the VISIT_OCCURRENCE. (Threshold=0%).","1.51%"
"FAIL","VISIT_OCCURRENCE","VISIT_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the VISIT_CONCEPT_ID field in the VISIT_OCCURRENCE table that do not conform to the VISIT domain. (Threshold=0%).","0.53%"
"FAIL","MEASUREMENT","UNIT_CONCEPT_ID","fkDomain","Conformance","Value","FIELD","None","The number and percent of records that have a value in the UNIT_CONCEPT_ID field in the MEASUREMENT table that do not conform to the UNIT domain. (Threshold=0%).","0.18%"
"FAIL","OBSERVATION","VISIT_OCCURRENCE_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the VISIT_OCCURRENCE_ID field in the OBSERVATION table that does not exist in the VISIT_OCCURRENCE table. (Threshold=0%).","0.07%"
"FAIL","CONDITION_ERA","CONDITION_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field CONDITION_CONCEPT_ID in the CONDITION_ERA table. (Threshold=0%).","0.06%"
"FAIL","VISIT_DETAIL","VISIT_DETAIL_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field VISIT_DETAIL_CONCEPT_ID in the VISIT_DETAIL table. (Threshold=0%).","0.03%"
"FAIL","PROCEDURE_OCCURRENCE","PROCEDURE_CONCEPT_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the PROCEDURE_CONCEPT_ID field in the PROCEDURE_OCCURRENCE table that does not exist in the CONCEPT table. (Threshold=0%).","0.01%"
"FAIL","OBSERVATION","VALUE_AS_CONCEPT_ID","isForeignKey","Conformance","Relational","FIELD","None","The number and percent of records that have a value in the VALUE_AS_CONCEPT_ID field in the OBSERVATION table that does not exist in the CONCEPT table. (Threshold=0%).","0%"
"FAIL","VISIT_OCCURRENCE","VISIT_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field VISIT_CONCEPT_ID in the VISIT_OCCURRENCE table. (Threshold=0%).","0.00%"
"FAIL","SPECIMEN","UNIT_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the SPECIMEN table. (Threshold=5%).","0%"
"FAIL","DOSE_ERA","UNIT_CONCEPT_ID","standardConceptRecordCompleteness","Completeness","None","FIELD","None","The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the DOSE_ERA table. (Threshold=0%).","0%"
