#source: https://github.com/spiros/ukb-biomarker-phenotypes/blob/master/README.md 7d05c9f 21Aug2020
raw_value,cleaned_value
MEA000,
MEA001,%
MEA016,/hour
MEA021,/mL
MEA026,1
MEA031,10^12/L
MEA035,10^6/L
MEA037,10^9/L
MEA038,10^9/mL
MEA047,fL
MEA056,g/dL
MEA057,g/L
MEA058,h
MEA061,IU/L
MEA062,IU/mL
MEA071,L/min
MEA080,mg
MEA082,mg/dL
MEA083,mg/L
MEA086,mg/mmol
MEA090,mL/min
MEA093,mm(Hg)
MEA095,mmol/d
MEA096,mmol/L
MEA097,mmol/mol
MEA099,mol/L
MEA104,ng
MEA106,ng/mL
MEA110,nmol/L
MEA114,pg
MEA116,pg/dL
MEA124,s
MEA127,U/L
MEA142,umol/L
MEA151,ratio
MEA153,10^9
MEA154,L
MEA156,mmol
MEA161,1/1
MEA169,mIU/L
MEA178,ug/mL
MEA183,10^-2
MEA184,10^-3
MEA185,L/L
MEA187,nmol/g
MEA194,titre
MEA205,nmol/gHb/h 
MEA210,#G ( )/L
MEA215,%
MEA252,mmol/g(dry wt) 
x10^9/l,10^9/L
10^9/L,10^9/L
x10^9/L,10^9/L
10^9/l,10^9/L
10 ^9/L,10^9/L
x10^9 /L,10^9/L
x10-9/l,10^9/L
10*9/L,10^9/L
x10 ^9/L,10^9/L
x10 9/L,10^9/L
X10 9/L,10^9/L
*10^9/l,10^9/L
10 ^9/l,10^9/L
10*9/l,10^9/L
x10^12/l,10^12/L
10^12/L,10^12/L
x10^12/L,10^12/L
10 ^12/L,10^12/L
10^12/l,10^12/L
x10-12/l,10^12/L
10*12/L,10^12/L
fl,fL
g/l,g/L
mmHG,mmHg
mm/Hg,mmHg
mm Hg,mmHg
mg/l,mg/L
g/dl,g/dL
l,L
litre, L
litres,L
Litres,L
mmol/l,mmol/L
mmol/L,mmol/L
mmol/mol,Hbmmol/mol
MMOL/L,mmol/L
umol/L,umol/L
umol/l,umol/L
Mmol/mol,mmol/L
nmol/l,nmol/L
%Hb,%
per cent,%
Ratio,ratio
% total Hb,%
%total Hb,%
µmol/L,umol/L
u/l,U/L
IU/L,U/L
iu/l,U/L
No UOM assigned,
Unknown,
