sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
21,csf,,,,-1,,0.6892759799957275,APPROVED,sofia,1604408710117,4124259,EVENT,,sofia,1604408708720
11,npa,,,,-1,,0.6554569005966187,APPROVED,sofia,1604408561871,4122259,EVENT,,sofia,1604408560104
1,nasal,,,,-1,,1.0,APPROVED,sofia,1604408293829,4057744,EVENT,,sofia,1604408292322
35,saliva,,,,-1,,1.0,APPROVED,sofia,1604409820846,4001062,EVENT,,sofia,1604409819424
23,rectum,,,,-1,,1.0,APPROVED,sofia,1604408734510,40487491,EVENT,,sofia,1604408733272
13,skin-swab-nos,,,,-1,,0.4453030824661255,APPROVED,sofia,1604408433746,4122261,EVENT,,sofia,1604408432572
2,nose and throat,,,,-1,,0.7634102702140808,APPROVED,sofia,1604408209020,762932,EVENT,,sofia,1604408207517
0,Null data,,,,-1,,0.6244776248931885,APPROVED,sofia,1604407417856,4080894,EVENT,,sofia,1604407416153
31,nasopharyngeal swab,,,,-1,,1.0,APPROVED,sofia,1604409779063,4122259,EVENT,,sofia,1604409777480
30,eye,,,,-1,,1.0,APPROVED,sofia,1604409772921,40482447,EVENT,,sofia,1604409771232
12,pharyngeal,,,,-1,,0.9201552271842957,APPROVED,sofia,1604408429101,43021097,EVENT,,sofia,1604408427463
3,serum,,,,-1,,1.0,APPROVED,sofia,1604409764994,4001181,EVENT,,sofia,1604409761297
5,upper respiratory tract,,,,-1,,1.0,APPROVED,sofia,1604409870868,4119537,EVENT,,sofia,1604409869439
10,nose,,,,-1,,1.0,APPROVED,sofia,1604408302485,40491357,EVENT,,sofia,1604408300904
33,fluid - nos,,,,-1,,0.5727284550666809,APPROVED,sofia,1604409794820,4057744,EVENT,,sofia,1604409793673
4,swab - nos,,,,-1,,0.6547039747238159,APPROVED,sofia,1604409859372,40482924,EVENT,,sofia,1604409857683
34,upper genital tract,,,,-1,,0.6792132258415222,APPROVED,sofia,1604409815144,4001063,EVENT,,sofia,1604409812043
25,endotracheal secretions,,,,-1,,0.8066662549972534,APPROVED,sofia,1604408833300,4001055,EVENT,,sofia,1604408831551
22,lower respiratory tract,,,,-1,,1.0,APPROVED,sofia,1604408727974,4119538,EVENT,,sofia,1604408726969
16,tissue,,,,-1,,1.0,APPROVED,sofia,1604408468424,4002890,EVENT,,sofia,1604408467068
29,nose-throat-perineum,,,,-1,,0.5731115937232971,APPROVED,sofia,1604409755028,4325364,EVENT,,sofia,1604409733169
20,bal,,,,-1,,0.8530773520469666,APPROVED,sofia,1604408680707,4121345,EVENT,,sofia,1604408679189
19,unknown,,,,-1,,1.0,APPROVED,sofia,1604408598301,4002873,EVENT,,sofia,1604408597087
6,bronchial,,,,-1,,1.0,APPROVED,sofia,1604409879700,4120334,EVENT,,sofia,1604409878205
7,endotracheal aspirate,,,,-1,,1.0,APPROVED,sofia,1604409885015,4001055,EVENT,,sofia,1604409883787
24,alveolar lavage,,,,-1,,0.7911777496337891,APPROVED,sofia,1604408823852,4121345,EVENT,,sofia,1604408822807
8,mouth,,,,-1,,1.0,APPROVED,sofia,1604410077599,4168673,EVENT,,sofia,1604410066635
32,pericardial fluid,,,,-1,,1.0,APPROVED,sofia,1604409785944,4048848,EVENT,,sofia,1604409784405
9,nasopharyngeal aspirate,,,,-1,,1.0,APPROVED,sofia,1604410086242,4121219,EVENT,,sofia,1604410085085
28,blood,,,,-1,,1.0,APPROVED,sofia,1604408858151,4001225,EVENT,,sofia,1604408856706
26,skin/wound,,,,-1,,0.5251674652099609,APPROVED,sofia,1604408844570,4002221,EVENT,,sofia,1604408843298
15,throat,,,,-1,,1.0,APPROVED,sofia,1604408451081,4119519,EVENT,,sofia,1604408449572
37,tracheal aspirate,,,,-1,,1.0,APPROVED,sofia,1604409842128,40483760,EVENT,,sofia,1604409840120
18,unassigned specimen,,,,-1,,0.5370998978614807,APPROVED,sofia,1604408588910,4002873,EVENT,,sofia,1604408587365
14,sputum,,,,-1,,1.0,APPROVED,sofia,1604408444625,4002876,EVENT,,sofia,1604408441330
27,ascitic fluid,,,,-1,,1.0,APPROVED,sofia,1604408853261,4206413,EVENT,,sofia,1604408851823
17,trachea,,,,-1,,1.0,APPROVED,sofia,1604408491006,4002894,EVENT,,sofia,1604408489231
36,wound (surgical),,,,-1,,0.6810247302055359,APPROVED,sofia,1604409834756,42535872,EVENT,,sofia,1604409833438
38,endotracheal tube,,,,-1,,1.0,APPROVED,sofia,1604409847532,4001055,EVENT,,sofia,1604409846343
