sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
XE2q5,Serum creatinine level,987,,0.0,APPROVED,37392176,
XE2q0,Serum sodium level,971,,0.0,APPROVED,37392172,
XE2pz,Serum potassium level,967,,0.0,APPROVED,37392171,
XE2eA,Serum albumin level,831,,0.0,APPROVED,37392183,
XaIdY,Total white blood count,820,,0.0,APPROVED,37393855,
XM0lt,Serum urea level,819,,0.0,APPROVED,37392195,
XaLJx,Serum alanine aminotransferase level,813,,0.0,APPROVED,37393531,
XE2px,Serum alkaline phosphatase level,808,,0.0,APPROVED,37398460,
XE2eD,Serum cholesterol level,807,,0.0,APPROVED,37392561,
Xa96v,Haemoglobin concentration,800,,0.0,APPROVED,37393847,
XE2pb,Mean cell haemoglobin level,793,,0.0,APPROVED,37398674,
XaK8y,Glomerular filtration rate calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation,729,,0.0,APPROVED,37393690,
XaF8d,Medication review done,728,,0.0,UNCHECKED,0,
X77WP,Liver function tests,699,,0.0,APPROVED,37398230,
X76tb,Haematocrit,678,,0.0,UNCHECKED,37393840,
X77Wi,Urea and electrolytes,633,,0.0,APPROVED,37392197,
XE2q9,Serum triglyceride levels,572,,0.0,APPROVED,37392563,
XE2e9,Serum total protein level,547,,0.0,APPROVED,37398462,
XE2q7,Serum lipid levels,509,,0.0,APPROVED,37398521,
XE0oh,Never smoked tobacco,502,,0.0,UNCHECKED,0,
XaEJK,Blood sample taken,474,,0.0,UNCHECKED,0,
XaELV,Serum TSH level,472,,0.0,APPROVED,37399332,
XE2mO,Red blood cell distribution width,464,,0.0,APPROVED,37397924,
XE2eB,Serum globulin level,402,,0.0,APPROVED,37392218,
XaERu,Serum total bilirubin level,377,,0.0,APPROVED,37399653,
XE278,Cervical smear - negative,361,,0.0,UNCHECKED,0,
XM0ly,Plasma glucose level,286,,0.0,APPROVED,37392945,
Ub1na,Ex-smoker,279,,0.0,UNCHECKED,0,
XaEUq,Serum cholesterol/HDL ratio,252,,0.0,APPROVED,37393333,
XaES3,Serum gamma-glutamyl transferase level,242,,0.0,APPROVED,37392187,
XaJCO,Medication review with patient,241,,0.0,UNCHECKED,0,
X77Wg,Thyroid function test,226,,0.0,APPROVED,37393428,
XE2m7,Erythrocyte sedimentation rate,223,,0.0,APPROVED,37393853,
XaMJa,Choice and booking enhanced services administration,219,,0.0,UNCHECKED,0,
XE2q3,Serum calcium level,211,,0.0,APPROVED,37392174,
XE2mj,Serum electrolyte levels,192,,0.0,APPROVED,37392170,
XaPbt,Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised,192,,0.0,APPROVED,37398434,
Ua1Nz,Smoking cessation advice,183,,0.0,UNCHECKED,0,
XaINL,Serum C reactive protein level,183,,0.0,APPROVED,37398482,
XE2wr,Peak expiratory flow rate,156,,0.0,UNCHECKED,0,
XaERr,Serum free T4 level,144,,0.0,APPROVED,37398618,
Xa8Pl,Cervical smear,142,,0.0,UNCHECKED,0,
XE24r,Serum ferritin level,141,,0.0,APPROVED,37397915,
XE2pd,Plasma viscosity,136,,0.0,APPROVED,37393852,
XSFyN,Glomerular filtration rate,128,,0.0,APPROVED,4213477,
XaPkd,Bowel cancer screening programme faecal occult blood test normal,123,,0.0,UNCHECKED,44812674,
XE2NL,Letter from specialist,120,,0.0,UNCHECKED,0,
XaIo4,Percentage hypochromic cells,120,,0.0,APPROVED,37397950,
XaEFY,Lifestyle counselling,116,,0.0,UNCHECKED,0,
XaK6t,Blood test requested,115,,0.0,UNCHECKED,0,
XaLIc,Depression screening using questions,113,,0.0,UNCHECKED,0,
XE2n3,Urine albumin/creatinine ratio,112,,0.0,APPROVED,37393926,
XacWQ,Patient allocated named accountable general practitioner,107,,0.0,UNCHECKED,0,
XaERp,HbA1c level (DCCT aligned),106,,0.0,APPROVED,37393623,
XaQVY,QRISK2 cardiovascular disease 10 year risk score,105,,0.0,UNCHECKED,0,
XE0Uc,Essential hypertension,104,,0.0,UNCHECKED,0,
137R.,Smoker,101,,0.0,UNCHECKED,0,
XE2pf,Serum vitamin B12 level,100,,0.0,APPROVED,37397916,
XE2NK,Letter encounter from patient,100,,0.0,UNCHECKED,0,
XE2qO,Urine creatinine level,98,,0.0,APPROVED,37392373,
XaPVj,Bowel cancer screening programme: faecal occult blood result,98,,0.0,APPROVED,44792842,
