sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,mappingType,comment,createdBy,createdOn,assignedReviewer
HNG0600,[RFC] Cancer,0,,0.71,UNCHECKED,UNREVIEWED,,0,3049362,Sit [RFC],EVENT,,,1613550360737,
OLTR-CHRM,Test Request : Chromium,0,,0.62,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360744,
EMISPR2,Predicted peak flow,0,,0.73,UNCHECKED,UNREVIEWED,,0,4089618,Nasal peak flow,EVENT,,,1613550360746,
OLTR-IMMDEF,Test Request : Lymphocyte Subsets,0,,0.70,UNCHECKED,UNREVIEWED,,0,37398167,Lymphocyte subsets,EVENT,,,1613550360749,
OLTR-Fx5,Test Request : Food Screen (Fx5) - Esp. Children,0,,0.32,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360750,
OLTR-U-MYE,Test Request : Urea & electrolytes profile,0,,0.47,UNCHECKED,UNREVIEWED,,0,4091295,Urea and electrolytes,EVENT,,,1613550360751,
ALLERGY89233NEMIS,Adverse reaction to Mirvaso,0,,0.71,UNCHECKED,UNREVIEWED,,0,441207,Adverse reaction to drug,EVENT,,,1613550360754,
EMISNQMI217,Minor injuries unit claim - Major (tariff 4),0,,0.44,UNCHECKED,UNREVIEWED,,0,4099780,Major injury,EVENT,,,1613550360756,
HNG0601,[RFC] Coronary heart disease,0,,0.65,UNCHECKED,UNREVIEWED,,0,317576,Coronary arteriosclerosis,EVENT,,,1613550360757,
OLTR-44C6.,Test Request : Serum A1 - antitrypsin,0,,0.64,UNCHECKED,UNREVIEWED,,0,37398415,Serum A1 antitrypsin level,EVENT,,,1613550360758,
EMISQ2W1,2 week rule referral,0,,0.48,UNCHECKED,UNREVIEWED,,0,4015297,Antenatal 32 week examination,EVENT,,,1613550360759,
OLTR-CHRO,Test Request : Blood Chromium,0,,0.62,UNCHECKED,UNREVIEWED,,0,4188815,Blood test requested,EVENT,,,1613550360761,
OLTR-IMMO,Test Request : Immunoglobulins,0,,0.66,UNCHECKED,UNREVIEWED,,0,37399051,Immunoglobulins,EVENT,,,1613550360761,
OLTR-G,Test Request : Glucose,0,,0.62,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360762,
EMISNQIA4,IAPT programme phobia scale Q3 (specific phobia) score,0,,0.61,UNCHECKED,UNREVIEWED,,0,44793035,IAPT programme phobia scale,EVENT,,,1613550360764,
HNG0602,[RFC] Stroke,0,,0.66,UNCHECKED,UNREVIEWED,,0,3049362,Sit [RFC],EVENT,,,1613550360764,
EMISNQRE529,Referral to extensivist service declined,0,,0.67,UNCHECKED,UNREVIEWED,,0,44813947,Referral to falls service declined,EVENT,,,1613550360765,
OLTR-CHROM,Test Request : Chromium,0,,0.62,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360766,
OLTR-U02,Test Request : Urethral Swab,0,,0.63,UNCHECKED,UNREVIEWED,,0,4120346,Urethral swab,EVENT,,,1613550360768,
ALLERGY3464,Adverse reaction to Phenoxymethylpenicillin Potassium,0,,0.85,UNCHECKED,UNREVIEWED,,0,4099131,Phenoxymethylpenicillin adverse reaction,EVENT,,,1613550360769,
ALLERGY89257NEMIS,Adverse reaction to Xailin,0,,0.63,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550360772,
EMISQ2W10,2 week rule referral - skin,0,,0.46,UNCHECKED,UNREVIEWED,,0,4014706,6 week examination abnormal - referred,EVENT,,,1613550360775,
OLTR-IMMU,"Test Request : Immunoglobulins (IgG, IgA, IgM)",0,,0.52,INVALID_TARGET,UNREVIEWED,,0,0,Unmapped,EVENT,Invalid existing target: 4024260,,0,
HNG0603,[RFC] Multiple sclerosis,0,,0.64,UNCHECKED,UNREVIEWED,,0,45883445,Multiple Sclerosis,EVENT,,,1613550360778,
OLTR-G*,"Test Request : Glucose level, blood",0,,0.55,UNCHECKED,UNREVIEWED,,0,37399654,Blood glucose level,EVENT,,,1613550360779,
OLTR-44C8.,Test Request : Serum A1 - acid glycoprotein,0,,0.66,UNCHECKED,UNREVIEWED,,0,37398417,Serum A1 acid glycoprotein level,EVENT,,,1613550360779,
OLTR-CHRU,Test Request : Chromium (Urine),0,,0.50,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360780,
EMISNQID2,Idiopathic polypoidal choroidal vasculopathy,0,,1.00,UNCHECKED,UNREVIEWED,,0,4208224,Idiopathic polypoidal choroidal vasculopathy,EVENT,,,1613550360781,
OLTR-U1,Test Request : MSU / CSU / Clean catch - C&S,0,,0.36,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360782,
HNG0604,[RFC] Motor neurone disease,0,,0.64,UNCHECKED,UNREVIEWED,,0,374631,Motor neuron disease,EVENT,,,1613550360783,
ALLERGY3465,Adverse reaction to Phensedyl,0,,0.76,UNCHECKED,UNREVIEWED,,0,4164240,Phenindione adverse reaction,EVENT,,,1613550360783,
EMISQ2W11,2 week rule referral - upper GI,0,,0.44,UNCHECKED,UNREVIEWED,,0,4014706,6 week examination abnormal - referred,EVENT,,,1613550360784,
OLTR-44CA.,Test Request : Serum haptoglobin,0,,0.64,UNCHECKED,UNREVIEWED,,0,37398418,Serum haptoglobin level,EVENT,,,1613550360784,
OLTR-G0,Test Request : FASTING GLUCOSE,0,,0.55,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360784,
EMISNQMI218,Minor injury >48 hours ago - enhanced services administration,0,,0.64,UNCHECKED,UNREVIEWED,,0,44788288,Minor injury - enhanced services administration,EVENT,,,1613550360786,
ALLERGY895,Adverse reaction to Isoniazid,0,,1.00,UNCHECKED,UNREVIEWED,,0,4099274,Isoniazid adverse reaction,EVENT,,,1613550360787,
OLTR-IMP,Test Request : Erectile Dysfunction/Impotence,0,,0.58,UNCHECKED,UNREVIEWED,,0,4216771,Impotence,EVENT,,,1613550360788,
OLTR-CHS,Test Request : Chlamydia Respiratory,0,,0.55,UNCHECKED,UNREVIEWED,,0,45877278,Chlamydia,EVENT,,,1613550360789,
EMISNQRE53,Referral to pharmacist for medicines use review,0,,0.66,UNCHECKED,UNREVIEWED,,0,4127774,Referral to pharmacist,EVENT,,,1613550360790,
HNG0605,[RFC] Diabetes mellitus,0,,0.63,UNCHECKED,UNREVIEWED,,0,45876545,Diabetes mellitus,EVENT,,,1613550360791,
OLTR-U2,Test Request : Urine for Microbiology,0,,0.53,UNCHECKED,UNREVIEWED,,0,45756800,Microbiology,EVENT,,,1613550360793,
HNG0606,[RFC] Asthma,0,,0.65,UNCHECKED,UNREVIEWED,,0,3049362,Sit [RFC],EVENT,,,1613550360793,
EMISQ2W12,2 week rule referral - gynaecology,0,,0.59,UNCHECKED,UNREVIEWED,,0,4125991,Referral by gynecologist,EVENT,,,1613550360794,
OLTR-44CB.,Test Request : Serum transferrin,0,,0.59,UNCHECKED,UNREVIEWED,,0,37398419,Serum transferrin level,EVENT,,,1613550360794,
OLTR-G0100,Test Request : Cervical Smear,0,,0.57,UNCHECKED,UNREVIEWED,,0,4234541,"Cytopathology procedure, preparation of smear, genital source",EVENT,,,1613550360795,
EMISNQID5,Identification of personal goals,0,,0.68,UNCHECKED,UNREVIEWED,,0,46284384,Able to set personal goals,EVENT,,,1613550360796,
ALLERGY3467,Adverse reaction to Phenytoin,0,,1.00,UNCHECKED,UNREVIEWED,,0,4097491,Phenytoin adverse reaction,EVENT,,,1613550360797,
HNG0608,[RFC] Pressure sore,0,,0.67,UNCHECKED,UNREVIEWED,,0,3049362,Sit [RFC],EVENT,,,1613550360797,
ALLERGY9,Adverse reaction to Nutrition And Blood,0,,0.68,UNCHECKED,UNREVIEWED,,0,4329183,Adverse reaction to whole blood,EVENT,,,1613550360798,
OLTR-IMS,Test Request : Infectious Mononucleosis,0,,0.74,UNCHECKED,UNREVIEWED,,0,437784,Infectious mononucleosis,EVENT,,,1613550360798,
OLTR-U5H,Test Request : 5-HIAA (24-hr Excretion),0,,0.35,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360798,
EMISNQIG10,IGRA test offered,0,,0.64,UNCHECKED,UNREVIEWED,,0,36685903,Triple test offered,EVENT,,,1613550360800,
OLTR-CHT,Test Request : .Chlamydia PCR (Genital sample),0,,0.48,UNCHECKED,UNREVIEWED,,0,4133775,Chlamydia PCR positive,EVENT,,,1613550360801,
EMISQ2W13,2 week rule referral - breast,0,,0.47,UNCHECKED,UNREVIEWED,,0,4014706,6 week examination abnormal - referred,EVENT,,,1613550360801,
EMISNQMI219,Minor injury <48 hours ago - enhanced services administration,0,,0.61,UNCHECKED,UNREVIEWED,,0,44788288,Minor injury - enhanced services administration,EVENT,,,1613550360802,
OLTR-44CC.,Test Request : Plasma C reactive protein,0,,0.71,UNCHECKED,UNREVIEWED,,0,37398420,Plasma C reactive protein,EVENT,,,1613550360803,
HNG0609,[RFC] Accidental injury,0,,0.61,UNCHECKED,UNREVIEWED,,0,4053720,Accidental injury,EVENT,,,1613550360805,
OLTR-G1,Test Request : Genital routine screen,0,,0.54,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360806,
ALLERGY34744NEMIS,Adverse reaction to Ranolazine,0,,0.76,UNCHECKED,UNREVIEWED,,0,4317380,Adverse reaction to tolazoline,EVENT,,,1613550360807,
OLTR-U5HI,Test Request : 24Hr-Urine 5HIAA (MCHfT),0,,0.36,UNCHECKED,UNREVIEWED,,0,3044096,5-Hydroxyindoleacetate panel - 24 hour Urine,EVENT,,,1613550360810,
HNG0610,[RFC] Burns,0,,0.72,UNCHECKED,UNREVIEWED,,0,3049362,Sit [RFC],EVENT,,,1613550360810,
EMISNQIG2,IGRA test invitation,0,,0.51,UNCHECKED,UNREVIEWED,,0,42528937,Trial invitation code,EVENT,,,1613550360812,
EMISNQRE530,Referral to extensivist service rejected by service provider,0,,0.66,UNCHECKED,UNREVIEWED,,0,44802081,Choose and book referral rejected by service provider,EVENT,,,1613550360813,
EMISQ2W2,2 week rule referral - brain,0,,0.47,UNCHECKED,UNREVIEWED,,0,4014706,6 week examination abnormal - referred,EVENT,,,1613550360813,
