sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
MEA000,,,,,,,1.0,UNCHECKED,,0,0,,,,,
MEA001,%,,,,,,1.0,APPROVED,,0,8554,,,,,
MEA016,/hour,,,,,,1.0,APPROVED,,0,44777557,,,,,
MEA021,/mL,,,,,,1.0,APPROVED,,0,9257,,,,,
MEA026,l,,,,,,1.0,APPROVED,,0,8519,,,,,
MEA031,10^12/L,,,,,,1.0,APPROVED,,0,8734,,,,,
MEA035,10^6/L,,,,,,1.0,APPROVED,,0,9442,,,,,
MEA037,10^9/L,,,,,,1.0,APPROVED,,0,9444,,,,,
MEA038,10^9/mL,,,,,,1.0,APPROVED,,0,9445,,,,,
MEA047,fL,,,,,,1.0,APPROVED,,0,8583,,,,,
MEA056,g/dL,,,,,,1.0,APPROVED,,0,8713,,,,,
MEA057,g/L,,,,,,1.0,APPROVED,,0,8636,,,,,
MEA058,h,,,,,,1.0,APPROVED,,0,8505,,,,,
MEA061,IU/L,,,,,,1.0,APPROVED,,0,8923,,,,,
MEA062,IU/mL,,,,,,1.0,APPROVED,,0,8985,,,,,
MEA071,L/min,,,,,,1.0,APPROVED,,0,8698,,,,,
MEA080,mg,,,,,,1.0,APPROVED,,0,8576,,,,,
MEA082,mg/dL,,,,,,1.0,APPROVED,,0,8840,,,,,
MEA083,mg/L,,,,,,1.0,APPROVED,,0,8751,,,,,
MEA086,mg/mmol,,,,,,1.0,APPROVED,,0,44777612,,,,,
MEA090,mL/min,,,,,,1.0,APPROVED,,0,8795,,,,,
MEA093,mm(Hg),,,,,,1.0,APPROVED,,0,8876,,,,,
MEA095,mmol/d,,,,,,1.0,UNCHECKED,,0,0,,,,,
MEA096,mmol/L,,,,,,1.0,APPROVED,,0,8753,,,,,
MEA097,mmol/mol,,,,,,1.0,APPROVED,,0,9579,,,,,
MEA099,mol/L,,,,,,1.0,APPROVED,,0,9586,,,,,
MEA104,ng,,,,,,1.0,APPROVED,,0,9600,,,,,
MEA106,ng/mL,,,,,,1.0,APPROVED,,0,8842,,,,,
MEA110,nmol/L,,,,,,1.0,APPROVED,,0,8736,,,,,
MEA114,pg,,,,,,1.0,APPROVED,,0,8564,,,,,
MEA116,pg/dL,,,,,,1.0,APPROVED,,0,8820,,,,,
MEA124,s,,,,,,1.0,APPROVED,,0,8555,,,,,
MEA127,U/L,,,,,,1.0,APPROVED,,0,8645,,,,,
MEA142,umol/L,,,,,,1.0,APPROVED,,0,8749,,,,,
MEA151,ratio,,,,,,1.0,APPROVED,,0,8523,,,,,
MEA153,10^9,,,,,,1.0,APPROVED,,0,44777660,,,,,
MEA154,L,,,,,,1.0,APPROVED,,0,8519,,,,,
MEA156,mmol,,,,,,1.0,APPROVED,,0,9573,,,,,
MEA161,1/1,,,,,,1.0,APPROVED,,0,44777604,,,,,
MEA169,mIU/L,,,,,,1.0,APPROVED,,0,9040,,,,,
