sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
ISSA1527,Ispaghula Husk Sachets 3.5 g/sachet,16061,,,0.69,APPROVED,EQUIVALENT,maxim,1623503724981,21041796,Ispaghula husk 3500 MG Oral Granules,Drug,MAPS_TO,,maxim,1623503705951,
FYSA1270,Fybogel Granules 3.5 grams/sachet,21048,,,0.42,APPROVED,EQUIVALENT,maxim,1623503010427,40754470,Ispaghula husk 3500 MG Oral Granules [Fybogel],Drug,MAPS_TO,,maxim,1623503004492,
DOGE6701NEMIS,Doublebase Gel (Pump Dispenser),30666,,,0.41,APPROVED,EQUIVALENT,maxim,1623502757433,40751616,isopropyl myristate / Mineral Oil Topical Gel [Doublebase],Drug,MAPS_TO,,maxim,1623502724964,
SHCO24024NEMIS,Sharpsafe Container 1 litre,18173,,,0.22,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
VIEY51060NEMIS,Vita-Pos Eye ointment (preservative-free),16492,,,0.24,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
PACA12515NEMIS,Paracetamol Caplets 500 mg,66106,,,0.71,APPROVED,EQUIVALENT,maxim,1623502438209,19020053,acetaminophen 500 MG Oral Tablet,Drug,MAPS_TO,,maxim,1623502395912,
GALI1279,Gaviscon Liquid,35953,,,0.63,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,There are multiple Gaviscon Liquids with other ingredeints in RxNorm. Not enough information to choose one.,,0,
LIGE19506NEMIS,Liquid Paraffin And Isopropyl Myristate Gel (Pump Dispenser) 15 % + 15 %,13689,,,0.44,APPROVED,EQUIVALENT,maxim,1623503652278,36812911,isopropyl myristate 150 MG/ML / Mineral Oil 150 MG/ML Topical Gel,Drug,MAPS_TO,,maxim,1623503643809,
ISSA18818EMIS,Ispaghula Husk Sachets (orange) 3.5 g/sachet,22461,,,0.63,APPROVED,EQUIVALENT,maxim,1623503717543,21041796,Ispaghula husk 3500 MG Oral Granules,Drug,MAPS_TO,,maxim,1623503716431,
SAAE6755,Salbutamol Aerosol inhalation 100 micrograms/metered inhalation,19860,,,0.46,APPROVED,EQUIVALENT,maxim,1623503254563,43194379,Albuterol 0.1 MG Inhalant Solution,Drug,MAPS_TO,,maxim,1623503245156,
CECR13101NEMIS,Cetraben Emollient Cream,19761,,,0.47,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
COCA27287EMIS,Co-Codamol 30/500 Caplets,28283,,,0.44,APPROVED,EQUIVALENT,maxim,1623502847158,21094012,Acetaminophen 500 MG / Codeine 30 MG Oral Tablet [Co-codamol],Drug,MAPS_TO,,maxim,1623502843255,
GLSP1314,Glyceryl Trinitrate Spray 400 micrograms/dose,11135,,,0.49,APPROVED,EQUIVALENT,maxim,1623503750126,21162644,Nitroglycerin 0.4 MG Oral Spray,Drug,MAPS_TO,,maxim,1623503745724,
ERST3539,Erythromycin Tablets 250 mg,39385,,,0.84,APPROVED,EQUIVALENT,maxim,1623502528530,19122215,erythromycin 250 MG Oral Tablet,Drug,MAPS_TO,,<auto>,1623501932633,
ISEF12644NEMIS,Ispaghula Husk Sugar and Gluten Free Effervescent granules (orange) 3.5 grams/sachet,12565,,,0.54,APPROVED,EQUIVALENT,maxim,1623503729172,21041796,Ispaghula husk 3500 MG Oral Granules,Drug,MAPS_TO,,maxim,1623503699328,
GAOR29999EMIS,Gaviscon Advance Oral suspension,87224,,,0.64,APPROVED,EQUIVALENT,maxim,1623502287046,40741203,alginic acid / potassium bicarbonate Oral Suspension [Gaviscon Advance],Drug,MAPS_TO,,<auto>,1623501933674,
VEIN3026,Ventolin Inhaler 100 micrograms/puff,23567,,,0.23,APPROVED,EQUIVALENT,maxim,1623502893881,36782800,Albuterol 0.1 MG/ACTUAT Dry Powder Inhaler [Ventolin],Drug,MAPS_TO,,maxim,1623502886239,
AMTA9080EMIS,Amlodipine Besilate Tablets 10 mg,29217,,,0.61,APPROVED,EQUIVALENT,maxim,1623502817711,19073093,amlodipine 10 MG Oral Tablet,Drug,MAPS_TO,,maxim,1623502815793,
FLAQ19556EMIS,Fluticasone Propionate Aqueous nasal spray 0.05 % (150 dose spray),100824,,,0.50,APPROVED,EQUIVALENT,maxim,1623502261513,41241993,fluticasone 0.05 MG Nasal Spray Box of 150,Drug,MAPS_TO,,maxim,1623502132514,
AMTA10145BRIDL,Amlodipine Besilate Tablets 5 mg,47508,,,0.59,APPROVED,EQUIVALENT,maxim,1623502520595,1332419,amlodipine 5 MG Oral Tablet,Drug,MAPS_TO,,maxim,1623502518044,
