sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:coding_origin,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
98,Not Applicable,,,,-1,,PEDW,0.31899407505989075,UNCHECKED,,0,9201,EVENT,,sofia,1605199789342
11,Elective: Waiting list,,,,-1,,PEDW,0.11107988655567169,UNCHECKED,,0,9201,EVENT,,sofia,1605199041710
5,Emergency - Road Traffic Accident,,,,-1,,SMR,0.3805104196071625,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
10,"Routine Admission,no additional detail added",,,,-1,,SMR,0.09732140600681305,UNCHECKED,,0,9201,EVENT,,sofia,1605199490975
36,"Patient Non-Injury (e.g. stroke,MI,Ruptured Appendix)",,,,-1,,SMR,0.1324312537908554,UNCHECKED,,0,9203,EVENT,,sofia,1605199463574
24,"Emergency: Consultant clinic of this or another health care provider (formerly \"Emergency: via outpatients\" prior to Financial Year 2015/16)",,,,-1,,HES,0.2178659588098526,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
25,"Admission via Mental Health Crisis Resolution Team (available from 2013/14. Prior to this date a value of 25 represented \"Emergency - domiciliary visit by consultant\")",,,,-1,,HES,0.20221161842346191,UNCHECKED,,0,9203,EVENT,,<auto>,1605198858765
22,"Hospital delay (for administrative or clinical reasons e.g. arranging appropriate facilities,for test to be carried out,specialist equipment,etc.)",,,,-1,,SMR,0.22502556443214417,UNCHECKED,,0,9201,EVENT,,sofia,1605199274068
99,Not Known,,,,-1,,PEDW,0.07066985219717026,UNCHECKED,,0,9201,EVENT,,sofia,1605199789342
12,Elective: Booked,,,,-1,,PEDW,0.15112018585205078,UNCHECKED,,0,9201,EVENT,,sofia,1605199041710
38,Other Emergency Admission (including emergency transfers),,,,-1,,SMR,0.2719743251800537,UNCHECKED,,0,9203,EVENT,,sofia,1605199432092
2D,Emergency: other,,,,-1,,HES,0.3020963966846466,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
6,Emergency - Home Accident (includes Accidental Poisoning in the home),,,,-1,,SMR,0.34395933151245117,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
11,"Routine elective (i.e. from waiting list as planned,excludes planned transfers)",,,,-1,,SMR,0.08795297890901566,UNCHECKED,,0,9201,EVENT,,sofia,1605199490975
84,From the admission panel of a High Security Psychiatric Hospital,,,,-1,,HES,0.5670592188835144,UNCHECKED,,0,8971,EVENT,,sofia,1605199141963
30,"Emergency Admission,no additional detail added",,,,-1,,SMR,0.2718183696269989,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
21,Emergency: via A&E,,,,-1,,HES,0.24697063863277435,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
3,Transfer,,,,-1,,SMR,0.1513516753911972,UNCHECKED,,0,9201,EVENT,,sofia,1605199490975
1,Waiting List/Diary/Booked,,,,-1,,SMR,0.12472901493310928,UNCHECKED,,0,9201,EVENT,,sofia,1605199497235
39,"Emergency Admission,type not known",,,,-1,,SMR,0.2548017203807831,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
14,Elective: Activity under the Welsh Assembly Government 2nd Offer Scheme (Originating Provider),,,,-1,,PEDW,0.1475002020597458,UNCHECKED,,0,9201,EVENT,,sofia,1605199041710
23,Emergency: via Bed Bureau,,,,-1,,HES,0.2906551659107208,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
12,"Patient admitted on same day or following day as Attendance at Outpatients,not for medical reasons,but because suitable resources are available",,,,-1,,SMR,0.24086056649684906,UNCHECKED,,0,9201,EVENT,,sofia,1605199450669
2A,Emergency: via A&E of another hospital provider,,,,-1,,HES,0.2942214608192444,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
32,Patient Injury - Road Traffic Accident (RTA),,,,-1,,SMR,0.14913243055343628,UNCHECKED,,0,9203,EVENT,,sofia,1605199463574
4,Emergency - Deliberate Self Injury or Poisoning,,,,-1,,SMR,0.2949334979057312,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
2,Repeat Admissions,,,,-1,,SMR,0.14194129407405853,UNCHECKED,,0,9201,EVENT,,sofia,1605199490975
34,Patient Injury - Accident at Work,,,,-1,,SMR,0.19640271365642548,UNCHECKED,,0,9203,EVENT,,sofia,1605199463574
22,Emergency: via GP,,,,-1,,HES,0.31562095880508423,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
15,Elective: Activity under the Welsh Assembly Government 2nd Offer Scheme (Receiving Provider),,,,-1,,PEDW,0.14405933022499084,UNCHECKED,,0,9201,EVENT,,sofia,1605199041710
7,Emergency - Other Injury (includes Accidental Poisoning other than in the home),,,,-1,,SMR,0.2732177972793579,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
28,Emergency: other means,,,,-1,,HES,0.27758288383483887,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
33,Patient Injury - Home Accident (including Accidental Poisoning in the home),,,,-1,,SMR,0.19442440569400787,UNCHECKED,,0,9203,EVENT,,sofia,1605199463574
20,"Urgent Admission,no additional detail added",,,,-1,,SMR,0.1551285833120346,UNCHECKED,,0,9203,EVENT,,sofia,1605199505515
0,Deferred Admission,,,,-1,,SMR,0.09648030996322632,UNCHECKED,,0,9201,EVENT,,sofia,1605199032494
32,Maternity: baby delivered before admission,,,,-1,,HES,0.20003251731395721,UNCHECKED,,0,8650,EVENT,,sofia,1605199294365
35,Patient Injury - Other Injury (including Accidental Poisoning other than in the home) - not elsewhere classified,,,,-1,,SMR,0.15156231820583344,UNCHECKED,,0,9203,EVENT,,sofia,1605199463574
13,Elective: Planned,,,,-1,,PEDW,0.13185644149780273,UNCHECKED,,0,9201,EVENT,,sofia,1605199041710
8,Emergency - Other (excludes Accidental Poisoning),,,,-1,,SMR,0.2773765027523041,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
13,Elective: planned,,,,-1,,HES,0.13185644149780273,UNCHECKED,,0,9201,EVENT,,sofia,1605199041710
31,Patient Injury - Self Inflicted (Injury or Poisoning),,,,-1,,SMR,0.1948394477367401,UNCHECKED,,0,9203,EVENT,,sofia,1605199463574
21,"Patient delay (for domestic,legal or other practical reasons)",,,,-1,,SMR,0.14400900900363922,UNCHECKED,,0,9201,EVENT,,sofia,1605199450669
98,Not applicable,,,,-1,,HES,0.31899407505989075,UNCHECKED,,0,9201,EVENT,,sofia,1605199789342
82,The birth of a baby in this health care provider,,,,-1,,PEDW,0.3068487048149109,UNCHECKED,,0,9201,EVENT,,sofia,1605199490975
83,Other: babies born outside Health Care Provider,,,,-1,,HES,0.23695696890354156,UNCHECKED,,0,8650,EVENT,,sofia,1605199402745
42,Maternity Admission (Record Type 02 only),,,,-1,,SMR,0.10241671651601791,UNCHECKED,,0,8650,EVENT,,sofia,1605199294365
2B,Emergency: Transfer from another hospital provider,,,,-1,,HES,0.3884115517139435,UNCHECKED,,0,9203,EVENT,,sofia,1605199059663
