sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:coding_origin,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
62,Hospice,,,,-1,,SMR,1.0,UNCHECKED,,0,8546,EVENT,,sofia,1605200681801
49,NHS run High Security Psychiatric Hospital,,,,-1,,HES,0.6232719421386719,UNCHECKED,,0,38004284,EVENT,,<auto>,1605200218305
32,Student Accommodation,,,,-1,,SMR,0.2265031635761261,UNCHECKED,,0,581476,EVENT,,sofia,1605201499364
46,Neonatal Paediatrics,,,,-1,,SMR,0.2067747265100479,UNCHECKED,,0,8650,EVENT,,sofia,1605200926358
14,Private Residence - (supported),,,,-1,,SMR,0.2788723409175873,UNCHECKED,,0,581476,EVENT,,sofia,1605201460234
58,Other specialty not separately identified,,,,-1,,SMR,0.37450286746025085,UNCHECKED,,0,38004693,EVENT,,sofia,1605201315243
85,Non-NHS run residential care home,,,,-1,,HES,0.24224399030208588,UNCHECKED,,0,38004307,EVENT,,sofia,1605201151788
66,Local Authority foster care but not in Part 3 residential accommodation.,,,,-1,,PEDW,0.24317005276679993,UNCHECKED,,0,581476,EVENT,,sofia,1605200849259
4G,Learning Disability,,,,-1,,SMR,0.422208309173584,UNCHECKED,,0,38004444,EVENT,,<auto>,1605200218658
86,Non-NHS run nursing home,,,,-1,,HES,0.2709953188896179,UNCHECKED,,0,38004307,EVENT,,sofia,1605201151788
52,Surgical Specialty,,,,-1,,SMR,0.5240709185600281,UNCHECKED,,0,38004693,EVENT,,sofia,1605201512954
11,Private Residence - living alone,,,,-1,,SMR,0.2864384055137634,UNCHECKED,,0,581476,EVENT,,sofia,1605201460234
34,No fixed abode,,,,-1,,SMR,0.11509279906749725,UNCHECKED,,0,38004515,EVENT,,sofia,1605201052283
50,NHS run medium secure unit,,,,-1,,HES,0.3022914230823517,UNCHECKED,,0,38004515,EVENT,,sofia,1605200994950
68,Other type of location,,,,-1,,SMR,0.1770632266998291,UNCHECKED,,0,38004693,EVENT,,sofia,1605201315243
79,Babies born in or on way to hospital.,,,,-1,,PEDW,0.3760627806186676,UNCHECKED,,0,8650,EVENT,,sofia,1605200305321
87,Non-NHS run hospital,,,,-1,,HES,0.3822639584541321,UNCHECKED,,0,38004515,EVENT,,sofia,1605201133232
5G,Learning Disability,,,,-1,,SMR,0.422208309173584,UNCHECKED,,0,38004444,EVENT,,<auto>,1605200219030
42,Surgical Specialty,,,,-1,,SMR,0.5240709185600281,UNCHECKED,,0,38004693,EVENT,,sofia,1605201512954
54,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290855586528778,UNCHECKED,,0,8650,EVENT,,sofia,1605201182662
51,"NHS run general ward,young physically disabled unit or A&E",,,,-1,,HES,0.1756226122379303,UNCHECKED,,0,38004515,EVENT,,sofia,1605200957980
12,Private Residence - living with relatives or friends,,,,-1,,SMR,0.22630295157432556,UNCHECKED,,0,581476,EVENT,,sofia,1605201460234
38,"Other type of temporary residence (includes hospital residences,hotel facilities)",,,,-1,,SMR,0.28963184356689453,UNCHECKED,,0,581476,EVENT,,sofia,1605201322404
85,Non-NHS (other than Local Authority) run residential care home.,,,,-1,,PEDW,0.17777961492538452,UNCHECKED,,0,38004307,EVENT,,sofia,1605201071572
88,Non-NHS run hospice,,,,-1,,HES,0.33560192584991455,UNCHECKED,,0,8546,EVENT,,sofia,1605201124976
39,Temporary Place of Residence - type not known,,,,-1,,SMR,0.26859188079833984,UNCHECKED,,0,581476,EVENT,,sofia,1605201526468
44,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290855586528778,UNCHECKED,,0,8650,EVENT,,sofia,1605201182662
33,"Legal Establishment,including Prison",,,,-1,,SMR,0.0824081301689148,UNCHECKED,,0,38003619,EVENT,,sofia,1605200817005
55,Paediatrics,,,,-1,,SMR,0.24642276763916016,UNCHECKED,,0,38004693,EVENT,,sofia,1605201353963
52,NHS run maternity ward,,,,-1,,HES,0.14899681508541107,UNCHECKED,,0,8650,EVENT,,sofia,1605200973538
10,Private Residence - no additional detail added,,,,-1,,SMR,0.2124634087085724,UNCHECKED,,0,581476,EVENT,,sofia,1605201460234
86,Non-NHS (other than Local Authority) run nursing home.,,,,-1,,PEDW,0.23593764007091522,UNCHECKED,,0,38004307,EVENT,,sofia,1605201071572
66,Local Authority foster care,,,,-1,,HES,0.4067203104496002,UNCHECKED,,0,581476,EVENT,,sofia,1605200849259
21,NHS - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3851620554924011,UNCHECKED,,0,581476,EVENT,,sofia,1605200938852
5D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707950711250305,UNCHECKED,,0,8971,EVENT,,<auto>,1605200219948
4F,Orthopaedics,,,,-1,,SMR,0.20951581001281738,UNCHECKED,,0,38004693,EVENT,,sofia,1605201204881
22,Local Authority/Voluntary - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3456907272338867,UNCHECKED,,0,581476,EVENT,,sofia,1605200834022
87,Non-NHS run hospital.,,,,-1,,PEDW,0.3606351315975189,UNCHECKED,,0,38004515,EVENT,,sofia,1605201133232
18,Private Residence - other type,,,,-1,,SMR,0.2586904764175415,UNCHECKED,,0,581476,EVENT,,sofia,1605201460234
53,NHS run mental health and learning disabilities ward,,,,-1,,HES,0.3156293034553528,UNCHECKED,,0,38004284,EVENT,,sofia,1605201026496
24,NHS Partnership Hospital,,,,-1,,SMR,0.3771859407424927,UNCHECKED,,0,38004515,EVENT,,sofia,1605200957980
69,Local Authority home or care,,,,-1,,HES,0.291878342628479,UNCHECKED,,0,581476,EVENT,,sofia,1605200849259
5F,Orthopaedics,,,,-1,,SMR,0.20951581001281738,UNCHECKED,,0,38004693,EVENT,,sofia,1605201204881
4E,Psychiatry (patient on pass),,,,-1,,SMR,0.4487531781196594,UNCHECKED,,0,8971,EVENT,,<auto>,1605200220452
88,Non-NHS (other than Local Authority) run Hospice,,,,-1,,PEDW,0.243398055434227,UNCHECKED,,0,8546,EVENT,,sofia,1605201057297
53,Medical Specialty,,,,-1,,SMR,0.5967487096786499,UNCHECKED,,0,38004240,EVENT,,sofia,1605200916012
19,Private Residence - type not known,,,,-1,,SMR,0.2130284607410431,UNCHECKED,,0,581476,EVENT,,sofia,1605201460234
54,NHS run nursing/residential/group home,,,,-1,,HES,0.41287967562675476,UNCHECKED,,0,581476,EVENT,,sofia,1605201040009
56,Neonatal Paediatrics,,,,-1,,SMR,0.2067747265100479,UNCHECKED,,0,8650,EVENT,,sofia,1605200926358
79,Babies born in or on the way to hospital,,,,-1,,HES,0.3889378309249878,UNCHECKED,,0,8650,EVENT,,sofia,1605200305321
48,Other specialty not separately identified,,,,-1,,SMR,0.37450286746025085,UNCHECKED,,0,38004693,EVENT,,sofia,1605201315243
89,"Other non NHS Hospital,Nursing Home or Residential institution",,,,-1,,PEDW,0.3268522322177887,UNCHECKED,,0,581476,EVENT,,sofia,1605201294274
43,Medical Specialty,,,,-1,,SMR,0.5967487096786499,UNCHECKED,,0,38004240,EVENT,,sofia,1605200916012
5E,Psychiatry (patient on pass),,,,-1,,SMR,0.4487531781196594,UNCHECKED,,0,8971,EVENT,,<auto>,1605200220963
4D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707950711250305,UNCHECKED,,0,8971,EVENT,,<auto>,1605200221100
65,Local Authority residential care accommodation,,,,-1,,HES,0.2847757637500763,UNCHECKED,,0,581476,EVENT,,sofia,1605200849259
20,"Place of Residence: Institution,no additional detail added",,,,-1,,SMR,0.2850404381752014,UNCHECKED,,0,42898160,EVENT,,sofia,1605201421656
37,Penal establishment: court,,,,-1,,HES,0.07339582592248917,UNCHECKED,,0,38003619,EVENT,,sofia,1605201388599
19,"Usual place of residence unless listed below for example,a private dwelling whether owner occupied by local authority,housing association or other landlord. This includes wardened accommodation but",,,,-1,,PEDW,0.13517118990421295,UNCHECKED,,0,581476,EVENT,,sofia,1605201615977
55,Hospital site within the same Trust - ward for general patients or young physically disabled or A & E department,,,,-1,,PEDW,0.24464400112628937,UNCHECKED,,0,38004515,EVENT,,sofia,1605200696803
5B,Geriatrics (except for patient on pass),,,,-1,,SMR,0.201161727309227,UNCHECKED,,0,38004307,EVENT,,sofia,1605200377544
40,"Transfer from the same Provider Unit,no additional detail added",,,,-1,,SMR,0.19541551172733307,UNCHECKED,,0,38004693,EVENT,,sofia,1605201586941
89,Non-NHS institution,,,,-1,,HES,0.37537726759910583,UNCHECKED,,0,38004515,EVENT,,sofia,1605201121112
8,Other,,,,-1,,SMR,0.3749558925628662,UNCHECKED,,0,38004693,EVENT,,sofia,1605201204881
23,Private - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3941359221935272,UNCHECKED,,0,581476,EVENT,,sofia,1605201440449
38,Penal establishment: police station,,,,-1,,HES,0.09901874512434006,UNCHECKED,,0,38003619,EVENT,,sofia,1605201388599
98,Not applicable,,,,-1,,HES,0.3189942538738251,UNCHECKED,,0,38004693,EVENT,,sofia,1605201217046
4C,Geriatrics (patient on pass),,,,-1,,SMR,0.24411381781101227,UNCHECKED,,0,38004307,EVENT,,sofia,1605200377544
61,Private Hospital,,,,-1,,SMR,0.6611007452011108,UNCHECKED,,0,38004515,EVENT,,sofia,1605201427117
69,Type of location - not known,,,,-1,,SMR,0.11754625290632248,UNCHECKED,,0,38004693,EVENT,,sofia,1605201595594
56,Hospital site within the same Trust - ward for maternity patients or neonates.,,,,-1,,PEDW,0.2831786274909973,UNCHECKED,,0,38004515,EVENT,,sofia,1605200696803
51,Accident and Emergency,,,,-1,,SMR,0.3898438811302185,UNCHECKED,,0,9203,EVENT,,sofia,1605200275861
29,"Temporary place of residence,when usually resident elsewhere (includes hotel,residential educational institution).",,,,-1,,PEDW,0.19597378373146057,UNCHECKED,,0,581476,EVENT,,sofia,1605201526468
99,Not known,,,,-1,,HES,0.0706750750541687,UNCHECKED,,0,38004693,EVENT,,sofia,1605201217046
39,Penal establishment: other,,,,-1,,HES,0.16103482246398926,UNCHECKED,,0,38003619,EVENT,,sofia,1605201388599
41,Accident and Emergency,,,,-1,,SMR,0.3898438811302185,UNCHECKED,,0,9203,EVENT,,sofia,1605200275861
5C,Geriatrics (patient on pass),,,,-1,,SMR,0.24411381781101227,UNCHECKED,,0,38004307,EVENT,,sofia,1605200377544
13,Private Residence (sheltered),,,,-1,,SMR,0.33599624037742615,UNCHECKED,,0,8672,EVENT,,<auto>,1605200222691
4H,Transfer within the same Health Care Provider - Hospital at Home,,,,-1,,SMR,0.3246757984161377,UNCHECKED,,0,38004693,EVENT,,sofia,1605201586941
57,Hospital site within the same Trust - ward for patients who are mentally ill or have learning disabilities.,,,,-1,,PEDW,0.24667643010616302,UNCHECKED,,0,38004515,EVENT,,sofia,1605200696803
39,"Penal establishment,court or police station.",,,,-1,,PEDW,0.10199641436338425,UNCHECKED,,0,38003619,EVENT,,sofia,1605201388599
19,Usual place of residence,,,,-1,,HES,0.22481359541416168,UNCHECKED,,0,581476,EVENT,,sofia,1605201615977
48,"High Security Psychiatric Hospital,Scotland",,,,-1,,HES,0.5541250705718994,UNCHECKED,,0,38004284,EVENT,,<auto>,1605200223059
45,Paediatrics,,,,-1,,SMR,0.24642276763916016,UNCHECKED,,0,38004693,EVENT,,sofia,1605201353963
