sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:coding_origin,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
62,Hospice,,,,-1,,SMR,1.0,APPROVED,sofia,1605631153104,8546,EVENT,,,1605631135802
49,NHS run High Security Psychiatric Hospital,,,,-1,,HES,0.6232719421386719,APPROVED,sofia,1605631155790,38004284,EVENT,,,1605631135802
32,Student Accommodation,,,,-1,,SMR,0.2265031635761261,UNCHECKED,,0,581476,EVENT,,,1605631135802
46,Neonatal Paediatrics,,,,-1,,SMR,0.2067747265100479,APPROVED,sofia,1605631161322,8650,EVENT,,,1605631135803
14,Private Residence - (supported),,,,-1,,SMR,0.2788723409175873,APPROVED,sofia,1605631163254,581476,EVENT,,,1605631135803
58,Other specialty not separately identified,,,,-1,,SMR,0.37450286746025085,UNCHECKED,,0,38004693,EVENT,,,1605631135804
85,Non-NHS run residential care home,,,,-1,,HES,0.24224399030208588,APPROVED,sofia,1605631171809,38004307,EVENT,,,1605631135804
66,Local Authority foster care but not in Part 3 residential accommodation.,,,,-1,,PEDW,0.24317005276679993,UNCHECKED,,0,581476,EVENT,,,1605631135805
4G,Learning Disability,,,,-1,,SMR,0.422208309173584,APPROVED,sofia,1605631199931,38004444,EVENT,,,1605631135806
86,Non-NHS run nursing home,,,,-1,,HES,0.2709953188896179,APPROVED,sofia,1605631185270,38004307,EVENT,,,1605631135806
52,Surgical Specialty,,,,-1,,SMR,0.5240709185600281,APPROVED,sofia,1605631189801,38004693,EVENT,,,1605631135806
11,Private Residence - living alone,,,,-1,,SMR,0.2864384055137634,APPROVED,sofia,1605631191515,581476,EVENT,,,1605631135806
34,No fixed abode,,,,-1,,SMR,0.11509279906749725,UNCHECKED,,0,38004515,EVENT,,,1605631135806
50,NHS run medium secure unit,,,,-1,,HES,0.3022914230823517,UNCHECKED,,0,38004515,EVENT,,,1605631135806
