sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:coding_origin,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
62,Hospice,,,,-1,,SMR,1.0,APPROVED,sofia,1605631153104,8546,EVENT,,,1605631135802
32,Student Accommodation,,,,-1,,SMR,0.2265031635761261,UNCHECKED,,0,581476,EVENT,,,1605631135802
46,Neonatal Paediatrics,,,,-1,,SMR,0.2067747265100479,APPROVED,sofia,1605631161322,8650,EVENT,,,1605631135803
14,Private Residence - (supported),,,,-1,,SMR,0.2788723409175873,APPROVED,sofia,1605631163254,581476,EVENT,,,1605631135803
58,Other specialty not separately identified,,,,-1,,SMR,0.37450286746025085,UNCHECKED,,0,38004693,EVENT,,,1605631135804
4G,Learning Disability,,,,-1,,SMR,0.422208309173584,APPROVED,sofia,1605631199931,38004444,EVENT,,,1605631135806
52,Surgical Specialty,,,,-1,,SMR,0.5240709185600281,APPROVED,sofia,1605631189801,38004693,EVENT,,,1605631135806
11,Private Residence - living alone,,,,-1,,SMR,0.2864384055137634,APPROVED,sofia,1605631191515,581476,EVENT,,,1605631135806
34,No fixed abode,,,,-1,,SMR,0.11509279906749725,UNCHECKED,,0,38004515,EVENT,,,1605631135806
68,Other type of location,,,,-1,,SMR,0.1770632266998291,UNCHECKED,,0,38004693,EVENT,,,1605631135806
5G,Learning Disability,,,,-1,,SMR,0.422208309173584,APPROVED,sofia,1605631211137,38004444,EVENT,,,1605631135807
42,Surgical Specialty,,,,-1,,SMR,0.5240709185600281,APPROVED,sofia,1605631213370,38004693,EVENT,,,1605631135807
54,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290855586528778,APPROVED,sofia,1605631215684,8650,EVENT,,,1605631135807
12,Private Residence - living with relatives or friends,,,,-1,,SMR,0.22630295157432556,APPROVED,sofia,1605631221623,581476,EVENT,,,1605631135807
38,"Other type of temporary residence (includes hospital residences,hotel facilities)",,,,-1,,SMR,0.28963184356689453,UNCHECKED,,0,581476,EVENT,,,1605631135807
39,Temporary Place of Residence - type not known,,,,-1,,SMR,0.26859188079833984,UNCHECKED,,0,581476,EVENT,,,1605631135808
44,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290855586528778,APPROVED,sofia,1605631240474,8650,EVENT,,,1605631135808
33,"Legal Establishment,including Prison",,,,-1,,SMR,0.0824081301689148,APPROVED,sofia,1605631243295,38003619,EVENT,,,1605631135808
55,Paediatrics,,,,-1,,SMR,0.24642276763916016,APPROVED,sofia,1605631244940,38004693,EVENT,,,1605631135808
10,Private Residence - no additional detail added,,,,-1,,SMR,0.2124634087085724,APPROVED,sofia,1605631249858,581476,EVENT,,,1605631135808
21,NHS - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3851620554924011,UNCHECKED,,0,581476,EVENT,,,1605631135809
5D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707950711250305,APPROVED,sofia,1605631268229,8971,EVENT,,,1605631135809
4F,Orthopaedics,,,,-1,,SMR,0.20951581001281738,APPROVED,sofia,1605631269276,38004693,EVENT,,,1605631135809
22,Local Authority/Voluntary - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3456907272338867,UNCHECKED,,0,581476,EVENT,,,1605631135809
18,Private Residence - other type,,,,-1,,SMR,0.2586904764175415,APPROVED,sofia,1605631281701,581476,EVENT,,,1605631135810
24,NHS Partnership Hospital,,,,-1,,SMR,0.3771859407424927,APPROVED,sofia,1605631288245,38004515,EVENT,,,1605631135810
5F,Orthopaedics,,,,-1,,SMR,0.20951581001281738,APPROVED,sofia,1605631300482,38004693,EVENT,,,1605631135810
4E,Psychiatry (patient on pass),,,,-1,,SMR,0.4487531781196594,APPROVED,sofia,1605631302603,8971,EVENT,,,1605631135810
53,Medical Specialty,,,,-1,,SMR,0.5967487096786499,UNCHECKED,,0,38004240,EVENT,,,1605631135811
19,Private Residence - type not known,,,,-1,,SMR,0.2130284607410431,APPROVED,sofia,1605631316089,581476,EVENT,,,1605631135811
56,Neonatal Paediatrics,,,,-1,,SMR,0.2067747265100479,APPROVED,sofia,1605631324389,8650,EVENT,,,1605631135811
48,Other specialty not separately identified,,,,-1,,SMR,0.37450286746025085,UNCHECKED,,0,38004693,EVENT,,,1605631135812
43,Medical Specialty,,,,-1,,SMR,0.5967487096786499,APPROVED,sofia,1605631339987,38004240,EVENT,,,1605631135812
5E,Psychiatry (patient on pass),,,,-1,,SMR,0.4487531781196594,APPROVED,sofia,1605631343526,8971,EVENT,,,1605631135812
4D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707950711250305,APPROVED,sofia,1605631347505,8971,EVENT,,,1605631135812
20,"Place of Residence: Institution,no additional detail added",,,,-1,,SMR,0.2850404381752014,UNCHECKED,,0,42898160,EVENT,,,1605631135813
5B,Geriatrics (except for patient on pass),,,,-1,,SMR,0.201161727309227,APPROVED,sofia,1605631375000,38004307,EVENT,,,1605631135813
40,"Transfer from the same Provider Unit,no additional detail added",,,,-1,,SMR,0.19541551172733307,UNCHECKED,,0,38004693,EVENT,,,1605631135814
8,Other,,,,-1,,SMR,0.3749558925628662,UNCHECKED,,0,38004693,EVENT,,,1605631135814
23,Private - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3941359221935272,UNCHECKED,,0,581476,EVENT,,,1605631135814
4C,Geriatrics (patient on pass),,,,-1,,SMR,0.24411381781101227,APPROVED,sofia,1605631396022,38004307,EVENT,,,1605631135814
61,Private Hospital,,,,-1,,SMR,0.6611007452011108,APPROVED,sofia,1605631397659,38004515,EVENT,,,1605631135815
69,Type of location - not known,,,,-1,,SMR,0.11754625290632248,UNCHECKED,,0,38004693,EVENT,,,1605631135815
51,Accident and Emergency,,,,-1,,SMR,0.3898438811302185,APPROVED,sofia,1605631415097,9203,EVENT,,,1605631135815
