sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:coding_origin,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
84,Non-NHS run hospital with medium secure unit,,,,-1,,HES,0.30782628059387207,APPROVED,sofia,1605631715973,38004515,EVENT,,,1605631558565
49,NHS run High Security Psychiatric Hospital,,,,-1,,HES,0.6232949495315552,APPROVED,sofia,1605631661264,38004284,EVENT,,,1605631558565
50,NHS run medium secure unit,,,,-1,,HES,0.302307665348053,APPROVED,sofia,1605631665370,38004693,EVENT,,,1605631558565
85,Non-NHS run residential care home,,,,-1,,HES,0.24254930019378662,APPROVED,sofia,1605631726673,38004307,EVENT,,,1605631558565
86,Non-NHS run nursing home,,,,-1,,HES,0.2713257968425751,APPROVED,sofia,1605631723178,38004307,EVENT,,sofia,1605631721652
51,NHS run general ward or young physically disabled unit,,,,-1,,HES,0.2393658459186554,APPROVED,sofia,1605631660250,38004444,EVENT,,,1605631558566
87,Non-NHS run hospital,,,,-1,,HES,0.38282090425491333,APPROVED,sofia,1605631714521,38004515,EVENT,,,1605631558567
52,NHS run maternity ward,,,,-1,,HES,0.14900612831115723,APPROVED,sofia,1605631662566,8650,EVENT,,,1605631558567
66,Local Authority foster care,,,,-1,,HES,0.40672168135643005,UNCHECKED,,0,581476,EVENT,,,1605631558567
53,NHS run mental health and learning disabilities ward,,,,-1,,HES,0.315639466047287,APPROVED,sofia,1605631669055,38004693,EVENT,,,1605631558568
69,Local Authority home or care,,,,-1,,HES,0.2918783128261566,UNCHECKED,,0,581476,EVENT,,,1605631558568
54,NHS run nursing/residential/group home,,,,-1,,HES,0.4128895401954651,UNCHECKED,,0,581476,EVENT,,,1605631558568
79,Not applicable: patient died or still birth,,,,-1,,HES,0.24986228346824646,UNCHECKED,,0,434489,EVENT,,,1605631558568
65,Local Authority residential care accommodation,,,,-1,,HES,0.28477659821510315,UNCHECKED,,0,581476,EVENT,,,1605631558569
99,Not known,,,,-1,,HES,0.07067427784204483,UNCHECKED,,0,38004693,EVENT,,,1605631558569
37,Penal establishment: court,,,,-1,,HES,0.07339593023061752,UNCHECKED,,0,38003619,EVENT,,,1605631558569
38,Penal establishment: police station,,,,-1,,HES,0.0990200787782669,UNCHECKED,,0,38003619,EVENT,,,1605631558570
39,Penal establishment: other,,,,-1,,HES,0.1610335260629654,UNCHECKED,,0,38003619,EVENT,,,1605631558571
48,"High Security Psychiatric Hospital, Scotland",,,,-1,,HES,0.6262962818145752,APPROVED,sofia,1605631615479,38004284,EVENT,,,1605631558571
88,Non-NHS run hospice,,,,-1,,HES,0.3361091911792755,APPROVED,sofia,1605631713147,8546,EVENT,,,1605631558571
19,Usual place of residence,,,,-1,,HES,0.22480876743793488,APPROVED,sofia,1605631838219,581476,EVENT,,,1605631558572
89,Non-NHS institution,,,,-1,,HES,0.37600773572921753,UNCHECKED,,0,38004693,EVENT,,,1605631558572
29,Temporary place of residence,,,,-1,,HES,0.401863694190979,UNCHECKED,,0,581476,EVENT,,,1605631558572
98,Not applicable,,,,-1,,HES,0.3189949095249176,UNCHECKED,,0,38004693,EVENT,,,1605631558573
30,Repatriation from High Security Psychiatric Hospital,,,,-1,,HES,0.660953164100647,APPROVED,sofia,1605631806232,38004284,EVENT,,,1605631558573
