sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:coding_origin,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
84,Non-NHS run hospital with medium secure unit,,,,-1,,HES,0.30782628059387207,APPROVED,sofia,1605631715973,38004515,EVENT,,,1605631558565
44,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290845155715942,APPROVED,sofia,1605631741668,8650,EVENT,,,1605631558565
49,NHS run High Security Psychiatric Hospital,,,,-1,,HES,0.6232949495315552,APPROVED,sofia,1605631661264,38004284,EVENT,,,1605631558565
11,Private Residence - living alone,,,,-1,,SMR,0.2864381670951843,APPROVED,sofia,1605631799090,581476,EVENT,,,1605631558565
52,Surgical Specialty,,,,-1,,SMR,0.5240716338157654,APPROVED,sofia,1605631811543,38004693,EVENT,,,1605631558565
55,Paediatrics,,,,-1,,SMR,0.2464233636856079,APPROVED,sofia,1605631763592,38004693,EVENT,,,1605631558565
33,"Legal Establishment, including Prison",,,,-1,,SMR,0.10619626194238663,APPROVED,sofia,1605631630644,38003619,EVENT,,,1605631558565
57,Hospital site within the same Trust - ward for patients who are mentally ill or have learning disabilities,,,,-1,,PEDW,0.2536953091621399,APPROVED,sofia,1605631624776,38004515,EVENT,,,1605631558565
50,NHS run medium secure unit,,,,-1,,HES,0.302307665348053,APPROVED,sofia,1605631665370,38004693,EVENT,,,1605631558565
4F,Orthopaedics,,,,-1,,SMR,0.209514781832695,APPROVED,sofia,1605631743540,38004693,EVENT,,,1605631558565
42,Surgical Specialty,,,,-1,,SMR,0.5240716338157654,APPROVED,sofia,1605631812228,38004693,EVENT,,,1605631558565
45,Paediatrics,,,,-1,,SMR,0.2464233636856079,APPROVED,sofia,1605631763872,38004693,EVENT,,,1605631558565
85,Non-NHS run residential care home,,,,-1,,HES,0.24254930019378662,APPROVED,sofia,1605631726673,38004307,EVENT,,,1605631558565
12,Private Residence - living with relatives or friends,,,,-1,,SMR,0.22630241513252258,APPROVED,sofia,1605631799580,581476,EVENT,,,1605631558565
22,Local Authority/Voluntary - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3456905484199524,UNCHECKED,,0,581476,EVENT,,,1605631558565
86,Non-NHS run nursing home,,,,-1,,HES,0.2713257968425751,APPROVED,sofia,1605631723178,38004307,EVENT,,sofia,1605631721652
5F,Orthopaedics,,,,-1,,SMR,0.209514781832695,APPROVED,sofia,1605631743789,38004693,EVENT,,,1605631558566
65,Local Authority Part 3 residential accommodation i.e. where care is provided,,,,-1,,PEDW,0.18953260779380798,UNCHECKED,,0,581476,EVENT,,,1605631558566
51,NHS run general ward or young physically disabled unit,,,,-1,,HES,0.2393658459186554,APPROVED,sofia,1605631660250,38004444,EVENT,,,1605631558566
00,Patient died,,,,-1,,SMR,0.3673669695854187,UNCHECKED,,0,434489,EVENT,,,1605631558566
39,Temporary Place of Residence - type not known,,,,-1,,SMR,0.26859208941459656,UNCHECKED,,0,581476,EVENT,,,1605631558566
10,Private Residence - no additional detail added,,,,-1,,SMR,0.2124631255865097,APPROVED,sofia,1605631799822,581476,EVENT,,,1605631558567
87,Non-NHS run hospital,,,,-1,,HES,0.38282090425491333,APPROVED,sofia,1605631714521,38004515,EVENT,,,1605631558567
53,Medical Specialty,,,,-1,,SMR,0.5967494249343872,APPROVED,sofia,1605631648102,38004693,EVENT,,,1605631558567
48,Other specialty not separately identified,,,,-1,,SMR,0.37450453639030457,UNCHECKED,,0,38004693,EVENT,,,1605631558567
52,NHS run maternity ward,,,,-1,,HES,0.14900612831115723,APPROVED,sofia,1605631662566,8650,EVENT,,,1605631558567
01,Patient died whilst on pass,,,,-1,,SMR,0.2138744443655014,UNCHECKED,,0,434489,EVENT,,,1605631558567
66,Local authority foster care but not in Part 3 residential accommodation,,,,-1,,PEDW,0.25307393074035645,UNCHECKED,,0,581476,EVENT,,,1605631558567
18,Private Residence - other type,,,,-1,,SMR,0.2586909234523773,APPROVED,sofia,1605631800044,581476,EVENT,,,1605631558567
30,"Temporary place of Residence, no additional detail added",,,,-1,,SMR,0.2620852589607239,UNCHECKED,,0,581476,EVENT,,,1605631558567
66,Local Authority foster care,,,,-1,,HES,0.40672168135643005,UNCHECKED,,0,581476,EVENT,,,1605631558567
43,Medical Specialty,,,,-1,,SMR,0.5967494249343872,APPROVED,sofia,1605631648512,38004693,EVENT,,,1605631558567
56,Neonatal Paediatrics,,,,-1,,SMR,0.20677441358566284,APPROVED,sofia,1605631648848,38004693,EVENT,,,1605631558567
58,Other specialty not separately identified,,,,-1,,SMR,0.37450453639030457,UNCHECKED,,0,38004693,EVENT,,,1605631558567
19,Private Residence - type not known,,,,-1,,SMR,0.21302847564220428,APPROVED,sofia,1605631801973,581476,EVENT,,,1605631558568
53,NHS run mental health and learning disabilities ward,,,,-1,,HES,0.315639466047287,APPROVED,sofia,1605631669055,38004693,EVENT,,,1605631558568
79,Not Applicable - Patient died or stillbirth,,,,-1,,PEDW,0.2735106945037842,UNCHECKED,,0,434489,EVENT,,,1605631558568
69,Local Authority home or care,,,,-1,,HES,0.2918783128261566,UNCHECKED,,0,581476,EVENT,,,1605631558568
4E,Psychiatry (patient on pass),,,,-1,,SMR,0.44870704412460327,APPROVED,sofia,1605631803794,8971,EVENT,,,1605631558568
21,NHS - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3851695656776428,UNCHECKED,,0,581476,EVENT,,,1605631558568
34,No fixed abode,,,,-1,,SMR,0.11509265005588531,UNCHECKED,,0,38004693,EVENT,,,1605631558568
54,NHS run nursing/residential/group home,,,,-1,,HES,0.4128895401954651,UNCHECKED,,0,581476,EVENT,,,1605631558568
24,NHS Partnership Hospital,,,,-1,,SMR,0.3772035539150238,APPROVED,sofia,1605631656135,38004515,EVENT,,,1605631558568
68,Other type of discharge location,,,,-1,,SMR,0.1395699381828308,UNCHECKED,,0,38004693,EVENT,,,1605631558568
79,Not applicable: patient died or still birth,,,,-1,,HES,0.24986228346824646,UNCHECKED,,0,434489,EVENT,,,1605631558568
4D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707696497440338,APPROVED,sofia,1605631803033,8971,EVENT,,,1605631558568
85,Non-NHS (other than local authority) run residential care home,,,,-1,,PEDW,0.18469765782356262,APPROVED,sofia,1605631685284,38004307,EVENT,,,1605631558568
5E,Psychiatry (patient on pass),,,,-1,,SMR,0.44870704412460327,APPROVED,sofia,1605631804331,8971,EVENT,,,1605631558568
54,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290845155715942,APPROVED,sofia,1605631741901,8650,EVENT,,,1605631558569
65,Local Authority residential care accommodation,,,,-1,,HES,0.28477659821510315,UNCHECKED,,0,581476,EVENT,,,1605631558569
99,Not known,,,,-1,,HES,0.07067427784204483,UNCHECKED,,0,38004693,EVENT,,,1605631558569
46,Neonatal Paediatrics,,,,-1,,SMR,0.20677441358566284,APPROVED,sofia,1605631650327,38004693,EVENT,,,1605631558569
86,Non-NHS (other than local authority) run nursing home,,,,-1,,PEDW,0.2449684590101242,APPROVED,sofia,1605631707112,38004307,EVENT,,sofia,1605631705715
5D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707696497440338,APPROVED,sofia,1605631803500,8971,EVENT,,,1605631558569
