sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:coding_origin,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
44,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290845155715942,APPROVED,sofia,1605631741668,8650,EVENT,,,1605631558565
11,Private Residence - living alone,,,,-1,,SMR,0.2864381670951843,APPROVED,sofia,1605631799090,581476,EVENT,,,1605631558565
52,Surgical Specialty,,,,-1,,SMR,0.5240716338157654,APPROVED,sofia,1605631811543,38004693,EVENT,,,1605631558565
55,Paediatrics,,,,-1,,SMR,0.2464233636856079,APPROVED,sofia,1605631763592,38004693,EVENT,,,1605631558565
33,"Legal Establishment, including Prison",,,,-1,,SMR,0.10619626194238663,APPROVED,sofia,1605631630644,38003619,EVENT,,,1605631558565
4F,Orthopaedics,,,,-1,,SMR,0.209514781832695,APPROVED,sofia,1605631743540,38004693,EVENT,,,1605631558565
42,Surgical Specialty,,,,-1,,SMR,0.5240716338157654,APPROVED,sofia,1605631812228,38004693,EVENT,,,1605631558565
45,Paediatrics,,,,-1,,SMR,0.2464233636856079,APPROVED,sofia,1605631763872,38004693,EVENT,,,1605631558565
12,Private Residence - living with relatives or friends,,,,-1,,SMR,0.22630241513252258,APPROVED,sofia,1605631799580,581476,EVENT,,,1605631558565
22,Local Authority/Voluntary - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3456905484199524,UNCHECKED,,0,581476,EVENT,,,1605631558565
5F,Orthopaedics,,,,-1,,SMR,0.209514781832695,APPROVED,sofia,1605631743789,38004693,EVENT,,,1605631558566
00,Patient died,,,,-1,,SMR,0.3673669695854187,UNCHECKED,,0,434489,EVENT,,,1605631558566
39,Temporary Place of Residence - type not known,,,,-1,,SMR,0.26859208941459656,UNCHECKED,,0,581476,EVENT,,,1605631558566
10,Private Residence - no additional detail added,,,,-1,,SMR,0.2124631255865097,APPROVED,sofia,1605631799822,581476,EVENT,,,1605631558567
53,Medical Specialty,,,,-1,,SMR,0.5967494249343872,APPROVED,sofia,1605631648102,38004693,EVENT,,,1605631558567
48,Other specialty not separately identified,,,,-1,,SMR,0.37450453639030457,UNCHECKED,,0,38004693,EVENT,,,1605631558567
01,Patient died whilst on pass,,,,-1,,SMR,0.2138744443655014,UNCHECKED,,0,434489,EVENT,,,1605631558567
18,Private Residence - other type,,,,-1,,SMR,0.2586909234523773,APPROVED,sofia,1605631800044,581476,EVENT,,,1605631558567
30,"Temporary place of Residence, no additional detail added",,,,-1,,SMR,0.2620852589607239,UNCHECKED,,0,581476,EVENT,,,1605631558567
43,Medical Specialty,,,,-1,,SMR,0.5967494249343872,APPROVED,sofia,1605631648512,38004693,EVENT,,,1605631558567
56,Neonatal Paediatrics,,,,-1,,SMR,0.20677441358566284,APPROVED,sofia,1605631648848,38004693,EVENT,,,1605631558567
58,Other specialty not separately identified,,,,-1,,SMR,0.37450453639030457,UNCHECKED,,0,38004693,EVENT,,,1605631558567
19,Private Residence - type not known,,,,-1,,SMR,0.21302847564220428,APPROVED,sofia,1605631801973,581476,EVENT,,,1605631558568
4E,Psychiatry (patient on pass),,,,-1,,SMR,0.44870704412460327,APPROVED,sofia,1605631803794,8971,EVENT,,,1605631558568
21,NHS - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.3851695656776428,UNCHECKED,,0,581476,EVENT,,,1605631558568
34,No fixed abode,,,,-1,,SMR,0.11509265005588531,UNCHECKED,,0,38004693,EVENT,,,1605631558568
24,NHS Partnership Hospital,,,,-1,,SMR,0.3772035539150238,APPROVED,sofia,1605631656135,38004515,EVENT,,,1605631558568
68,Other type of discharge location,,,,-1,,SMR,0.1395699381828308,UNCHECKED,,0,38004693,EVENT,,,1605631558568
4D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707696497440338,APPROVED,sofia,1605631803033,8971,EVENT,,,1605631558568
5E,Psychiatry (patient on pass),,,,-1,,SMR,0.44870704412460327,APPROVED,sofia,1605631804331,8971,EVENT,,,1605631558568
54,Obstetrics/Postnatal Cots,,,,-1,,SMR,0.08290845155715942,APPROVED,sofia,1605631741901,8650,EVENT,,,1605631558569
46,Neonatal Paediatrics,,,,-1,,SMR,0.20677441358566284,APPROVED,sofia,1605631650327,38004693,EVENT,,,1605631558569
5D,Psychiatry (except for patient on pass),,,,-1,,SMR,0.3707696497440338,APPROVED,sofia,1605631803500,8971,EVENT,,,1605631558569
32,Student Accommodation,,,,-1,,SMR,0.22650232911109924,APPROVED,sofia,1605631810001,581476,EVENT,,,1605631558569
23,Private - Nursing/Residential/Hostel/Group Home,,,,-1,,SMR,0.39413610100746155,UNCHECKED,,0,581476,EVENT,,,1605631558569
38,"Other type of temporary residence (includes hospital residences, hotel facilities)",,,,-1,,SMR,0.3157045841217041,UNCHECKED,,0,581476,EVENT,,,1605631558569
31,Holiday Accommodation,,,,-1,,SMR,0.14525023102760315,UNCHECKED,,0,581476,EVENT,,,1605631558569
61,Private Hospital,,,,-1,,SMR,0.6611027121543884,APPROVED,sofia,1605631790256,38004515,EVENT,,,1605631558569
35,Discharge of Foundling (Record Type 11 only),,,,-1,,SMR,0.13773339986801147,UNCHECKED,,0,8851,EVENT,,,1605631558569
40,"Transfer within the same Provider Unit, no additional detail added",,,,-1,,SMR,0.21894532442092896,UNCHECKED,,0,38004693,EVENT,,,1605631558569
62,Hospice,,,,-1,,SMR,1.0,APPROVED,sofia,1605631621640,8546,EVENT,,,1605631558570
13,Private Residence (sheltered),,,,-1,,SMR,0.33599627017974854,APPROVED,sofia,1605631797291,581476,EVENT,,,1605631558570
51,Accident and Emergency,,,,-1,,SMR,0.38984182476997375,APPROVED,sofia,1605631596238,9203,EVENT,,,1605631558570
69,"Type of discharge location, not known",,,,-1,,SMR,0.12705005705356598,UNCHECKED,,0,38004693,EVENT,,,1605631558570
60,Discharge to Other types of Locations - no additional detail added,,,,-1,,SMR,0.13799069821834564,UNCHECKED,,0,581476,EVENT,,,1605631558570
4G,Learning Disability,,,,-1,,SMR,0.4222084581851959,APPROVED,sofia,1605631626790,38004444,EVENT,,,1605631558571
14,Private Residence (supported),,,,-1,,SMR,0.3050042688846588,APPROVED,sofia,1605631797824,581476,EVENT,,,1605631558571
41,Accident and Emergency,,,,-1,,SMR,0.38984182476997375,APPROVED,sofia,1605631596463,9203,EVENT,,,1605631558571
4H,Transfer within the same Provider: Hospital at Home,,,,-1,,SMR,0.3051798343658447,UNCHECKED,,0,38004693,EVENT,,,1605631558571
