sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
001,Operations on thoracic duct,,,,0,,0.8294377326965330,UNCHECKED,,,4118187,VALUE,,,
0011,"Craniotomy, not elsewhere classified : burr-hole",,,,0,,0.338760644197464,UNCHECKED,,,4101626,VALUE,,,
0012,"Craniotomy, not elsewhere classified : trephine",,,,0,,0.38292402029037500,UNCHECKED,,,4101626,VALUE,,,
0014,"Craniotomy, not elsewhere classified : puncture of brain",,,,0,,0.33881840109825100,UNCHECKED,,,40488856,VALUE,,,
004,Excision of lesion of skull,,,,0,,1.0,APPROVED,,,4208846,VALUE,,,
005,Cranioplasty,,,,0,,1.0,APPROVED,,,4138816,VALUE,,,
0051,Cranioplasty : natural material,,,,0,,0.550804615020752,UNCHECKED,,,4138816,VALUE,,,
0052,Cranioplasty : inert material,,,,0,,0.5573404431343080,UNCHECKED,,,4138816,VALUE,,,
0053,Cranioplasty : opening of sutures,,,,0,,0.5343208312988280,UNCHECKED,,,4138816,VALUE,,,
0054,Cranioplasty : restoration of orbital region,,,,0,,0.5283071398735050,UNCHECKED,,,4154279,VALUE,,,
007,Repair of cerebral meninges,,,,0,,1.0,APPROVED,,,4222439,VALUE,,,
0071,Repair of cerebral meninges : lamina cribrosa fistula,,,,0,,0.5714990496635440,UNCHECKED,,,4222439,VALUE,,,
0072,Repair of cerebral meninges : meningo encephalocele,,,,0,,0.6901682019233700,UNCHECKED,,,4169892,VALUE,,,
008,Ventricular puncture and anastomosis,,,,4,,0.5682473182678220,UNCHECKED,,,2110407,VALUE,,,
0081,Ventricular puncture and anastomosis : drainage,,,,4,,0.5393916368484500,UNCHECKED,,,4313285,VALUE,,,
0083,Ventricular puncture and anastomosis : ventriculo-cisternostomy,,,,0,,0.44256284832954400,UNCHECKED,,,4140853,VALUE,,,
0084,Ventricular puncture and anastomosis : ventriculo-vascular anastomosis,,,,0,,0.48252004384994500,UNCHECKED,,,4220520,VALUE,,,
0085,Ventricular puncture and anastomosis : subcutaneous reservoir,,,,0,,0.5118880867958070,UNCHECKED,,,2110399,VALUE,,,
009,Other operations on skull and meninges,,,,0,,0.5806196331977840,UNCHECKED,,,4210457,VALUE,,,
0091,Other operations on skull and meninges : biopsy,,,,0,,0.522026777267456,UNCHECKED,,,4062784,VALUE,,,
0092,Other operations on skull and meninges : fractured skull,,,,0,,0.49600937962532000,UNCHECKED,,,4243629,VALUE,,,
0095,Other operations on skull and meninges : meningeal lesion,,,,0,,0.47428587079048200,UNCHECKED,,,40480878,VALUE,,,
0096,Other operations on skull and meninges : removal of foreign body,,,,0,,0.6085277795791630,UNCHECKED,,,4057326,VALUE,,,
013,Operations on thalamus and globus pallidus,,,,0,,0.7616395354270940,UNCHECKED,,,4211527,VALUE,,,
014,Other division or destruction of brain tissue,,,,0,,0.7673078775405880,UNCHECKED,,,4065608,VALUE,,,
015,Ventriculography,,,,0,,0.8135244250297550,UNCHECKED,,,4066563,VALUE,,,
016,Revision or irrigation of ventricular shunt,,,,0,,0.8872105479240420,UNCHECKED,,,4282631,VALUE,,,
017,"Cranial puncture, not elsewhere classified",,,,0,,0.5314487218856810,UNCHECKED,,,4165622,VALUE,,,
0171,"Cranial puncture, not elsewhere classified : needle biopsy of brain",,,,0,,0.5071654319763180,UNCHECKED,,,4081616,VALUE,,,
172,"Capsulectomy, not elsewhere classified",,,,0,,0.5354132056236270,UNCHECKED,,,4272798,VALUE,,,
0172,"Cranial puncture, not elsewhere classified : aspiration (brain substance, abscess)",,,,0,,0.46627023816108700,UNCHECKED,,,2101888,VALUE,,,
018,Cisternal puncture,,,,0,,1.0,APPROVED,,,2110401,VALUE,,,
020,Laminotomy and laminectomy,,,,34,,0.6633118391036990,UNCHECKED,,,4054353,VALUE,,,
0201,Laminotomy and laminectomy : laminotomy,,,,0,,0.4806073307991030,UNCHECKED,,,4054353,VALUE,,,
0202,Laminotomy and laminectomy : excision of bone (tumour),,,,0,,0.3928872346878050,UNCHECKED,,,4221133,VALUE,,,
0203,Laminotomy and laminectomy : elevation of depressed bone,,,,0,,0.4029235541820530,UNCHECKED,,,4320936,VALUE,,,
0204,"Laminotomy and laminectomy : drainage (abscess, haematoma)",,,,0,,0.41762492060661300,UNCHECKED,,,4073292,VALUE,,,
0205,"Laminotomy and laminectomy : opening of dura, decompression",,,,20,,0.47542130947113000,UNCHECKED,,,4054353,VALUE,,,
0206,Laminotomy and laminectomy : biopsy of bone,,,,0,,0.5433040857315060,UNCHECKED,,,4029787,VALUE,,,
021,Open reduction of fracture of spine,,,,0,,0.9327490329742430,APPROVED,,,4057654,VALUE,,,
0211,Open reduction of fracture of spine : with fixation,,,,4,,0.7166377902030950,UNCHECKED,,,4038683,VALUE,,,
022,Spinal fusion and bone operation,,,,28,,0.7272228002548220,UNCHECKED,,,4208113,VALUE,,,
0221,Spinal fusion and bone operation : bone graft,,,,0,,0.5438993573188780,UNCHECKED,,,4244399,VALUE,,,
0222,Spinal fusion and bone operation : arthroplasty of spine,,,,5,,0.4023016095161440,UNCHECKED,,,4034305,VALUE,,,
023,"Operation on intervertebral disc, not elsewhere classified",,,,0,,0.5634404420852660,UNCHECKED,,,4034458,VALUE,,,
0231,"Operation on intervertebral disc, not elsewhere classified : excision",,,,90,,0.48585617542266800,APPROVED,,,4034458,VALUE,,,
0232,"Operation on intervertebral disc, not elsewhere classified : with radiculotomy",,,,0,,0.4541807472705840,UNCHECKED,,,4034458,VALUE,,,
0233,"Operation on intervertebral disc, not elsewhere classified : with bone graft",,,,0,,0.45859959721565200,UNCHECKED,,,4034458,VALUE,,,
0234,"Operation on intervertebral disc, not elsewhere classified : exploration",,,,0,,0.5334580540657040,UNCHECKED,,,4274469,VALUE,,,
024,Section of intraspinal nerve roots,,,,0,,0.7525996565818790,UNCHECKED,,,4078919,VALUE,,,
0241,Section of intraspinal nerve roots : cauda equina,,,,0,,0.506396472454071,UNCHECKED,,,4231206,VALUE,,,
025,Division of cord or spinal tracts,,,,0,,0.8506126999855040,UNCHECKED,,,4071877,VALUE,,,
026,Extirpation of intraspinal lesion,,,,0,,0.7304880023002630,UNCHECKED,,,4304936,VALUE,,,
0261,Extirpation of intraspinal lesion : extramedullary,,,,0,,0.5228807926177980,UNCHECKED,,,4144019,VALUE,,,
0262,Extirpation of intraspinal lesion : intradedullary,,,,0,,0.4876058101654050,UNCHECKED,,,4304936,VALUE,,,
0263,Extirpation of intraspinal lesion : extrusion technique,,,,0,,0.5375788807868960,UNCHECKED,,,4220434,VALUE,,,
027,Repair of spinal cord and meninges,,,,0,,0.9674674272537230,APPROVED,,,4302449,VALUE,AND,,
027,Repair of spinal cord and meninges,,,,0,,0.9674674272537230,APPROVED,,,4222434,VALUE,AND,,
0275,Repair of spinal cord and meninges : freeing of adhesions,,,,0,,0.7354690432548520,UNCHECKED,,,4037222,VALUE,,,
028,Spinal puncture,,,,0,,1.0,APPROVED,,,4080549,VALUE,,,
0281,Spinal puncture : spinal myelography,,,,84,,0.5442964434623720,APPROVED,,,4080549,VALUE,AND,,
0281,Spinal puncture : spinal myelography,,,,84,,0.5442964434623720,APPROVED,,,4280591,VALUE,AND,,
0282,Spinal puncture : injection of destructive agent,,,,6,,0.6830767393112180,UNCHECKED,,,4200688,VALUE,,,
0283,Spinal puncture : drainage,,,,0,,0.6240062713623050,UNCHECKED,,,4080549,VALUE,,,
0284,Spinal puncture : manometry,,,,0,,0.5853411555290220,UNCHECKED,,,4080549,VALUE,,,
0285,"Spinal puncture : diagnostic, not elsewhere classified",,,,38,,0.4448596239089970,APPROVED,,,4142094,VALUE,,,
0286,Spinal puncture : cauda equine block,,,,0,,0.48076382279396100,UNCHECKED,,,4080549,VALUE,,,
029,Other operation on spine and contents,,,,0,,0.5634252429008480,UNCHECKED,,,4298562,VALUE,,,
0291,Other operation on spine and contents : biopsy of cord or meninges,,,,0,,0.5434420704841610,UNCHECKED,,,4124234,VALUE,,,
0292,Other operation on spine and contents : removal of foreign body,,,,0,,0.5957719683647160,UNCHECKED,,,4029357,VALUE,,,
0293,Other operation on spine and contents : operation for spinal deformity,,,,0,,0.47903022170066800,UNCHECKED,,,4302694,VALUE,,,
0295,"Other operation on spine and contents : aspiration (cyst, abscess)",,,,0,,0.4740980267524720,UNCHECKED,,,4333812,VALUE,,,
0296,"Other operation on spine and contents : neuropacemaker, insertion",,,,0,,0.5354154706001280,UNCHECKED,,,4139773,VALUE,,,
032,Decompression of cranial nerve,,,,0,,1.0,APPROVED,,,4311112,VALUE,,,
034,Injection of cranial nerve or ganglion,,,,0,,0.8262248635292050,UNCHECKED,,,4045614,VALUE,,,
0342,Injection of cranial nerve or ganglion : destructive,,,,0,,0.7473184466362,UNCHECKED,,,4045614,VALUE,,,
035,Other operations on cranial nerves and ganglia,,,,0,,0.5808609127998350,UNCHECKED,,,4045614,VALUE,,,
0351,Other operations on cranial nerves and ganglia : avulsion,,,,0,,0.6007748246192930,UNCHECKED,,,4296224,VALUE,,,
0352,Other operations on cranial nerves and ganglia : transection,,,,0,,0.5232781171798710,UNCHECKED,,,4274789,VALUE,,,
0353,Other operations on cranial nerves and ganglia : ganglionectomy,,,,0,,0.6166167259216310,UNCHECKED,,,4181585,VALUE,,,
0355,Other operations on cranial nerves and ganglia : repair or anastomosis,,,,0,,0.5326395034790040,UNCHECKED,,,4328495,VALUE,,,
036,Sympathectomy,,,,0,,1.0,APPROVED,,,4237289,VALUE,,,
0361,Sympathectomy : cervical,,,,0,,0.7339267730712890,UNCHECKED,,,2110855,VALUE,,,
0362,Sympathectomy : stellate,,,,0,,0.6295894980430600,UNCHECKED,,,4237289,VALUE,,,
0363,Sympathectomy : lumbar,,,,4,,0.7435325384140020,UNCHECKED,,,2110858,VALUE,,,
0364,"Sympathectomy : splanchnic, presacral",,,,0,,0.6552422046661380,UNCHECKED,,,4225073,VALUE,,,
037,Injection into sympathetic nerve or ganglion,,,,0,,0.7628695368766790,UNCHECKED,,,4230034,VALUE,,,
0372,Injection into sympathetic nerve or ganglion : destructive,,,,0,,0.6162128448486330,UNCHECKED,,,4230034,VALUE,,,
0373,Injection into sympathetic nerve or ganglion : para cervical,,,,0,,0.6089080572128300,UNCHECKED,,,4230034,VALUE,,,
039,Other operation on autonomic nervous system,,,,0,,0.6796242594718930,UNCHECKED,,,4041193,VALUE,,,
0391,Other operation on autonomic nervous system : biopsy,,,,0,,0.5116687417030330,UNCHECKED,,,2314138,VALUE,,,
0392,Other operation on autonomic nervous system : extirpation,,,,0,,0.5120155215263370,UNCHECKED,,,2314138,VALUE,,,
0393,Other operation on autonomic nervous system : periaterial sympathetic,,,,0,,0.6422215700149540,UNCHECKED,,,4122300,VALUE,,,
040,Neurectomy and neurotomy,,,,0,,0.716198742389679,UNCHECKED,,,4002391,VALUE,,,
0401,Neurectomy and neurotomy : biopsy,,,,0,,0.4484851658344270,UNCHECKED,,,46273672,VALUE,,,
0402,Neurectomy and neurotomy : excision,,,,0,,0.39663976430892900,UNCHECKED,,,2109027,VALUE,,,
0403,Neurectomy and neurotomy : section,,,,0,,0.5014645457267760,UNCHECKED,,,4002391,VALUE,,,
041,Decompression of nerve,,,,17,,1.0,APPROVED,,,4243910,VALUE,,,
0411,Decompression of nerve : carpel tunnel,,,,0,,0.6564165949821470,UNCHECKED,,,4166080,VALUE,,,
0412,Decompression of nerve : tarsal tunnel,,,,0,,0.7581907510757450,UNCHECKED,,,4187083,VALUE,,,
043,Freeing of adhesions,,,,0,,0.8546383380889890,UNCHECKED,,,4010261,VALUE,,,
0431,"Freeing of adhesions : exploration, not elsewhere classified",,,,18,,0.45162051916122400,UNCHECKED,,,4010261,VALUE,,,
045,Extirpation of lesion of peripheral nerve,,,,24,,0.765728235244751,UNCHECKED,,,4333825,VALUE,,,
046,Neuroplasty and neurorrhaphy,,,,14,,0.7994086742401120,UNCHECKED,,,4250330,VALUE,,,
0461,Neuroplasty and neurorrhaphy : anastomosis,,,,0,,0.5956236124038700,UNCHECKED,,,4250330,VALUE,,,
0462,Neuroplasty and neurorrhaphy : suture,,,,6,,0.6065004467964170,UNCHECKED,,,4250330,VALUE,,,
0463,Neuroplasty and neurorrhaphy : transposition,,,,0,,0.5904472470283510,UNCHECKED,,,4250330,VALUE,,,
048,Injection of peripheral nerve,,,,0,,1.0,APPROVED,,,4202685,VALUE,,,
0481,Injection of peripheral nerve : destructive,,,,0,,0.6998663544654850,UNCHECKED,,,4202685,VALUE,,,
049,Other operations on peripheral nerves,,,,0,,0.7760576009750370,UNCHECKED,,,4090396,VALUE,,,
0492,Other operations on peripheral nerves : removal of foreign body,,,,0,,0.660089373588562,UNCHECKED,,,4248444,VALUE,,,
052,Operations on vessels of brain,,,,0,,0.7672219276428220,UNCHECKED,,,4148948,VALUE,,,
0521,Operations on vessels of brain : clip or ligation,,,,0,,0.49303972721099900,UNCHECKED,,,4148948,VALUE,,,
0522,Operations on vessels of brain : other operations on aneurysm nec,,,,0,,0.47046127915382400,UNCHECKED,,,4019405,VALUE,,,
0523,Anastomosis of gall bladder to jejunum,,,,0,,0.7794272303581240,UNCHECKED,,,4246722,VALUE,,,
053,Evacuation of haematoma or cyst,,,,0,,0.8585147857666020,UNCHECKED,,,4042179,VALUE,,,
0531,Evacuation of haematoma or cyst : subdural,,,,0,,0.7161703109741210,UNCHECKED,,,4242877,VALUE,,,
0532,Evacuation of haematoma or cyst : temporal lobe,,,,0,,0.6624022722244260,UNCHECKED,,,4063531,VALUE,,,
0533,Evacuation of haematoma or cyst : extradural,,,,0,,0.6513857245445250,UNCHECKED,,,4333692,VALUE,,,
054,Infective lesion of brain,,,,0,,0.5388942956924440,UNCHECKED,,,4213313,VALUE,,,
0541,Infective lesion of brain : drainage of abscess,,,,0,,0.6163363456726070,UNCHECKED,,,2110425,VALUE,,,
055,Excision of intracranial lesion,,,,6,,1.0,APPROVED,,,4321596,VALUE,,,
0552,Excision of intracranial lesion : trans-sphenoidal,,,,0,,0.5641058087348940,UNCHECKED,,,2110590,VALUE,,,
0553,Excision of intracranial lesion : infra-tentorial approach,,,,0,,0.5493285655975340,UNCHECKED,,,4321596,VALUE,,,
0554,Excision of intracranial lesion : frontal approach,,,,4,,0.6485567688941960,UNCHECKED,,,4321596,VALUE,,,
0555,Excision of intracranial lesion : cortical excision,,,,0,,0.6881019473075870,UNCHECKED,,,4321596,VALUE,,,
