source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
U/L,0,COVID19_EMIS_UNITS,U/L,8645,UCUM,1970-01-01,2099-12-31,
g/L,0,COVID19_EMIS_UNITS,g/L,8636,UCUM,1970-01-01,2099-12-31,
mg/L,0,COVID19_EMIS_UNITS,mg/L,8751,UCUM,1970-01-01,2099-12-31,
mmol/mol,0,COVID19_EMIS_UNITS,mmol/mol,9579,UCUM,1970-01-01,2099-12-31,
10*12/L,0,COVID19_EMIS_UNITS,10*12/L,44777575,UCUM,1970-01-01,2099-12-31,
umol/L,0,COVID19_EMIS_UNITS,umol/L,8749,UCUM,1970-01-01,2099-12-31,
mIU/L,0,COVID19_EMIS_UNITS,mIU/L,9040,UCUM,1970-01-01,2099-12-31,
mL/min/1.7,0,COVID19_EMIS_UNITS,mL/min/1.7,9117,UCUM,1970-01-01,2099-12-31,
g/dL,0,COVID19_EMIS_UNITS,g/dL,8713,UCUM,1970-01-01,2099-12-31,
/12,0,COVID19_EMIS_UNITS,/12,4262528,SNOMED,1970-01-01,2099-12-31,
mmHg,0,COVID19_EMIS_UNITS,mmHg,8876,UCUM,1970-01-01,2099-12-31,
U/week,0,COVID19_EMIS_UNITS,U/week,44777559,UCUM,1970-01-01,2099-12-31,
mmol/l,0,COVID19_EMIS_UNITS,mmol/l,8753,UCUM,1970-01-01,2099-12-31,
%,0,COVID19_EMIS_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
iu/L,0,COVID19_EMIS_UNITS,iu/L,8923,UCUM,1970-01-01,2099-12-31,
fl,0,COVID19_EMIS_UNITS,fl,8583,UCUM,1970-01-01,2099-12-31,
u/L,0,COVID19_EMIS_UNITS,u/L,8645,UCUM,1970-01-01,2099-12-31,
fL,0,COVID19_EMIS_UNITS,fL,8583,UCUM,1970-01-01,2099-12-31,
pg,0,COVID19_EMIS_UNITS,pg,8564,UCUM,1970-01-01,2099-12-31,
mol/mol,0,COVID19_EMIS_UNITS,mol/mol,44777618,UCUM,1970-01-01,2099-12-31,
light d/wk,0,COVID19_EMIS_UNITS,light d/wk,8621,UCUM,1970-01-01,2099-12-31,
-9000001,0,COVID19_EMIS_UNITS,-9000001,0,None,1970-01-01,2099-12-31,
cm,0,COVID19_EMIS_UNITS,cm,8582,UCUM,1970-01-01,2099-12-31,
ug/l,0,COVID19_EMIS_UNITS,ug/l,8748,UCUM,1970-01-01,2099-12-31,
Units/week,0,COVID19_EMIS_UNITS,Units/week,44777559,UCUM,1970-01-01,2099-12-31,
Kg,0,COVID19_EMIS_UNITS,Kg,9529,UCUM,1970-01-01,2099-12-31,
g/l,0,COVID19_EMIS_UNITS,g/l,8636,UCUM,1970-01-01,2099-12-31,
mu/L,0,COVID19_EMIS_UNITS,mu/L,44777578,UCUM,1970-01-01,2099-12-31,
10*9/L,0,COVID19_EMIS_UNITS,10*9/L,9444,UCUM,1970-01-01,2099-12-31,
x10^9/l,0,COVID19_EMIS_UNITS,x10^9/l,9444,UCUM,1970-01-01,2099-12-31,
umol/l,0,COVID19_EMIS_UNITS,umol/l,8749,UCUM,1970-01-01,2099-12-31,
ml/min/1.7,0,COVID19_EMIS_UNITS,ml/min/1.7,9117,UCUM,1970-01-01,2099-12-31,
/4,0,COVID19_EMIS_UNITS,/4,4107051,SNOMED,1970-01-01,2099-12-31,
mm Hg,0,COVID19_EMIS_UNITS,mm Hg,8876,UCUM,1970-01-01,2099-12-31,
mU/L,0,COVID19_EMIS_UNITS,mU/L,44777578,UCUM,1970-01-01,2099-12-31,
,0,COVID19_EMIS_UNITS,,0,None,1970-01-01,2099-12-31,
units/week,0,COVID19_EMIS_UNITS,units/week,44777559,UCUM,1970-01-01,2099-12-31,
L/L,0,COVID19_EMIS_UNITS,L/L,44777604,UCUM,1970-01-01,2099-12-31,
kg/m2,0,COVID19_EMIS_UNITS,kg/m2,9531,UCUM,1970-01-01,2099-12-31,
-9999999,0,COVID19_EMIS_UNITS,-9999999,0,None,1970-01-01,2099-12-31,
IU/L,0,COVID19_EMIS_UNITS,IU/L,8923,UCUM,1970-01-01,2099-12-31,
x 10*9/L,0,COVID19_EMIS_UNITS,x 10*9/L,9444,UCUM,1970-01-01,2099-12-31,
ng/mL,0,COVID19_EMIS_UNITS,ng/mL,8842,UCUM,1970-01-01,2099-12-31,
-9000099,0,COVID19_EMIS_UNITS,-9000099,0,None,1970-01-01,2099-12-31,
pmol/L,0,COVID19_EMIS_UNITS,pmol/L,8729,UCUM,1970-01-01,2099-12-31,
ug/L,0,COVID19_EMIS_UNITS,ug/L,8748,UCUM,1970-01-01,2099-12-31,
-9000004,0,COVID19_EMIS_UNITS,-9000004,0,None,1970-01-01,2099-12-31,
kg,0,COVID19_EMIS_UNITS,kg,9529,UCUM,1970-01-01,2099-12-31,
mmol/L,0,COVID19_EMIS_UNITS,mmol/L,8753,UCUM,1970-01-01,2099-12-31,
IU,0,COVID19_EMIS_UNITS,IU,8718,UCUM,1970-01-01,2099-12-31,
10 9/L,0,COVID19_EMIS_UNITS,10 9/L,9444,UCUM,1970-01-01,2099-12-31,
pg/mL,0,COVID19_EMIS_UNITS,pg/mL,8845,UCUM,1970-01-01,2099-12-31,
1/1,0,COVID19_EMIS_UNITS,1/1,4126533,SNOMED,1970-01-01,2099-12-31,
beats/min,0,COVID19_EMIS_UNITS,beats/min,8483,UCUM,1970-01-01,2099-12-31,
