source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
21,0,COVID_SPECTYPE,csf,4124259,SNOMED,1970-01-01,2099-12-31,
11,0,COVID_SPECTYPE,npa,4122259,SNOMED,1970-01-01,2099-12-31,
1,0,COVID_SPECTYPE,nasal,4057744,SNOMED,1970-01-01,2099-12-31,
35,0,COVID_SPECTYPE,saliva,4001062,SNOMED,1970-01-01,2099-12-31,
23,0,COVID_SPECTYPE,rectum,40487491,SNOMED,1970-01-01,2099-12-31,
13,0,COVID_SPECTYPE,skin-swab-nos,4122261,SNOMED,1970-01-01,2099-12-31,
2,0,COVID_SPECTYPE,nose and throat,762932,SNOMED,1970-01-01,2099-12-31,
0,0,COVID_SPECTYPE,Null data,4080894,SNOMED,1970-01-01,2099-12-31,
31,0,COVID_SPECTYPE,nasopharyngeal swab,4122259,SNOMED,1970-01-01,2099-12-31,
30,0,COVID_SPECTYPE,eye,40482447,SNOMED,1970-01-01,2099-12-31,
12,0,COVID_SPECTYPE,pharyngeal,43021097,SNOMED,1970-01-01,2099-12-31,
3,0,COVID_SPECTYPE,serum,4001181,SNOMED,1970-01-01,2099-12-31,
5,0,COVID_SPECTYPE,upper respiratory tract,4119537,SNOMED,1970-01-01,2099-12-31,
10,0,COVID_SPECTYPE,nose,40491357,SNOMED,1970-01-01,2099-12-31,
33,0,COVID_SPECTYPE,fluid - nos,4057744,SNOMED,1970-01-01,2099-12-31,
4,0,COVID_SPECTYPE,swab - nos,40482924,SNOMED,1970-01-01,2099-12-31,
34,0,COVID_SPECTYPE,upper genital tract,4001063,SNOMED,1970-01-01,2099-12-31,
25,0,COVID_SPECTYPE,endotracheal secretions,4001055,SNOMED,1970-01-01,2099-12-31,
22,0,COVID_SPECTYPE,lower respiratory tract,4119538,SNOMED,1970-01-01,2099-12-31,
16,0,COVID_SPECTYPE,tissue,4002890,SNOMED,1970-01-01,2099-12-31,
29,0,COVID_SPECTYPE,nose-throat-perineum,762932,SNOMED,1970-01-01,2099-12-31,
29,0,COVID_SPECTYPE,nose-throat-perineum,4119517,SNOMED,1970-01-01,2099-12-31,
20,0,COVID_SPECTYPE,bal,4121345,SNOMED,1970-01-01,2099-12-31,
19,0,COVID_SPECTYPE,unknown,4002873,SNOMED,1970-01-01,2099-12-31,
6,0,COVID_SPECTYPE,bronchial,4120334,SNOMED,1970-01-01,2099-12-31,
7,0,COVID_SPECTYPE,endotracheal aspirate,4001055,SNOMED,1970-01-01,2099-12-31,
24,0,COVID_SPECTYPE,alveolar lavage,4121345,SNOMED,1970-01-01,2099-12-31,
8,0,COVID_SPECTYPE,mouth,4168673,SNOMED,1970-01-01,2099-12-31,
32,0,COVID_SPECTYPE,pericardial fluid,4048848,SNOMED,1970-01-01,2099-12-31,
9,0,COVID_SPECTYPE,nasopharyngeal aspirate,4121219,SNOMED,1970-01-01,2099-12-31,
28,0,COVID_SPECTYPE,blood,4001225,SNOMED,1970-01-01,2099-12-31,
26,0,COVID_SPECTYPE,skin/wound,4002221,SNOMED,1970-01-01,2099-12-31,
15,0,COVID_SPECTYPE,throat,4119519,SNOMED,1970-01-01,2099-12-31,
37,0,COVID_SPECTYPE,tracheal aspirate,40483760,SNOMED,1970-01-01,2099-12-31,
18,0,COVID_SPECTYPE,unassigned specimen,4002873,SNOMED,1970-01-01,2099-12-31,
14,0,COVID_SPECTYPE,sputum,4002876,SNOMED,1970-01-01,2099-12-31,
27,0,COVID_SPECTYPE,ascitic fluid,4206413,SNOMED,1970-01-01,2099-12-31,
17,0,COVID_SPECTYPE,trachea,4002894,SNOMED,1970-01-01,2099-12-31,
36,0,COVID_SPECTYPE,wound (surgical),42535872,SNOMED,1970-01-01,2099-12-31,
38,0,COVID_SPECTYPE,endotracheal tube,4001055,SNOMED,1970-01-01,2099-12-31,
