source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
HNG0600,0,GP_CLINICAL_COVID,[RFC] Cancer,3049362,LOINC,1970-01-01,2099-12-31,
OLTR-CHRM,0,GP_CLINICAL_COVID,Test Request : Chromium,4216165,SNOMED,1970-01-01,2099-12-31,
EMISPR2,0,GP_CLINICAL_COVID,Predicted peak flow,4089618,SNOMED,1970-01-01,2099-12-31,
OLTR-IMMDEF,0,GP_CLINICAL_COVID,Test Request : Lymphocyte Subsets,37398167,SNOMED,1970-01-01,2099-12-31,
OLTR-Fx5,0,GP_CLINICAL_COVID,Test Request : Food Screen (Fx5) - Esp. Children,4216165,SNOMED,1970-01-01,2099-12-31,
OLTR-U-MYE,0,GP_CLINICAL_COVID,Test Request : Urea & electrolytes profile,4091295,SNOMED,1970-01-01,2099-12-31,
ALLERGY89233NEMIS,0,GP_CLINICAL_COVID,Adverse reaction to Mirvaso,441207,SNOMED,1970-01-01,2099-12-31,
EMISNQMI217,0,GP_CLINICAL_COVID,Minor injuries unit claim - Major (tariff 4),4099780,SNOMED,1970-01-01,2099-12-31,
HNG0601,0,GP_CLINICAL_COVID,[RFC] Coronary heart disease,317576,SNOMED,1970-01-01,2099-12-31,
OLTR-44C6.,0,GP_CLINICAL_COVID,Test Request : Serum A1 - antitrypsin,37398415,SNOMED,1970-01-01,2099-12-31,
EMISQ2W1,0,GP_CLINICAL_COVID,2 week rule referral,4015297,SNOMED,1970-01-01,2099-12-31,
OLTR-CHRO,0,GP_CLINICAL_COVID,Test Request : Blood Chromium,4188815,SNOMED,1970-01-01,2099-12-31,
OLTR-IMMO,0,GP_CLINICAL_COVID,Test Request : Immunoglobulins,37399051,SNOMED,1970-01-01,2099-12-31,
OLTR-G,0,GP_CLINICAL_COVID,Test Request : Glucose,4216165,SNOMED,1970-01-01,2099-12-31,
EMISNQIA4,0,GP_CLINICAL_COVID,IAPT programme phobia scale Q3 (specific phobia) score,44793035,SNOMED,1970-01-01,2099-12-31,
HNG0602,0,GP_CLINICAL_COVID,[RFC] Stroke,3049362,LOINC,1970-01-01,2099-12-31,
EMISNQRE529,0,GP_CLINICAL_COVID,Referral to extensivist service declined,44813947,SNOMED,1970-01-01,2099-12-31,
OLTR-CHROM,0,GP_CLINICAL_COVID,Test Request : Chromium,4216165,SNOMED,1970-01-01,2099-12-31,
OLTR-U02,0,GP_CLINICAL_COVID,Test Request : Urethral Swab,4120346,SNOMED,1970-01-01,2099-12-31,
ALLERGY3464,0,GP_CLINICAL_COVID,Adverse reaction to Phenoxymethylpenicillin Potassium,4099131,SNOMED,1970-01-01,2099-12-31,
ALLERGY89257NEMIS,0,GP_CLINICAL_COVID,Adverse reaction to Xailin,4329330,SNOMED,1970-01-01,2099-12-31,
EMISQ2W10,0,GP_CLINICAL_COVID,2 week rule referral - skin,4014706,SNOMED,1970-01-01,2099-12-31,
OLTR-IMMU,0,GP_CLINICAL_COVID,"Test Request : Immunoglobulins (IgG, IgA, IgM)",0,None,1970-01-01,2099-12-31,
HNG0603,0,GP_CLINICAL_COVID,[RFC] Multiple sclerosis,45883445,LOINC,1970-01-01,2099-12-31,
OLTR-G*,0,GP_CLINICAL_COVID,"Test Request : Glucose level, blood",37399654,SNOMED,1970-01-01,2099-12-31,
OLTR-44C8.,0,GP_CLINICAL_COVID,Test Request : Serum A1 - acid glycoprotein,37398417,SNOMED,1970-01-01,2099-12-31,
OLTR-CHRU,0,GP_CLINICAL_COVID,Test Request : Chromium (Urine),4216165,SNOMED,1970-01-01,2099-12-31,
EMISNQID2,0,GP_CLINICAL_COVID,Idiopathic polypoidal choroidal vasculopathy,4208224,SNOMED,1970-01-01,2099-12-31,
OLTR-U1,0,GP_CLINICAL_COVID,Test Request : MSU / CSU / Clean catch - C&S,4216165,SNOMED,1970-01-01,2099-12-31,
HNG0604,0,GP_CLINICAL_COVID,[RFC] Motor neurone disease,374631,SNOMED,1970-01-01,2099-12-31,
ALLERGY3465,0,GP_CLINICAL_COVID,Adverse reaction to Phensedyl,4164240,SNOMED,1970-01-01,2099-12-31,
EMISQ2W11,0,GP_CLINICAL_COVID,2 week rule referral - upper GI,4014706,SNOMED,1970-01-01,2099-12-31,
OLTR-44CA.,0,GP_CLINICAL_COVID,Test Request : Serum haptoglobin,37398418,SNOMED,1970-01-01,2099-12-31,
OLTR-G0,0,GP_CLINICAL_COVID,Test Request : FASTING GLUCOSE,4216165,SNOMED,1970-01-01,2099-12-31,
EMISNQMI218,0,GP_CLINICAL_COVID,Minor injury >48 hours ago - enhanced services administration,44788288,SNOMED,1970-01-01,2099-12-31,
ALLERGY895,0,GP_CLINICAL_COVID,Adverse reaction to Isoniazid,4099274,SNOMED,1970-01-01,2099-12-31,
OLTR-IMP,0,GP_CLINICAL_COVID,Test Request : Erectile Dysfunction/Impotence,4216771,SNOMED,1970-01-01,2099-12-31,
OLTR-CHS,0,GP_CLINICAL_COVID,Test Request : Chlamydia Respiratory,45877278,LOINC,1970-01-01,2099-12-31,
EMISNQRE53,0,GP_CLINICAL_COVID,Referral to pharmacist for medicines use review,4127774,SNOMED,1970-01-01,2099-12-31,
HNG0605,0,GP_CLINICAL_COVID,[RFC] Diabetes mellitus,45876545,LOINC,1970-01-01,2099-12-31,
OLTR-U2,0,GP_CLINICAL_COVID,Test Request : Urine for Microbiology,45756800,ABMS,1970-01-01,2099-12-31,
HNG0606,0,GP_CLINICAL_COVID,[RFC] Asthma,3049362,LOINC,1970-01-01,2099-12-31,
EMISQ2W12,0,GP_CLINICAL_COVID,2 week rule referral - gynaecology,4125991,SNOMED,1970-01-01,2099-12-31,
OLTR-44CB.,0,GP_CLINICAL_COVID,Test Request : Serum transferrin,37398419,SNOMED,1970-01-01,2099-12-31,
OLTR-G0100,0,GP_CLINICAL_COVID,Test Request : Cervical Smear,4234541,SNOMED,1970-01-01,2099-12-31,
EMISNQID5,0,GP_CLINICAL_COVID,Identification of personal goals,46284384,SNOMED,1970-01-01,2099-12-31,
ALLERGY3467,0,GP_CLINICAL_COVID,Adverse reaction to Phenytoin,4097491,SNOMED,1970-01-01,2099-12-31,
HNG0608,0,GP_CLINICAL_COVID,[RFC] Pressure sore,3049362,LOINC,1970-01-01,2099-12-31,
ALLERGY9,0,GP_CLINICAL_COVID,Adverse reaction to Nutrition And Blood,4329183,SNOMED,1970-01-01,2099-12-31,
OLTR-IMS,0,GP_CLINICAL_COVID,Test Request : Infectious Mononucleosis,437784,SNOMED,1970-01-01,2099-12-31,
OLTR-U5H,0,GP_CLINICAL_COVID,Test Request : 5-HIAA (24-hr Excretion),4216165,SNOMED,1970-01-01,2099-12-31,
EMISNQIG10,0,GP_CLINICAL_COVID,IGRA test offered,36685903,SNOMED,1970-01-01,2099-12-31,
OLTR-CHT,0,GP_CLINICAL_COVID,Test Request : .Chlamydia PCR (Genital sample),4133775,SNOMED,1970-01-01,2099-12-31,
EMISQ2W13,0,GP_CLINICAL_COVID,2 week rule referral - breast,4014706,SNOMED,1970-01-01,2099-12-31,
