source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
MEA000,0,GP_CLIN_UNITS,,0,None,1970-01-01,2099-12-31,
MEA001,0,GP_CLIN_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
MEA016,0,GP_CLIN_UNITS,/hour,44777557,UCUM,1970-01-01,2099-12-31,
MEA021,0,GP_CLIN_UNITS,/mL,9257,UCUM,1970-01-01,2099-12-31,
MEA026,0,GP_CLIN_UNITS,l,8519,UCUM,1970-01-01,2099-12-31,
MEA031,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
MEA035,0,GP_CLIN_UNITS,10^6/L,9442,UCUM,1970-01-01,2099-12-31,
MEA037,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
MEA038,0,GP_CLIN_UNITS,10^9/mL,9445,UCUM,1970-01-01,2099-12-31,
MEA047,0,GP_CLIN_UNITS,fL,8583,UCUM,1970-01-01,2099-12-31,
MEA056,0,GP_CLIN_UNITS,g/dL,8713,UCUM,1970-01-01,2099-12-31,
MEA057,0,GP_CLIN_UNITS,g/L,8636,UCUM,1970-01-01,2099-12-31,
MEA058,0,GP_CLIN_UNITS,h,8505,UCUM,1970-01-01,2099-12-31,
MEA061,0,GP_CLIN_UNITS,IU/L,8923,UCUM,1970-01-01,2099-12-31,
MEA062,0,GP_CLIN_UNITS,IU/mL,8985,UCUM,1970-01-01,2099-12-31,
MEA071,0,GP_CLIN_UNITS,L/min,8698,UCUM,1970-01-01,2099-12-31,
MEA080,0,GP_CLIN_UNITS,mg,8576,UCUM,1970-01-01,2099-12-31,
MEA082,0,GP_CLIN_UNITS,mg/dL,8840,UCUM,1970-01-01,2099-12-31,
MEA083,0,GP_CLIN_UNITS,mg/L,8751,UCUM,1970-01-01,2099-12-31,
MEA086,0,GP_CLIN_UNITS,mg/mmol,44777612,UCUM,1970-01-01,2099-12-31,
MEA090,0,GP_CLIN_UNITS,mL/min,8795,UCUM,1970-01-01,2099-12-31,
MEA093,0,GP_CLIN_UNITS,mm(Hg),8876,UCUM,1970-01-01,2099-12-31,
MEA095,0,GP_CLIN_UNITS,mmol/d,0,None,1970-01-01,2099-12-31,
MEA096,0,GP_CLIN_UNITS,mmol/L,8753,UCUM,1970-01-01,2099-12-31,
MEA097,0,GP_CLIN_UNITS,mmol/mol,9579,UCUM,1970-01-01,2099-12-31,
MEA099,0,GP_CLIN_UNITS,mol/L,9586,UCUM,1970-01-01,2099-12-31,
MEA104,0,GP_CLIN_UNITS,ng,9600,UCUM,1970-01-01,2099-12-31,
MEA106,0,GP_CLIN_UNITS,ng/mL,8842,UCUM,1970-01-01,2099-12-31,
MEA110,0,GP_CLIN_UNITS,nmol/L,8736,UCUM,1970-01-01,2099-12-31,
MEA114,0,GP_CLIN_UNITS,pg,8564,UCUM,1970-01-01,2099-12-31,
MEA116,0,GP_CLIN_UNITS,pg/dL,8820,UCUM,1970-01-01,2099-12-31,
MEA124,0,GP_CLIN_UNITS,s,8555,UCUM,1970-01-01,2099-12-31,
MEA127,0,GP_CLIN_UNITS,U/L,8645,UCUM,1970-01-01,2099-12-31,
MEA142,0,GP_CLIN_UNITS,umol/L,8749,UCUM,1970-01-01,2099-12-31,
MEA151,0,GP_CLIN_UNITS,ratio,8523,UCUM,1970-01-01,2099-12-31,
MEA153,0,GP_CLIN_UNITS,10^9,44777660,UCUM,1970-01-01,2099-12-31,
MEA154,0,GP_CLIN_UNITS,L,8519,UCUM,1970-01-01,2099-12-31,
MEA156,0,GP_CLIN_UNITS,mmol,9573,UCUM,1970-01-01,2099-12-31,
MEA161,0,GP_CLIN_UNITS,1/1,44777604,UCUM,1970-01-01,2099-12-31,
MEA169,0,GP_CLIN_UNITS,mIU/L,9040,UCUM,1970-01-01,2099-12-31,
MEA178,0,GP_CLIN_UNITS,ug/mL,8859,UCUM,1970-01-01,2099-12-31,
MEA183,0,GP_CLIN_UNITS,10^-2,37115799,SNOMED,1970-01-01,2099-12-31,
MEA184,0,GP_CLIN_UNITS,10^-3,37115792,SNOMED,1970-01-01,2099-12-31,
MEA185,0,GP_CLIN_UNITS,L/L,44777604,UCUM,1970-01-01,2099-12-31,
MEA187,0,GP_CLIN_UNITS,nmol/g,9609,UCUM,1970-01-01,2099-12-31,
MEA194,0,GP_CLIN_UNITS,titre,8525,UCUM,1970-01-01,2099-12-31,
MEA205,0,GP_CLIN_UNITS,nmol/gHb/h,0,None,1970-01-01,2099-12-31,
MEA210,0,GP_CLIN_UNITS,#G ( )/L,8636,UCUM,1970-01-01,2099-12-31,
MEA215,0,GP_CLIN_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
MEA252,0,GP_CLIN_UNITS,mmol/g(dry wt),44777617,UCUM,1970-01-01,2099-12-31,
x10^9/l,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
10^9/L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
x10^9/L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
10^9/l,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
10 ^9/L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
x10^9 /L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
x10-9/l,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
10*9/L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
x10 ^9/L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
x10 9/L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
X10 9/L,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
*10^9/l,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
10 ^9/l,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
10*9/l,0,GP_CLIN_UNITS,10^9/L,9444,UCUM,1970-01-01,2099-12-31,
x10^12/l,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
10^12/L,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
x10^12/L,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
10 ^12/L,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
10^12/l,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
x10-12/l,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
10*12/L,0,GP_CLIN_UNITS,10^12/L,8734,UCUM,1970-01-01,2099-12-31,
fl,0,GP_CLIN_UNITS,fL,8583,UCUM,1970-01-01,2099-12-31,
g/l,0,GP_CLIN_UNITS,g/L,8636,UCUM,1970-01-01,2099-12-31,
g/L,0,GP_CLIN_UNITS,g/L,8636,UCUM,1970-01-01,2099-12-31,
mmHG,0,GP_CLIN_UNITS,mmHg,8876,UCUM,1970-01-01,2099-12-31,
mm/Hg,0,GP_CLIN_UNITS,mmHg,8876,UCUM,1970-01-01,2099-12-31,
mm Hg,0,GP_CLIN_UNITS,mmHg,8876,UCUM,1970-01-01,2099-12-31,
mg/l,0,GP_CLIN_UNITS,mg/L,8751,UCUM,1970-01-01,2099-12-31,
g/dl,0,GP_CLIN_UNITS,g/dL,8713,UCUM,1970-01-01,2099-12-31,
l,0,GP_CLIN_UNITS,L,8519,UCUM,1970-01-01,2099-12-31,
litre,0,GP_CLIN_UNITS, L,8519,UCUM,1970-01-01,2099-12-31,
litres,0,GP_CLIN_UNITS,L,8519,UCUM,1970-01-01,2099-12-31,
Litres,0,GP_CLIN_UNITS,L,8519,UCUM,1970-01-01,2099-12-31,
mmol/l,0,GP_CLIN_UNITS,mmol/L,8753,UCUM,1970-01-01,2099-12-31,
mmol/L,0,GP_CLIN_UNITS,mmol/L,8753,UCUM,1970-01-01,2099-12-31,
mmol/mol,0,GP_CLIN_UNITS,Hbmmol/mol,8753,UCUM,1970-01-01,2099-12-31,
MMOL/L,0,GP_CLIN_UNITS,mmol/L,8753,UCUM,1970-01-01,2099-12-31,
umol/L,0,GP_CLIN_UNITS,umol/L,8749,UCUM,1970-01-01,2099-12-31,
umol/l,0,GP_CLIN_UNITS,umol/L,8749,UCUM,1970-01-01,2099-12-31,
Mmol/mol,0,GP_CLIN_UNITS,mmol/L,8753,UCUM,1970-01-01,2099-12-31,
nmol/l,0,GP_CLIN_UNITS,nmol/L,8736,UCUM,1970-01-01,2099-12-31,
%Hb,0,GP_CLIN_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
per cent,0,GP_CLIN_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
%,0,GP_CLIN_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
Ratio,0,GP_CLIN_UNITS,ratio,8523,UCUM,1970-01-01,2099-12-31,
% total Hb,0,GP_CLIN_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
%total Hb,0,GP_CLIN_UNITS,%,8554,UCUM,1970-01-01,2099-12-31,
µmol/L,0,GP_CLIN_UNITS,umol/L,8749,UCUM,1970-01-01,2099-12-31,
u/l,0,GP_CLIN_UNITS,U/L,8645,UCUM,1970-01-01,2099-12-31,
U/L,0,GP_CLIN_UNITS,U/L,8645,UCUM,1970-01-01,2099-12-31,
IU/L,0,GP_CLIN_UNITS,U/L,8645,UCUM,1970-01-01,2099-12-31,
iu/l,0,GP_CLIN_UNITS,U/L,8645,UCUM,1970-01-01,2099-12-31,
No UOM assigned,0,GP_CLIN_UNITS,,0,None,1970-01-01,2099-12-31,
Unknown,0,GP_CLIN_UNITS,,4129922,SNOMED,1970-01-01,2099-12-31,
mm/hr,0,GP_CLIN_UNITS,millimeter per hour,8752,UCUM,1970-01-01,2099-12-31,
pg,0,GP_CLIN_UNITS,pg,8564,UCUM,1970-01-01,2099-12-31,
