source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
ISSA1527,0,gp_emis_script,Ispaghula Husk Sachets 3.5 g/sachet,21041796,RxNorm Extension,1970-01-01,2099-12-31,
FYSA1270,0,gp_emis_script,Fybogel Granules 3.5 grams/sachet,40754470,RxNorm Extension,1970-01-01,2099-12-31,
DOGE6701NEMIS,0,gp_emis_script,Doublebase Gel (Pump Dispenser),40751616,RxNorm Extension,1970-01-01,2099-12-31,
SHCO24024NEMIS,0,gp_emis_script,Sharpsafe Container 1 litre,0,None,1970-01-01,2099-12-31,
VIEY51060NEMIS,0,gp_emis_script,Vita-Pos Eye ointment (preservative-free),0,None,1970-01-01,2099-12-31,
PACA12515NEMIS,0,gp_emis_script,Paracetamol Caplets 500 mg,19020053,RxNorm,1970-01-01,2099-12-31,
GALI1279,0,gp_emis_script,Gaviscon Liquid,0,None,1970-01-01,2099-12-31,
LIGE19506NEMIS,0,gp_emis_script,Liquid Paraffin And Isopropyl Myristate Gel (Pump Dispenser) 15 % + 15 %,36812911,RxNorm Extension,1970-01-01,2099-12-31,
ISSA18818EMIS,0,gp_emis_script,Ispaghula Husk Sachets (orange) 3.5 g/sachet,21041796,RxNorm Extension,1970-01-01,2099-12-31,
SAAE6755,0,gp_emis_script,Salbutamol Aerosol inhalation 100 micrograms/metered inhalation,43194379,RxNorm Extension,1970-01-01,2099-12-31,
CECR13101NEMIS,0,gp_emis_script,Cetraben Emollient Cream,0,None,1970-01-01,2099-12-31,
COCA27287EMIS,0,gp_emis_script,Co-Codamol 30/500 Caplets,21094012,RxNorm Extension,1970-01-01,2099-12-31,
GLSP1314,0,gp_emis_script,Glyceryl Trinitrate Spray 400 micrograms/dose,21162644,RxNorm Extension,1970-01-01,2099-12-31,
ERST3539,0,gp_emis_script,Erythromycin Tablets 250 mg,19122215,RxNorm,1970-01-01,2099-12-31,
ISEF12644NEMIS,0,gp_emis_script,Ispaghula Husk Sugar and Gluten Free Effervescent granules (orange) 3.5 grams/sachet,21041796,RxNorm Extension,1970-01-01,2099-12-31,
GAOR29999EMIS,0,gp_emis_script,Gaviscon Advance Oral suspension,40741203,RxNorm Extension,1970-01-01,2099-12-31,
VEIN3026,0,gp_emis_script,Ventolin Inhaler 100 micrograms/puff,36782800,RxNorm Extension,1970-01-01,2099-12-31,
AMTA9080EMIS,0,gp_emis_script,Amlodipine Besilate Tablets 10 mg,19073093,RxNorm,1970-01-01,2099-12-31,
FLAQ19556EMIS,0,gp_emis_script,Fluticasone Propionate Aqueous nasal spray 0.05 % (150 dose spray),41241993,RxNorm Extension,1970-01-01,2099-12-31,
AMTA10145BRIDL,0,gp_emis_script,Amlodipine Besilate Tablets 5 mg,1332419,RxNorm,1970-01-01,2099-12-31,
