source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
b211.00,0,GP_PRESCR_READ2,BENDROFLUMETHIAZIDE 2.5mg tablets,19073982,RxNorm,1970-01-01,2099-12-31,
a6b1.00,0,GP_PRESCR_READ2,OMEPRAZOLE 20mg e/c capsules,43769269,RxNorm Extension,1970-01-01,2099-12-31,
bxd5.00,0,GP_PRESCR_READ2,SIMVASTATIN 40mg tablets,1539407,RxNorm,1970-01-01,2099-12-31,
bu23.00,0,GP_PRESCR_READ2,ASPIRIN 75mg dispersible tablets,4227987,SNOMED,1970-01-01,2099-12-31,
bxd2.00,0,GP_PRESCR_READ2,SIMVASTATIN 20mg tablets,1539411,RxNorm,1970-01-01,2099-12-31,
fo4y.00,0,GP_PRESCR_READ2,ALENDRONIC ACID 70mg tablets,40173612,RxNorm,1970-01-01,2099-12-31,
da91.00,0,GP_PRESCR_READ2,CITALOPRAM 20mg tablets,19023636,RxNorm,1970-01-01,2099-12-31,
blc2.00,0,GP_PRESCR_READ2,FELODIPINE 10mg m/r tablets,41148653,RxNorm Extension,1970-01-01,2099-12-31,
blb2.00,0,GP_PRESCR_READ2,AMLODIPINE 10mg tablets,19073093,RxNorm,1970-01-01,2099-12-31,
f41y.00,0,GP_PRESCR_READ2,METFORMIN HYDROCHLORIDE 500mg tablets,40164929,RxNorm,1970-01-01,2099-12-31,
bi32.00,0,GP_PRESCR_READ2,LISINOPRIL 5mg tablets,1308251,RxNorm,1970-01-01,2099-12-31,
f923.00,0,GP_PRESCR_READ2,LEVOTHYROXINE SODIUM 100micrograms tablets,40169799,RxNorm,1970-01-01,2099-12-31,
di21.00,0,GP_PRESCR_READ2,PARACETAMOL 500mg tablets,41091617,RxNorm Extension,1970-01-01,2099-12-31,
bd35.00,0,GP_PRESCR_READ2,ATENOLOL 50mg tablets,1314008,RxNorm,1970-01-01,2099-12-31,
h341.00,0,GP_PRESCR_READ2,METHOTREXATE 2.5mg tablets,19007332,RxNorm,1970-01-01,2099-12-31,
d713.00,0,GP_PRESCR_READ2,AMITRIPTYLINE 50mg tablets,42931449,RxNorm Extension,1970-01-01,2099-12-31,
bd36.00,0,GP_PRESCR_READ2,ATENOLOL 100mg tablets,1314006,RxNorm,1970-01-01,2099-12-31,
d711.00,0,GP_PRESCR_READ2,AMITRIPTYLINE 10mg tablets,42931449,RxNorm Extension,1970-01-01,2099-12-31,
bxi3.00,0,GP_PRESCR_READ2,ATORVASTATIN 40mg tablets,1545996,RxNorm,1970-01-01,2099-12-31,
a6b7.00,0,GP_PRESCR_READ2,OMEPRAZOLE 10mg e/c capsules,43589291,RxNorm Extension,1970-01-01,2099-12-31,
j22e.00,0,GP_PRESCR_READ2,DICLOFENAC 50mg e/c tablets,41283972,RxNorm Extension,1970-01-01,2099-12-31,
blb1.00,0,GP_PRESCR_READ2,AMLODIPINE 5mg tablets,1332419,RxNorm,1970-01-01,2099-12-31,
dia6.00,0,GP_PRESCR_READ2,CO-DYDRAMOL tablets,44813394,SNOMED,1970-01-01,2099-12-31,
d712.00,0,GP_PRESCR_READ2,AMITRIPTYLINE 25mg tablets,41025245,RxNorm Extension,1970-01-01,2099-12-31,
dian.00,0,GP_PRESCR_READ2,PARACETAMOL+CODEINE PHOSPHATE 500mg/30mg tablets,40223099,RxNorm,1970-01-01,2099-12-31,
dibD.00,0,GP_PRESCR_READ2,PARACETAMOL+CODEINE PHOSPHATE 500mg/30mg capsules,40223203,RxNorm,1970-01-01,2099-12-31,
bxi1.00,0,GP_PRESCR_READ2,ATORVASTATIN 10mg tablets,1545997,RxNorm,1970-01-01,2099-12-31,
puhx.00,0,GP_PRESCR_READ2,AVIVA blood glucose testing strip,4222987,SNOMED,1970-01-01,2099-12-31,
