source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
24,0,HESIN_ADMIMETH_HES,Emergency: Consultant clinic of this or another health care provider (formerly \\Emergency: via outpatients\\ prior to Financial Year 2015/16),9203,Visit,1970-01-01,2099-12-31,
25,0,HESIN_ADMIMETH_HES,Admission via Mental Health Crisis Resolution Team (available from 2013/14. Prior to this date a value of 25 represented \\Emergency - domiciliary visit by consultant\\),9203,Visit,1970-01-01,2099-12-31,
2D,0,HESIN_ADMIMETH_HES,Emergency: other,9203,Visit,1970-01-01,2099-12-31,
21,0,HESIN_ADMIMETH_HES,Emergency: via A&E,9203,Visit,1970-01-01,2099-12-31,
23,0,HESIN_ADMIMETH_HES,Emergency: via Bed Bureau,9203,Visit,1970-01-01,2099-12-31,
2A,0,HESIN_ADMIMETH_HES,Emergency: via A&E of another hospital provider,9203,Visit,1970-01-01,2099-12-31,
22,0,HESIN_ADMIMETH_HES,Emergency: via GP,9203,Visit,1970-01-01,2099-12-31,
28,0,HESIN_ADMIMETH_HES,Emergency: other means,9203,Visit,1970-01-01,2099-12-31,
32,0,HESIN_ADMIMETH_HES,Maternity: baby delivered before admission,8650,CMS Place of Service,1970-01-01,2099-12-31,
13,0,HESIN_ADMIMETH_HES,Elective: planned,9201,Visit,1970-01-01,2099-12-31,
2B,0,HESIN_ADMIMETH_HES,Emergency: Transfer from another hospital provider,9203,Visit,1970-01-01,2099-12-31,
12,0,HESIN_ADMIMETH_HES,Elective: booked,9201,Visit,1970-01-01,2099-12-31,
81,0,HESIN_ADMIMETH_HES,Transfer from another hospital provider,9201,Visit,1970-01-01,2099-12-31,
89,0,HESIN_ADMIMETH_HES,From the admissions waiting list of a High Security Psychiatric Hospital,8971,CMS Place of Service,1970-01-01,2099-12-31,
11,0,HESIN_ADMIMETH_HES,Elective: from waiting list,9201,Visit,1970-01-01,2099-12-31,
2C,0,HESIN_ADMIMETH_HES,Other: babies born at home,581476,Visit,1970-01-01,2099-12-31,
31,0,HESIN_ADMIMETH_HES,Maternity: baby delivered after admission,8650,CMS Place of Service,1970-01-01,2099-12-31,
