source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
11,0,HESIN_ADMIMETH_PEDW,Elective: Waiting list,9201,Visit,1970-01-01,2099-12-31,
12,0,HESIN_ADMIMETH_PEDW,Elective: Booked,9201,Visit,1970-01-01,2099-12-31,
14,0,HESIN_ADMIMETH_PEDW,Elective: Activity under the Welsh Assembly Government 2nd Offer Scheme (Originating Provider),9201,Visit,1970-01-01,2099-12-31,
15,0,HESIN_ADMIMETH_PEDW,Elective: Activity under the Welsh Assembly Government 2nd Offer Scheme (Receiving Provider),9201,Visit,1970-01-01,2099-12-31,
13,0,HESIN_ADMIMETH_PEDW,Elective: Planned,9201,Visit,1970-01-01,2099-12-31,
25,0,HESIN_ADMIMETH_PEDW,Emergency: Domiciliary visit by Consultant,9203,Visit,1970-01-01,2099-12-31,
27,0,HESIN_ADMIMETH_PEDW,Emergency: Via NHS Direct Services,9203,Visit,1970-01-01,2099-12-31,
23,0,HESIN_ADMIMETH_PEDW,Emergency: Bed bureau,9203,Visit,1970-01-01,2099-12-31,
32,0,HESIN_ADMIMETH_PEDW,Maternity: Admitted post-partum,8650,CMS Place of Service,1970-01-01,2099-12-31,
29,0,HESIN_ADMIMETH_PEDW,Emergency: Other,9203,Visit,1970-01-01,2099-12-31,
21,0,HESIN_ADMIMETH_PEDW,Emergency: A & E or dental casualty department of the health care provider,9203,Visit,1970-01-01,2099-12-31,
24,0,HESIN_ADMIMETH_PEDW,Emergency: Consultant clinic of this or another health care provider,9203,Visit,1970-01-01,2099-12-31,
28,0,HESIN_ADMIMETH_PEDW,"Emergency: Other means,including admitted from the A & E department of another provider where they had not been admitted",9203,Visit,1970-01-01,2099-12-31,
81,0,HESIN_ADMIMETH_PEDW,Transfer of any admitted patient from other hospital provider. May be used for an elective or emergency transfer from other hospital provider.,9201,Visit,1970-01-01,2099-12-31,
31,0,HESIN_ADMIMETH_PEDW,Maternity: Admitted ante-partum,8650,CMS Place of Service,1970-01-01,2099-12-31,
22,0,HESIN_ADMIMETH_PEDW,"Emergency: GP,after a request for immediate admission has been made direct to a hospital provider (i.e. not through a Bed Bureau) by a General Practitioner or deputy",9203,Visit,1970-01-01,2099-12-31,
