source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
5,0,HESIN_ADMIMETH_SMR,Emergency - Road Traffic Accident,9203,Visit,1970-01-01,2099-12-31,
10,0,HESIN_ADMIMETH_SMR,"Routine Admission,no additional detail added",9201,Visit,1970-01-01,2099-12-31,
36,0,HESIN_ADMIMETH_SMR,"Patient Non-Injury (e.g. stroke,MI,Ruptured Appendix)",9203,Visit,1970-01-01,2099-12-31,
22,0,HESIN_ADMIMETH_SMR,"Hospital delay (for administrative or clinical reasons e.g. arranging appropriate facilities,for test to be carried out,specialist equipment,etc.)",9201,Visit,1970-01-01,2099-12-31,
38,0,HESIN_ADMIMETH_SMR,Other Emergency Admission (including emergency transfers),9203,Visit,1970-01-01,2099-12-31,
6,0,HESIN_ADMIMETH_SMR,Emergency - Home Accident (includes Accidental Poisoning in the home),9203,Visit,1970-01-01,2099-12-31,
11,0,HESIN_ADMIMETH_SMR,"Routine elective (i.e. from waiting list as planned,excludes planned transfers)",9201,Visit,1970-01-01,2099-12-31,
30,0,HESIN_ADMIMETH_SMR,"Emergency Admission,no additional detail added",9203,Visit,1970-01-01,2099-12-31,
3,0,HESIN_ADMIMETH_SMR,Transfer,9201,Visit,1970-01-01,2099-12-31,
1,0,HESIN_ADMIMETH_SMR,Waiting List/Diary/Booked,9201,Visit,1970-01-01,2099-12-31,
39,0,HESIN_ADMIMETH_SMR,"Emergency Admission,type not known",9203,Visit,1970-01-01,2099-12-31,
12,0,HESIN_ADMIMETH_SMR,"Patient admitted on same day or following day as Attendance at Outpatients,not for medical reasons,but because suitable resources are available",9201,Visit,1970-01-01,2099-12-31,
32,0,HESIN_ADMIMETH_SMR,Patient Injury - Road Traffic Accident (RTA),9203,Visit,1970-01-01,2099-12-31,
4,0,HESIN_ADMIMETH_SMR,Emergency - Deliberate Self Injury or Poisoning,9203,Visit,1970-01-01,2099-12-31,
2,0,HESIN_ADMIMETH_SMR,Repeat Admissions,9201,Visit,1970-01-01,2099-12-31,
34,0,HESIN_ADMIMETH_SMR,Patient Injury - Accident at Work,9203,Visit,1970-01-01,2099-12-31,
7,0,HESIN_ADMIMETH_SMR,Emergency - Other Injury (includes Accidental Poisoning other than in the home),9203,Visit,1970-01-01,2099-12-31,
33,0,HESIN_ADMIMETH_SMR,Patient Injury - Home Accident (including Accidental Poisoning in the home),9203,Visit,1970-01-01,2099-12-31,
20,0,HESIN_ADMIMETH_SMR,"Urgent Admission,no additional detail added",9203,Visit,1970-01-01,2099-12-31,
0,0,HESIN_ADMIMETH_SMR,Deferred Admission,9201,Visit,1970-01-01,2099-12-31,
35,0,HESIN_ADMIMETH_SMR,Patient Injury - Other Injury (including Accidental Poisoning other than in the home) - not elsewhere classified,9203,Visit,1970-01-01,2099-12-31,
8,0,HESIN_ADMIMETH_SMR,Emergency - Other (excludes Accidental Poisoning),9203,Visit,1970-01-01,2099-12-31,
31,0,HESIN_ADMIMETH_SMR,Patient Injury - Self Inflicted (Injury or Poisoning),9203,Visit,1970-01-01,2099-12-31,
21,0,HESIN_ADMIMETH_SMR,"Patient delay (for domestic,legal or other practical reasons)",9201,Visit,1970-01-01,2099-12-31,
42,0,HESIN_ADMIMETH_SMR,Maternity Admission (Record Type 02 only),8650,CMS Place of Service,1970-01-01,2099-12-31,
18,0,HESIN_ADMIMETH_SMR,Planned transfers,9201,Visit,1970-01-01,2099-12-31,
43,0,HESIN_ADMIMETH_SMR,Neonatal Admission (Record Type 11 only),8650,CMS Place of Service,1970-01-01,2099-12-31,
19,0,HESIN_ADMIMETH_SMR,"Routine Admission,type not known",9201,Visit,1970-01-01,2099-12-31,
41,0,HESIN_ADMIMETH_SMR,Home Birth (Record Type 02 only),581476,Visit,1970-01-01,2099-12-31,
