source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
98,0,HESIN_ADMIMETH,Not Applicable,9201,Visit,1970-01-01,2099-12-31,
11,0,HESIN_ADMIMETH,Elective: Waiting list,9201,Visit,1970-01-01,2099-12-31,
5,0,HESIN_ADMIMETH,Emergency - Road Traffic Accident,9203,Visit,1970-01-01,2099-12-31,
10,0,HESIN_ADMIMETH,"Routine Admission,no additional detail added",9201,Visit,1970-01-01,2099-12-31,
36,0,HESIN_ADMIMETH,"Patient Non-Injury (e.g. stroke,MI,Ruptured Appendix)",9203,Visit,1970-01-01,2099-12-31,
24,0,HESIN_ADMIMETH,Emergency: Consultant clinic of this or another health care provider (formerly \\Emergency: via outpatients\\ prior to Financial Year 2015/16),9203,Visit,1970-01-01,2099-12-31,
25,0,HESIN_ADMIMETH,Admission via Mental Health Crisis Resolution Team (available from 2013/14. Prior to this date a value of 25 represented \\Emergency - domiciliary visit by consultant\\),9203,Visit,1970-01-01,2099-12-31,
22,0,HESIN_ADMIMETH,"Hospital delay (for administrative or clinical reasons e.g. arranging appropriate facilities,for test to be carried out,specialist equipment,etc.)",9201,Visit,1970-01-01,2099-12-31,
99,0,HESIN_ADMIMETH,Not Known,9201,Visit,1970-01-01,2099-12-31,
12,0,HESIN_ADMIMETH,Elective: Booked,9201,Visit,1970-01-01,2099-12-31,
38,0,HESIN_ADMIMETH,Other Emergency Admission (including emergency transfers),9203,Visit,1970-01-01,2099-12-31,
2D,0,HESIN_ADMIMETH,Emergency: other,9203,Visit,1970-01-01,2099-12-31,
6,0,HESIN_ADMIMETH,Emergency - Home Accident (includes Accidental Poisoning in the home),9203,Visit,1970-01-01,2099-12-31,
11,0,HESIN_ADMIMETH,"Routine elective (i.e. from waiting list as planned,excludes planned transfers)",9201,Visit,1970-01-01,2099-12-31,
84,0,HESIN_ADMIMETH,From the admission panel of a High Security Psychiatric Hospital,8971,CMS Place of Service,1970-01-01,2099-12-31,
30,0,HESIN_ADMIMETH,"Emergency Admission,no additional detail added",9203,Visit,1970-01-01,2099-12-31,
21,0,HESIN_ADMIMETH,Emergency: via A&E,9203,Visit,1970-01-01,2099-12-31,
3,0,HESIN_ADMIMETH,Transfer,9201,Visit,1970-01-01,2099-12-31,
1,0,HESIN_ADMIMETH,Waiting List/Diary/Booked,9201,Visit,1970-01-01,2099-12-31,
39,0,HESIN_ADMIMETH,"Emergency Admission,type not known",9203,Visit,1970-01-01,2099-12-31,
14,0,HESIN_ADMIMETH,Elective: Activity under the Welsh Assembly Government 2nd Offer Scheme (Originating Provider),9201,Visit,1970-01-01,2099-12-31,
23,0,HESIN_ADMIMETH,Emergency: via Bed Bureau,9203,Visit,1970-01-01,2099-12-31,
12,0,HESIN_ADMIMETH,"Patient admitted on same day or following day as Attendance at Outpatients,not for medical reasons,but because suitable resources are available",9201,Visit,1970-01-01,2099-12-31,
2A,0,HESIN_ADMIMETH,Emergency: via A&E of another hospital provider,9203,Visit,1970-01-01,2099-12-31,
32,0,HESIN_ADMIMETH,Patient Injury - Road Traffic Accident (RTA),9203,Visit,1970-01-01,2099-12-31,
4,0,HESIN_ADMIMETH,Emergency - Deliberate Self Injury or Poisoning,9203,Visit,1970-01-01,2099-12-31,
2,0,HESIN_ADMIMETH,Repeat Admissions,9201,Visit,1970-01-01,2099-12-31,
34,0,HESIN_ADMIMETH,Patient Injury - Accident at Work,9203,Visit,1970-01-01,2099-12-31,
22,0,HESIN_ADMIMETH,Emergency: via GP,9203,Visit,1970-01-01,2099-12-31,
15,0,HESIN_ADMIMETH,Elective: Activity under the Welsh Assembly Government 2nd Offer Scheme (Receiving Provider),9201,Visit,1970-01-01,2099-12-31,
7,0,HESIN_ADMIMETH,Emergency - Other Injury (includes Accidental Poisoning other than in the home),9203,Visit,1970-01-01,2099-12-31,
28,0,HESIN_ADMIMETH,Emergency: other means,9203,Visit,1970-01-01,2099-12-31,
33,0,HESIN_ADMIMETH,Patient Injury - Home Accident (including Accidental Poisoning in the home),9203,Visit,1970-01-01,2099-12-31,
20,0,HESIN_ADMIMETH,"Urgent Admission,no additional detail added",9203,Visit,1970-01-01,2099-12-31,
0,0,HESIN_ADMIMETH,Deferred Admission,9201,Visit,1970-01-01,2099-12-31,
32,0,HESIN_ADMIMETH,Maternity: baby delivered before admission,8650,CMS Place of Service,1970-01-01,2099-12-31,
35,0,HESIN_ADMIMETH,Patient Injury - Other Injury (including Accidental Poisoning other than in the home) - not elsewhere classified,9203,Visit,1970-01-01,2099-12-31,
