source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
49,0,HESIN_ADMISORC_HES,NHS run High Security Psychiatric Hospital,38004284,NUCC,1970-01-01,2099-12-31,
85,0,HESIN_ADMISORC_HES,Non-NHS run residential care home,38004307,NUCC,1970-01-01,2099-12-31,
86,0,HESIN_ADMISORC_HES,Non-NHS run nursing home,38004307,NUCC,1970-01-01,2099-12-31,
87,0,HESIN_ADMISORC_HES,Non-NHS run hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
51,0,HESIN_ADMISORC_HES,"NHS run general ward,young physically disabled unit or A&E",38004515,Medicare Specialty,1970-01-01,2099-12-31,
88,0,HESIN_ADMISORC_HES,Non-NHS run hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
52,0,HESIN_ADMISORC_HES,NHS run maternity ward,8650,CMS Place of Service,1970-01-01,2099-12-31,
66,0,HESIN_ADMISORC_HES,Local Authority foster care,581476,Visit,1970-01-01,2099-12-31,
53,0,HESIN_ADMISORC_HES,NHS run mental health and learning disabilities ward,38004284,NUCC,1970-01-01,2099-12-31,
39,0,HESIN_ADMISORC_HES,Penal establishment: other,38003619,CMS Place of Service,1970-01-01,2099-12-31,
48,0,HESIN_ADMISORC_HES,"High Security Psychiatric Hospital,Scotland",38004284,NUCC,1970-01-01,2099-12-31,
