source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
62,0,HESIN_ADMISORC,Hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
49,0,HESIN_ADMISORC,NHS run High Security Psychiatric Hospital,38004284,NUCC,1970-01-01,2099-12-31,
32,0,HESIN_ADMISORC,Student Accommodation,581476,Visit,1970-01-01,2099-12-31,
46,0,HESIN_ADMISORC,Neonatal Paediatrics,8650,CMS Place of Service,1970-01-01,2099-12-31,
14,0,HESIN_ADMISORC,Private Residence - (supported),581476,Visit,1970-01-01,2099-12-31,
58,0,HESIN_ADMISORC,Other specialty not separately identified,38004693,Medicare Specialty,1970-01-01,2099-12-31,
85,0,HESIN_ADMISORC,Non-NHS run residential care home,38004307,NUCC,1970-01-01,2099-12-31,
66,0,HESIN_ADMISORC,Local Authority foster care but not in Part 3 residential accommodation.,581476,Visit,1970-01-01,2099-12-31,
4G,0,HESIN_ADMISORC,Learning Disability,38004444,NUCC,1970-01-01,2099-12-31,
86,0,HESIN_ADMISORC,Non-NHS run nursing home,38004307,NUCC,1970-01-01,2099-12-31,
52,0,HESIN_ADMISORC,Surgical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
11,0,HESIN_ADMISORC,Private Residence - living alone,581476,Visit,1970-01-01,2099-12-31,
34,0,HESIN_ADMISORC,No fixed abode,38004515,Medicare Specialty,1970-01-01,2099-12-31,
50,0,HESIN_ADMISORC,NHS run medium secure unit,38004515,Medicare Specialty,1970-01-01,2099-12-31,
68,0,HESIN_ADMISORC,Other type of location,38004693,Medicare Specialty,1970-01-01,2099-12-31,
79,0,HESIN_ADMISORC,Babies born in or on way to hospital.,8650,CMS Place of Service,1970-01-01,2099-12-31,
87,0,HESIN_ADMISORC,Non-NHS run hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
5G,0,HESIN_ADMISORC,Learning Disability,38004444,NUCC,1970-01-01,2099-12-31,
42,0,HESIN_ADMISORC,Surgical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
54,0,HESIN_ADMISORC,Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
51,0,HESIN_ADMISORC,"NHS run general ward,young physically disabled unit or A&E",38004515,Medicare Specialty,1970-01-01,2099-12-31,
12,0,HESIN_ADMISORC,Private Residence - living with relatives or friends,581476,Visit,1970-01-01,2099-12-31,
38,0,HESIN_ADMISORC,"Other type of temporary residence (includes hospital residences,hotel facilities)",581476,Visit,1970-01-01,2099-12-31,
85,0,HESIN_ADMISORC,Non-NHS (other than Local Authority) run residential care home.,38004307,NUCC,1970-01-01,2099-12-31,
88,0,HESIN_ADMISORC,Non-NHS run hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
39,0,HESIN_ADMISORC,Temporary Place of Residence - type not known,581476,Visit,1970-01-01,2099-12-31,
44,0,HESIN_ADMISORC,Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
33,0,HESIN_ADMISORC,"Legal Establishment,including Prison",38003619,CMS Place of Service,1970-01-01,2099-12-31,
55,0,HESIN_ADMISORC,Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
52,0,HESIN_ADMISORC,NHS run maternity ward,8650,CMS Place of Service,1970-01-01,2099-12-31,
10,0,HESIN_ADMISORC,Private Residence - no additional detail added,581476,Visit,1970-01-01,2099-12-31,
86,0,HESIN_ADMISORC,Non-NHS (other than Local Authority) run nursing home.,38004307,NUCC,1970-01-01,2099-12-31,
66,0,HESIN_ADMISORC,Local Authority foster care,581476,Visit,1970-01-01,2099-12-31,
21,0,HESIN_ADMISORC,NHS - Nursing/Residential/Hostel/Group Home,581476,Visit,1970-01-01,2099-12-31,
5D,0,HESIN_ADMISORC,Psychiatry (except for patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
4F,0,HESIN_ADMISORC,Orthopaedics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
22,0,HESIN_ADMISORC,Local Authority/Voluntary - Nursing/Residential/Hostel/Group Home,581476,Visit,1970-01-01,2099-12-31,
87,0,HESIN_ADMISORC,Non-NHS run hospital.,38004515,Medicare Specialty,1970-01-01,2099-12-31,
18,0,HESIN_ADMISORC,Private Residence - other type,581476,Visit,1970-01-01,2099-12-31,
53,0,HESIN_ADMISORC,NHS run mental health and learning disabilities ward,38004284,NUCC,1970-01-01,2099-12-31,
24,0,HESIN_ADMISORC,NHS Partnership Hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
69,0,HESIN_ADMISORC,Local Authority home or care,581476,Visit,1970-01-01,2099-12-31,
5F,0,HESIN_ADMISORC,Orthopaedics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
4E,0,HESIN_ADMISORC,Psychiatry (patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
88,0,HESIN_ADMISORC,Non-NHS (other than Local Authority) run Hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
53,0,HESIN_ADMISORC,Medical Specialty,38004240,NUCC,1970-01-01,2099-12-31,
19,0,HESIN_ADMISORC,Private Residence - type not known,581476,Visit,1970-01-01,2099-12-31,
54,0,HESIN_ADMISORC,NHS run nursing/residential/group home,581476,Visit,1970-01-01,2099-12-31,
56,0,HESIN_ADMISORC,Neonatal Paediatrics,8650,CMS Place of Service,1970-01-01,2099-12-31,
79,0,HESIN_ADMISORC,Babies born in or on the way to hospital,8650,CMS Place of Service,1970-01-01,2099-12-31,
48,0,HESIN_ADMISORC,Other specialty not separately identified,38004693,Medicare Specialty,1970-01-01,2099-12-31,
89,0,HESIN_ADMISORC,"Other non NHS Hospital,Nursing Home or Residential institution",581476,Visit,1970-01-01,2099-12-31,
