source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
84,0,HESIN_DISDEST_HES,Non-NHS run hospital with medium secure unit,38004515,Medicare Specialty,1970-01-01,2099-12-31,
49,0,HESIN_DISDEST_HES,NHS run High Security Psychiatric Hospital,38004284,NUCC,1970-01-01,2099-12-31,
50,0,HESIN_DISDEST_HES,NHS run medium secure unit,38004693,Medicare Specialty,1970-01-01,2099-12-31,
85,0,HESIN_DISDEST_HES,Non-NHS run residential care home,38004307,NUCC,1970-01-01,2099-12-31,
86,0,HESIN_DISDEST_HES,Non-NHS run nursing home,38004307,NUCC,1970-01-01,2099-12-31,
51,0,HESIN_DISDEST_HES,NHS run general ward or young physically disabled unit,38004444,NUCC,1970-01-01,2099-12-31,
87,0,HESIN_DISDEST_HES,Non-NHS run hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
52,0,HESIN_DISDEST_HES,NHS run maternity ward,8650,CMS Place of Service,1970-01-01,2099-12-31,
53,0,HESIN_DISDEST_HES,NHS run mental health and learning disabilities ward,38004693,Medicare Specialty,1970-01-01,2099-12-31,
48,0,HESIN_DISDEST_HES,"High Security Psychiatric Hospital, Scotland",38004284,NUCC,1970-01-01,2099-12-31,
88,0,HESIN_DISDEST_HES,Non-NHS run hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
19,0,HESIN_DISDEST_HES,Usual place of residence,581476,Visit,1970-01-01,2099-12-31,
30,0,HESIN_DISDEST_HES,Repatriation from High Security Psychiatric Hospital,38004284,NUCC,1970-01-01,2099-12-31,
