source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
57,0,HESIN_DISDEST_PEDW,Hospital site within the same Trust - ward for patients who are mentally ill or have learning disabilities,38004515,Medicare Specialty,1970-01-01,2099-12-31,
85,0,HESIN_DISDEST_PEDW,Non-NHS (other than local authority) run residential care home,38004307,NUCC,1970-01-01,2099-12-31,
86,0,HESIN_DISDEST_PEDW,Non-NHS (other than local authority) run nursing home,38004307,NUCC,1970-01-01,2099-12-31,
87,0,HESIN_DISDEST_PEDW,Non-NHS run hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
19,0,HESIN_DISDEST_PEDW,"Usual place of residence unless listed below for example, a private dwelling, whether owner occupied, owned by local authority, housing association or private landlord. This includes wardened accommod",581476,Visit,1970-01-01,2099-12-31,
53,0,HESIN_DISDEST_PEDW,Other NHS Trust - ward for patients who are mentally ill or have learning disabilities,38004284,NUCC,1970-01-01,2099-12-31,
55,0,HESIN_DISDEST_PEDW,Hospital site within the same Trust - ward for general patients or the younger physically disabled or A & E department,38004515,Medicare Specialty,1970-01-01,2099-12-31,
39,0,HESIN_DISDEST_PEDW,"Penal establishment, court or police station",38003619,CMS Place of Service,1970-01-01,2099-12-31,
88,0,HESIN_DISDEST_PEDW,Non-NHS (other than Local Authority) run Hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
56,0,HESIN_DISDEST_PEDW,Hospital site within the same Trust - ward for maternity patients or neonates,38004515,Medicare Specialty,1970-01-01,2099-12-31,
49,0,HESIN_DISDEST_PEDW,Special Hospital,38004287,NUCC,1970-01-01,2099-12-31,
51,0,HESIN_DISDEST_PEDW,Other NHS Trust - ward for general patients or the younger physically disabled or A & E department,38004315,NUCC,1970-01-01,2099-12-31,
52,0,HESIN_DISDEST_PEDW,Other NHS Trust - ward for maternity patients or neonates,8650,CMS Place of Service,1970-01-01,2099-12-31,
