source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
44,0,HESIN_DISDEST_SMR,Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
11,0,HESIN_DISDEST_SMR,Private Residence - living alone,581476,Visit,1970-01-01,2099-12-31,
52,0,HESIN_DISDEST_SMR,Surgical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
55,0,HESIN_DISDEST_SMR,Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
33,0,HESIN_DISDEST_SMR,"Legal Establishment, including Prison",38003619,CMS Place of Service,1970-01-01,2099-12-31,
4F,0,HESIN_DISDEST_SMR,Orthopaedics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
42,0,HESIN_DISDEST_SMR,Surgical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
45,0,HESIN_DISDEST_SMR,Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
12,0,HESIN_DISDEST_SMR,Private Residence - living with relatives or friends,581476,Visit,1970-01-01,2099-12-31,
5F,0,HESIN_DISDEST_SMR,Orthopaedics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
10,0,HESIN_DISDEST_SMR,Private Residence - no additional detail added,581476,Visit,1970-01-01,2099-12-31,
53,0,HESIN_DISDEST_SMR,Medical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
18,0,HESIN_DISDEST_SMR,Private Residence - other type,581476,Visit,1970-01-01,2099-12-31,
43,0,HESIN_DISDEST_SMR,Medical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
56,0,HESIN_DISDEST_SMR,Neonatal Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
19,0,HESIN_DISDEST_SMR,Private Residence - type not known,581476,Visit,1970-01-01,2099-12-31,
4E,0,HESIN_DISDEST_SMR,Psychiatry (patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
24,0,HESIN_DISDEST_SMR,NHS Partnership Hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
4D,0,HESIN_DISDEST_SMR,Psychiatry (except for patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
5E,0,HESIN_DISDEST_SMR,Psychiatry (patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
54,0,HESIN_DISDEST_SMR,Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
46,0,HESIN_DISDEST_SMR,Neonatal Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
5D,0,HESIN_DISDEST_SMR,Psychiatry (except for patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
32,0,HESIN_DISDEST_SMR,Student Accommodation,581476,Visit,1970-01-01,2099-12-31,
61,0,HESIN_DISDEST_SMR,Private Hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
62,0,HESIN_DISDEST_SMR,Hospice,8546,CMS Place of Service,1970-01-01,2099-12-31,
13,0,HESIN_DISDEST_SMR,Private Residence (sheltered),581476,Visit,1970-01-01,2099-12-31,
51,0,HESIN_DISDEST_SMR,Accident and Emergency,9203,Visit,1970-01-01,2099-12-31,
4G,0,HESIN_DISDEST_SMR,Learning Disability,38004444,NUCC,1970-01-01,2099-12-31,
14,0,HESIN_DISDEST_SMR,Private Residence (supported),581476,Visit,1970-01-01,2099-12-31,
41,0,HESIN_DISDEST_SMR,Accident and Emergency,9203,Visit,1970-01-01,2099-12-31,
47,0,HESIN_DISDEST_SMR,GP Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
5G,0,HESIN_DISDEST_SMR,Learning Disability,38004444,NUCC,1970-01-01,2099-12-31,
28,0,HESIN_DISDEST_SMR,Place of Residence - Institution - other type,581476,Visit,1970-01-01,2099-12-31,
57,0,HESIN_DISDEST_SMR,GP Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
25,0,HESIN_DISDEST_SMR,Care Home,38004307,NUCC,1970-01-01,2099-12-31,
4B,0,HESIN_DISDEST_SMR,Geriatrics (except for patient on pass),38004307,NUCC,1970-01-01,2099-12-31,
29,0,HESIN_DISDEST_SMR,Place of Residence - Institution - type not known,581476,Visit,1970-01-01,2099-12-31,
4A,0,HESIN_DISDEST_SMR,GP Other than Obstetrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
5B,0,HESIN_DISDEST_SMR,Geriatrics (except for patient on pass),38004307,NUCC,1970-01-01,2099-12-31,
5A,0,HESIN_DISDEST_SMR,GP Other than Obstetrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
20,0,HESIN_DISDEST_SMR,"Place of residence: Institution, no additional detail added",581476,Visit,1970-01-01,2099-12-31,
4C,0,HESIN_DISDEST_SMR,Geriatrics (patient on pass),38004307,NUCC,1970-01-01,2099-12-31,
5C,0,HESIN_DISDEST_SMR,Geriatrics ( patient on pass),38004307,NUCC,1970-01-01,2099-12-31,
