source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
84,0,HESIN_DISDEST,Non-NHS run hospital with medium secure unit,38004515,Medicare Specialty,1970-01-01,2099-12-31,
44,0,HESIN_DISDEST,Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
49,0,HESIN_DISDEST,NHS run High Security Psychiatric Hospital,38004284,NUCC,1970-01-01,2099-12-31,
11,0,HESIN_DISDEST,Private Residence - living alone,581476,Visit,1970-01-01,2099-12-31,
52,0,HESIN_DISDEST,Surgical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
55,0,HESIN_DISDEST,Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
33,0,HESIN_DISDEST,"Legal Establishment, including Prison",38003619,CMS Place of Service,1970-01-01,2099-12-31,
57,0,HESIN_DISDEST,Hospital site within the same Trust - ward for patients who are mentally ill or have learning disabilities,38004515,Medicare Specialty,1970-01-01,2099-12-31,
50,0,HESIN_DISDEST,NHS run medium secure unit,38004693,Medicare Specialty,1970-01-01,2099-12-31,
4F,0,HESIN_DISDEST,Orthopaedics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
42,0,HESIN_DISDEST,Surgical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
45,0,HESIN_DISDEST,Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
85,0,HESIN_DISDEST,Non-NHS run residential care home,38004307,NUCC,1970-01-01,2099-12-31,
12,0,HESIN_DISDEST,Private Residence - living with relatives or friends,581476,Visit,1970-01-01,2099-12-31,
86,0,HESIN_DISDEST,Non-NHS run nursing home,38004307,NUCC,1970-01-01,2099-12-31,
5F,0,HESIN_DISDEST,Orthopaedics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
51,0,HESIN_DISDEST,NHS run general ward or young physically disabled unit,38004444,NUCC,1970-01-01,2099-12-31,
10,0,HESIN_DISDEST,Private Residence - no additional detail added,581476,Visit,1970-01-01,2099-12-31,
87,0,HESIN_DISDEST,Non-NHS run hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
53,0,HESIN_DISDEST,Medical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
52,0,HESIN_DISDEST,NHS run maternity ward,8650,CMS Place of Service,1970-01-01,2099-12-31,
18,0,HESIN_DISDEST,Private Residence - other type,581476,Visit,1970-01-01,2099-12-31,
43,0,HESIN_DISDEST,Medical Specialty,38004693,Medicare Specialty,1970-01-01,2099-12-31,
56,0,HESIN_DISDEST,Neonatal Paediatrics,38004693,Medicare Specialty,1970-01-01,2099-12-31,
19,0,HESIN_DISDEST,Private Residence - type not known,581476,Visit,1970-01-01,2099-12-31,
53,0,HESIN_DISDEST,NHS run mental health and learning disabilities ward,38004693,Medicare Specialty,1970-01-01,2099-12-31,
4E,0,HESIN_DISDEST,Psychiatry (patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
24,0,HESIN_DISDEST,NHS Partnership Hospital,38004515,Medicare Specialty,1970-01-01,2099-12-31,
4D,0,HESIN_DISDEST,Psychiatry (except for patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
85,0,HESIN_DISDEST,Non-NHS (other than local authority) run residential care home,38004307,NUCC,1970-01-01,2099-12-31,
5E,0,HESIN_DISDEST,Psychiatry (patient on pass),8971,CMS Place of Service,1970-01-01,2099-12-31,
54,0,HESIN_DISDEST,Obstetrics/Postnatal Cots,8650,CMS Place of Service,1970-01-01,2099-12-31,
