source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
001,0,OPCS3,Operations on thoracic duct,4118187,SNOMED,1970-01-01,2099-12-31,
0011,0,OPCS3,"Craniotomy, not elsewhere classified : burr-hole",4101626,SNOMED,1970-01-01,2099-12-31,
0012,0,OPCS3,"Craniotomy, not elsewhere classified : trephine",4101626,SNOMED,1970-01-01,2099-12-31,
0014,0,OPCS3,"Craniotomy, not elsewhere classified : puncture of brain",40488856,SNOMED,1970-01-01,2099-12-31,
004,0,OPCS3,Excision of lesion of skull,4208846,SNOMED,1970-01-01,2099-12-31,
005,0,OPCS3,Cranioplasty,4138816,SNOMED,1970-01-01,2099-12-31,
0051,0,OPCS3,Cranioplasty : natural material,4138816,SNOMED,1970-01-01,2099-12-31,
0052,0,OPCS3,Cranioplasty : inert material,4138816,SNOMED,1970-01-01,2099-12-31,
0053,0,OPCS3,Cranioplasty : opening of sutures,4138816,SNOMED,1970-01-01,2099-12-31,
0054,0,OPCS3,Cranioplasty : restoration of orbital region,4154279,SNOMED,1970-01-01,2099-12-31,
007,0,OPCS3,Repair of cerebral meninges,4222439,SNOMED,1970-01-01,2099-12-31,
0071,0,OPCS3,Repair of cerebral meninges : lamina cribrosa fistula,4222439,SNOMED,1970-01-01,2099-12-31,
0072,0,OPCS3,Repair of cerebral meninges : meningo encephalocele,4169892,SNOMED,1970-01-01,2099-12-31,
008,0,OPCS3,Ventricular puncture and anastomosis,2110407,CPT4,1970-01-01,2099-12-31,
0081,0,OPCS3,Ventricular puncture and anastomosis : drainage,4313285,SNOMED,1970-01-01,2099-12-31,
0083,0,OPCS3,Ventricular puncture and anastomosis : ventriculo-cisternostomy,4140853,SNOMED,1970-01-01,2099-12-31,
0084,0,OPCS3,Ventricular puncture and anastomosis : ventriculo-vascular anastomosis,4220520,SNOMED,1970-01-01,2099-12-31,
